Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
nxt,"Jul 02, 2018",0.095703,0.103511,0.092949,0.101752,"3,578,500","95,607,700"
nxt,"Jul 01, 2018",0.094437,0.096921,0.093090,0.095694,"2,731,510","94,342,100"
nxt,"Jun 30, 2018",0.091615,0.097956,0.091615,0.094937,"3,251,000","91,523,000"
nxt,"Jun 29, 2018",0.089649,0.092626,0.084542,0.091484,"2,762,530","89,559,700"
nxt,"Jun 28, 2018",0.096714,0.097342,0.088301,0.089979,"3,214,640","96,617,600"
nxt,"Jun 27, 2018",0.092122,0.096805,0.089171,0.095252,"3,117,000","92,030,400"
nxt,"Jun 26, 2018",0.099315,0.103576,0.091394,0.092872,"3,243,410","99,215,700"
nxt,"Jun 25, 2018",0.091786,0.103119,0.091786,0.100372,"4,634,140","91,694,400"
nxt,"Jun 24, 2018",0.098886,0.099118,0.087795,0.091749,"2,585,610","98,786,900"
nxt,"Jun 23, 2018",0.098248,0.100086,0.097771,0.099083,"1,659,470","98,149,200"
nxt,"Jun 22, 2018",0.111502,0.111818,0.097812,0.098230,"3,293,270","111,391,000"
nxt,"Jun 21, 2018",0.112345,0.114597,0.110801,0.111540,"3,138,900","112,233,000"
nxt,"Jun 20, 2018",0.115855,0.116121,0.110463,0.112270,"3,214,840","115,740,000"
nxt,"Jun 19, 2018",0.116719,0.118493,0.114958,0.115634,"2,479,250","116,603,000"
nxt,"Jun 18, 2018",0.113662,0.118021,0.109927,0.116847,"2,874,270","113,549,000"
nxt,"Jun 17, 2018",0.116241,0.117710,0.112880,0.113437,"2,599,570","116,125,000"
nxt,"Jun 16, 2018",0.114553,0.116372,0.112181,0.116299,"2,764,300","114,438,000"
nxt,"Jun 15, 2018",0.118784,0.119464,0.114206,0.114720,"2,347,450","118,665,000"
nxt,"Jun 14, 2018",0.110247,0.124953,0.109974,0.118963,"3,987,940","110,137,000"
nxt,"Jun 13, 2018",0.118034,0.120050,0.105441,0.110280,"3,937,660","117,916,000"
nxt,"Jun 12, 2018",0.131309,0.135316,0.116882,0.117526,"4,056,300","131,177,000"
nxt,"Jun 11, 2018",0.119708,0.131554,0.118162,0.131224,"4,426,980","119,588,000"
nxt,"Jun 10, 2018",0.137799,0.137799,0.117775,0.119809,"3,426,800","137,662,000"
nxt,"Jun 09, 2018",0.140203,0.141569,0.137008,0.137124,"3,370,170","140,062,000"
nxt,"Jun 08, 2018",0.141287,0.141873,0.138242,0.140098,"4,065,150","141,146,000"
nxt,"Jun 07, 2018",0.141964,0.147624,0.140762,0.141574,"4,355,720","141,822,000"
nxt,"Jun 06, 2018",0.146568,0.146876,0.138035,0.140948,"4,335,750","146,421,000"
nxt,"Jun 05, 2018",0.141900,0.146617,0.139828,0.146617,"4,236,000","141,758,000"
nxt,"Jun 04, 2018",0.147940,0.149310,0.137500,0.141921,"4,742,630","147,792,000"
nxt,"Jun 03, 2018",0.147962,0.150602,0.144607,0.147767,"4,092,410","147,814,000"
nxt,"Jun 02, 2018",0.133897,0.149337,0.131242,0.147912,"5,737,830","133,763,000"
nxt,"Jun 01, 2018",0.133640,0.135442,0.130859,0.133937,"2,873,320","133,506,000"
nxt,"May 31, 2018",0.132778,0.135552,0.131190,0.133451,"2,866,040","132,645,000"
nxt,"May 30, 2018",0.135737,0.138303,0.130454,0.133012,"1,582,630","135,601,000"
nxt,"May 29, 2018",0.128029,0.138135,0.126153,0.135837,"2,846,240","127,901,000"
nxt,"May 28, 2018",0.137578,0.142362,0.127744,0.127939,"3,031,110","137,441,000"
nxt,"May 27, 2018",0.134871,0.138004,0.132666,0.137419,"2,230,530","134,736,000"
nxt,"May 26, 2018",0.135251,0.138354,0.133335,0.134923,"2,091,090","135,115,000"
nxt,"May 25, 2018",0.139424,0.140832,0.133109,0.135254,"2,766,820","139,284,000"
nxt,"May 24, 2018",0.139099,0.144722,0.131412,0.140156,"2,528,280","138,960,000"
nxt,"May 23, 2018",0.152726,0.153400,0.135068,0.139384,"3,310,480","152,573,000"
nxt,"May 22, 2018",0.165824,0.171826,0.153176,0.153176,"4,084,860","165,658,000"
nxt,"May 21, 2018",0.164918,0.167345,0.162574,0.165673,"2,954,870","164,753,000"
nxt,"May 20, 2018",0.156817,0.166098,0.155819,0.164774,"2,784,570","156,660,000"
nxt,"May 19, 2018",0.160531,0.163154,0.155937,0.156728,"2,691,630","160,370,000"
nxt,"May 18, 2018",0.157562,0.161760,0.152899,0.160473,"2,965,610","157,404,000"
nxt,"May 17, 2018",0.166035,0.169367,0.157065,0.157065,"3,030,760","165,869,000"
nxt,"May 16, 2018",0.171077,0.171077,0.160990,0.166071,"3,164,080","170,906,000"
nxt,"May 15, 2018",0.179002,0.183564,0.169294,0.170981,"3,533,930","178,823,000"
nxt,"May 14, 2018",0.184644,0.185210,0.169918,0.179563,"3,124,120","184,459,000"
nxt,"May 13, 2018",0.174685,0.187910,0.173083,0.185096,"2,061,280","174,510,000"
nxt,"May 12, 2018",0.173408,0.179320,0.161983,0.174723,"2,785,840","173,234,000"
nxt,"May 11, 2018",0.199885,0.199885,0.167311,0.173370,"5,214,790","199,686,000"
nxt,"May 10, 2018",0.211851,0.218527,0.199722,0.199802,"2,887,740","211,640,000"
nxt,"May 09, 2018",0.216177,0.216177,0.203390,0.212135,"2,556,340","215,961,000"
nxt,"May 08, 2018",0.222367,0.230705,0.209488,0.217447,"4,136,320","222,144,000"
nxt,"May 07, 2018",0.230217,0.234202,0.213372,0.222416,"5,561,360","229,986,000"
nxt,"May 06, 2018",0.239555,0.240844,0.224905,0.230404,"5,576,880","239,315,000"
nxt,"May 05, 2018",0.246546,0.248041,0.238135,0.239381,"5,706,580","246,299,000"
nxt,"May 04, 2018",0.249457,0.253224,0.240313,0.247280,"8,281,530","249,208,000"
nxt,"May 03, 2018",0.248325,0.257298,0.239276,0.249701,"15,859,400","248,077,000"
nxt,"May 02, 2018",0.237476,0.261649,0.235770,0.249248,"18,600,500","237,239,000"
nxt,"May 01, 2018",0.218971,0.238730,0.206623,0.237214,"14,120,200","218,752,000"
nxt,"Apr 30, 2018",0.211334,0.232149,0.208242,0.219956,"8,055,170","211,122,000"
nxt,"Apr 29, 2018",0.211585,0.215316,0.204809,0.211574,"3,781,290","211,373,000"
nxt,"Apr 28, 2018",0.199929,0.215279,0.199060,0.210725,"3,712,840","199,730,000"
nxt,"Apr 27, 2018",0.206488,0.218887,0.200440,0.200440,"6,994,000","206,281,000"
nxt,"Apr 26, 2018",0.186448,0.207228,0.181392,0.206426,"4,877,330","186,262,000"
nxt,"Apr 25, 2018",0.228344,0.228344,0.182924,0.186017,"6,820,710","228,116,000"
nxt,"Apr 24, 2018",0.203008,0.232204,0.202049,0.227561,"6,687,920","202,805,000"
nxt,"Apr 23, 2018",0.195791,0.204464,0.195752,0.202656,"3,286,160","195,595,000"
nxt,"Apr 22, 2018",0.199898,0.208743,0.196484,0.196484,"3,750,170","199,698,000"
nxt,"Apr 21, 2018",0.209498,0.213872,0.188095,0.199848,"6,553,940","209,288,000"
nxt,"Apr 20, 2018",0.207302,0.212838,0.200391,0.209657,"7,651,540","207,095,000"
nxt,"Apr 19, 2018",0.201395,0.211175,0.196706,0.206139,"6,518,330","201,194,000"
nxt,"Apr 18, 2018",0.183816,0.201735,0.183161,0.201735,"4,632,780","183,632,000"
nxt,"Apr 17, 2018",0.183189,0.197591,0.182042,0.183388,"6,406,940","183,006,000"
nxt,"Apr 16, 2018",0.191416,0.192611,0.177547,0.183141,"5,578,320","191,225,000"
nxt,"Apr 15, 2018",0.163119,0.198328,0.163119,0.192392,"11,432,700","162,956,000"
nxt,"Apr 14, 2018",0.157788,0.169601,0.156579,0.163225,"3,156,910","157,630,000"
nxt,"Apr 13, 2018",0.158147,0.172765,0.153935,0.157736,"5,117,970","157,989,000"
nxt,"Apr 12, 2018",0.140234,0.158957,0.138905,0.158573,"8,144,380","140,094,000"
nxt,"Apr 11, 2018",0.127431,0.145056,0.125217,0.139498,"4,474,640","127,304,000"
nxt,"Apr 10, 2018",0.117146,0.127803,0.115965,0.127167,"5,521,280","117,029,000"
nxt,"Apr 09, 2018",0.121925,0.124913,0.114045,0.117029,"2,206,500","121,803,000"
nxt,"Apr 08, 2018",0.114715,0.122090,0.114197,0.121885,"1,432,090","114,600,000"
nxt,"Apr 07, 2018",0.111036,0.118051,0.110672,0.114618,"1,219,550","110,925,000"
nxt,"Apr 06, 2018",0.112504,0.114413,0.108673,0.110997,"1,631,230","112,391,000"
nxt,"Apr 05, 2018",0.115772,0.116224,0.110098,0.112990,"1,819,860","115,657,000"
nxt,"Apr 04, 2018",0.125023,0.130583,0.114142,0.116190,"2,585,050","124,898,000"
nxt,"Apr 03, 2018",0.116997,0.129601,0.116584,0.125359,"2,769,300","116,880,000"
nxt,"Apr 02, 2018",0.108512,0.117475,0.107432,0.116558,"1,666,770","108,404,000"
nxt,"Apr 01, 2018",0.111830,0.113543,0.102900,0.108366,"939,829","111,719,000"
nxt,"Mar 31, 2018",0.111280,0.116779,0.110530,0.111799,"1,335,320","111,169,000"
nxt,"Mar 30, 2018",0.114937,0.117654,0.108865,0.111044,"2,368,550","114,822,000"
nxt,"Mar 29, 2018",0.128746,0.129351,0.112182,0.115258,"1,972,520","128,617,000"
nxt,"Mar 28, 2018",0.128973,0.133854,0.126929,0.128788,"1,433,790","128,844,000"
nxt,"Mar 27, 2018",0.133195,0.134490,0.126886,0.129209,"1,906,740","133,062,000"
nxt,"Mar 26, 2018",0.142369,0.148658,0.128387,0.134149,"3,476,930","142,226,000"
nxt,"Mar 25, 2018",0.135927,0.148682,0.134851,0.142120,"2,456,810","135,791,000"
nxt,"Mar 24, 2018",0.138144,0.142755,0.135606,0.136770,"1,257,460","138,006,000"
nxt,"Mar 23, 2018",0.139399,0.139399,0.131986,0.136920,"1,267,770","139,259,000"
nxt,"Mar 22, 2018",0.143243,0.151853,0.134655,0.138915,"1,652,600","143,099,000"
nxt,"Mar 21, 2018",0.148287,0.152210,0.141396,0.143532,"2,145,130","148,138,000"
nxt,"Mar 20, 2018",0.137619,0.152624,0.132617,0.148169,"2,727,070","137,481,000"
nxt,"Mar 19, 2018",0.126147,0.136624,0.123735,0.136624,"2,373,760","126,021,000"
nxt,"Mar 18, 2018",0.125844,0.127676,0.110102,0.126069,"2,343,110","125,718,000"
nxt,"Mar 17, 2018",0.134218,0.134550,0.123683,0.126197,"1,733,040","134,084,000"
nxt,"Mar 16, 2018",0.136494,0.139645,0.131055,0.134394,"2,038,830","136,357,000"
nxt,"Mar 15, 2018",0.137374,0.139413,0.125586,0.136578,"2,713,740","137,237,000"
nxt,"Mar 14, 2018",0.154087,0.165705,0.135068,0.137336,"5,088,980","153,932,000"
nxt,"Mar 13, 2018",0.155829,0.157676,0.147874,0.154294,"2,390,770","155,673,000"
nxt,"Mar 12, 2018",0.164166,0.166638,0.151689,0.156616,"2,155,070","164,002,000"
nxt,"Mar 11, 2018",0.154132,0.170013,0.148455,0.164678,"2,011,500","153,978,000"
nxt,"Mar 10, 2018",0.162101,0.166545,0.152341,0.154180,"2,332,510","161,939,000"
nxt,"Mar 09, 2018",0.170139,0.171638,0.147512,0.162465,"4,420,440","169,969,000"
nxt,"Mar 08, 2018",0.177420,0.188586,0.168235,0.170869,"5,920,550","177,243,000"
nxt,"Mar 07, 2018",0.181979,0.271781,0.167550,0.178277,"21,469,500","181,797,000"
nxt,"Mar 06, 2018",0.194125,0.194125,0.179620,0.181949,"2,841,240","193,931,000"
nxt,"Mar 05, 2018",0.200906,0.200906,0.194073,0.194073,"3,144,750","200,705,000"
nxt,"Mar 04, 2018",0.196608,0.200503,0.189894,0.200503,"2,677,280","196,411,000"
nxt,"Mar 03, 2018",0.198317,0.201172,0.194461,0.197287,"2,778,300","198,118,000"
nxt,"Mar 02, 2018",0.202318,0.204930,0.192285,0.198653,"4,112,730","202,116,000"
nxt,"Mar 01, 2018",0.188443,0.206685,0.186997,0.203014,"4,710,680","188,254,000"
nxt,"Feb 28, 2018",0.211166,0.214649,0.188393,0.189062,"3,499,800","210,955,000"
nxt,"Feb 27, 2018",0.211515,0.217430,0.208379,0.210379,"3,542,740","211,304,000"
nxt,"Feb 26, 2018",0.210095,0.216446,0.202409,0.211454,"3,157,290","209,885,000"
nxt,"Feb 25, 2018",0.203944,0.214444,0.202580,0.210489,"5,056,980","203,740,000"
nxt,"Feb 24, 2018",0.211927,0.219563,0.199376,0.203329,"4,702,280","211,715,000"
nxt,"Feb 23, 2018",0.204499,0.224427,0.197179,0.212067,"5,629,210","204,294,000"
nxt,"Feb 22, 2018",0.222587,0.231838,0.199172,0.204858,"5,363,360","222,365,000"
nxt,"Feb 21, 2018",0.239028,0.240303,0.212737,0.222739,"8,211,720","238,789,000"
