Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
obsidian,"Jul 02, 2018",0.036670,0.045894,0.031010,0.040135,"5,868","916,743"
obsidian,"Jul 01, 2018",0.036011,0.039975,0.035908,0.036665,977,"900,272"
obsidian,"Jun 30, 2018",0.030739,0.041188,0.030737,0.036003,"6,682","768,478"
obsidian,"Jun 29, 2018",0.028858,0.036470,0.028823,0.030697,"4,035","721,452"
obsidian,"Jun 28, 2018",0.033835,0.034209,0.028284,0.028838,"4,322","845,867"
obsidian,"Jun 27, 2018",0.032581,0.034767,0.026648,0.033817,"11,553","814,534"
obsidian,"Jun 26, 2018",0.043914,0.044009,0.029732,0.032594,"11,253","1,097,840"
obsidian,"Jun 25, 2018",0.043648,0.046871,0.040689,0.043914,253,"1,091,210"
obsidian,"Jun 24, 2018",0.042968,0.046794,0.038188,0.043733,"2,545","1,074,210"
obsidian,"Jun 23, 2018",0.045037,0.045738,0.039145,0.042974,"5,899","1,125,920"
obsidian,"Jun 22, 2018",0.047002,0.049095,0.040580,0.045031,"3,354","1,175,060"
obsidian,"Jun 21, 2018",0.048724,0.050641,0.046891,0.047054,"4,446","1,218,110"
obsidian,"Jun 20, 2018",0.049902,0.055633,0.048657,0.048714,"6,672","1,247,550"
obsidian,"Jun 19, 2018",0.051099,0.055113,0.048730,0.049871,"10,915","1,277,480"
obsidian,"Jun 18, 2018",0.048564,0.056200,0.047022,0.051127,"4,235","1,214,090"
obsidian,"Jun 17, 2018",0.047020,0.052634,0.046986,0.048730,"7,828","1,175,510"
obsidian,"Jun 16, 2018",0.049510,0.049673,0.046673,0.046896,"4,143","1,237,750"
obsidian,"Jun 15, 2018",0.048424,0.053187,0.045766,0.049691,"2,810","1,210,600"
obsidian,"Jun 14, 2018",0.047787,0.053523,0.045768,0.048521,"8,302","1,194,660"
obsidian,"Jun 13, 2018",0.065665,0.065743,0.041784,0.047808,"17,839","1,641,630"
obsidian,"Jun 12, 2018",0.068288,0.070939,0.059551,0.065496,"11,813","1,707,200"
obsidian,"Jun 11, 2018",0.070509,0.073229,0.066818,0.068324,"7,889","1,762,740"
obsidian,"Jun 10, 2018",0.081862,0.084179,0.068352,0.070409,"23,211","2,046,540"
obsidian,"Jun 09, 2018",0.074954,0.097217,0.074932,0.081759,"34,353","1,873,860"
obsidian,"Jun 08, 2018",0.072304,0.080633,0.072280,0.074987,"10,766","1,807,600"
obsidian,"Jun 07, 2018",0.072682,0.080800,0.069566,0.072249,"22,320","1,817,040"
obsidian,"Jun 06, 2018",0.076239,0.078720,0.064248,0.072615,"10,706","1,905,970"
obsidian,"Jun 05, 2018",0.075983,0.079394,0.067921,0.076259,"15,067","1,899,580"
obsidian,"Jun 04, 2018",0.071526,0.091126,0.065919,0.075947,"67,548","1,788,160"
obsidian,"Jun 03, 2018",0.066710,0.077059,0.061578,0.071504,"35,298","1,667,750"
obsidian,"Jun 02, 2018",0.065503,0.067505,0.055031,0.066660,"60,963","1,637,580"
obsidian,"Jun 01, 2018",0.048710,0.095725,0.048583,0.056224,"215,808","1,217,760"
obsidian,"May 31, 2018",0.047957,0.052715,0.046795,0.048675,"6,747","1,198,910"
obsidian,"May 30, 2018",0.047287,0.052253,0.044971,0.050284,"6,134","1,182,190"
obsidian,"May 29, 2018",0.044112,0.051554,0.043901,0.047256,"20,687","1,102,810"
obsidian,"May 28, 2018",0.061899,0.063158,0.043195,0.044127,"24,695","1,547,480"
obsidian,"May 27, 2018",0.058863,0.062065,0.058051,0.061885,"3,828","1,471,570"
obsidian,"May 26, 2018",0.060332,0.065241,0.058520,0.058837,"14,527","1,508,290"
obsidian,"May 25, 2018",0.061280,0.065872,0.058952,0.060411,"2,339","1,532,000"
obsidian,"May 24, 2018",0.065402,0.065402,0.058638,0.061165,"4,071","1,635,050"
obsidian,"May 23, 2018",0.071663,0.071872,0.053675,0.065568,"6,758","1,791,580"
obsidian,"May 22, 2018",0.078226,0.088030,0.057790,0.071738,"117,050","1,955,640"
obsidian,"May 21, 2018",0.076988,0.079154,0.075422,0.078240,"4,486","1,924,710"
obsidian,"May 20, 2018",0.078380,0.079959,0.072887,0.076892,"4,285","1,959,500"
obsidian,"May 19, 2018",0.074564,0.079849,0.070497,0.078322,"17,765","1,864,110"
