Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
oceanchain,"Jul 02, 2018",0.001995,0.002199,0.001926,0.002199,"1,077,320",-
oceanchain,"Jul 01, 2018",0.002050,0.002110,0.001927,0.001983,"241,582",-
oceanchain,"Jun 30, 2018",0.002040,0.002132,0.001935,0.002005,"253,486",-
oceanchain,"Jun 29, 2018",0.001988,0.002044,0.001866,0.002006,"835,183",-
oceanchain,"Jun 28, 2018",0.002087,0.002167,0.001975,0.001987,"1,575,830",-
oceanchain,"Jun 27, 2018",0.002047,0.002132,0.001955,0.002088,"1,395,090",-
oceanchain,"Jun 26, 2018",0.002150,0.002221,0.001985,0.002065,"1,678,410",-
oceanchain,"Jun 25, 2018",0.002168,0.002243,0.002101,0.002199,"3,270,500",-
oceanchain,"Jun 24, 2018",0.002344,0.002377,0.001996,0.002185,"1,706,970",-
oceanchain,"Jun 23, 2018",0.002382,0.002434,0.001883,0.002347,"1,388,310",-
oceanchain,"Jun 22, 2018",0.002950,0.002950,0.002371,0.002386,"928,412",-
oceanchain,"Jun 21, 2018",0.002932,0.003029,0.002761,0.002932,"1,517,610",-
oceanchain,"Jun 20, 2018",0.002890,0.003025,0.002675,0.002929,"1,777,070",-
oceanchain,"Jun 19, 2018",0.003055,0.003073,0.002841,0.002891,"2,653,100",-
oceanchain,"Jun 18, 2018",0.002894,0.003071,0.002859,0.003053,"2,682,680",-
oceanchain,"Jun 17, 2018",0.002970,0.002996,0.002880,0.002893,"3,160,190",-
oceanchain,"Jun 16, 2018",0.002957,0.003009,0.002877,0.002969,"4,319,930",-
oceanchain,"Jun 15, 2018",0.003269,0.003292,0.002929,0.002969,"3,694,740",-
oceanchain,"Jun 14, 2018",0.002903,0.003387,0.002796,0.003270,"5,967,350",-
oceanchain,"Jun 13, 2018",0.003048,0.003055,0.002756,0.002898,"5,125,160",-
oceanchain,"Jun 12, 2018",0.003453,0.003453,0.002967,0.003043,"4,835,980",-
oceanchain,"Jun 11, 2018",0.003238,0.003456,0.003209,0.003449,"5,089,980",-
