Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
okcash,"Jul 02, 2018",0.064509,0.070133,0.063444,0.068652,"36,658","4,778,850"
okcash,"Jul 01, 2018",0.063466,0.065126,0.062065,0.064464,"28,103","4,701,520"
okcash,"Jun 30, 2018",0.060659,0.066455,0.059711,0.063451,"34,345","4,493,480"
okcash,"Jun 29, 2018",0.059273,0.061194,0.054688,0.060726,"44,886","4,390,730"
okcash,"Jun 28, 2018",0.063174,0.066303,0.058985,0.060006,"31,585","4,679,670"
okcash,"Jun 27, 2018",0.062438,0.064075,0.059983,0.063159,"24,223","4,625,040"
okcash,"Jun 26, 2018",0.066593,0.066999,0.062257,0.062460,"45,840","4,932,660"
okcash,"Jun 25, 2018",0.067540,0.068789,0.062083,0.066592,"154,060","5,002,570"
okcash,"Jun 24, 2018",0.074543,0.078079,0.062520,0.067669,"166,107","5,521,160"
okcash,"Jun 23, 2018",0.074085,0.075105,0.067702,0.074575,"196,377","5,487,180"
okcash,"Jun 22, 2018",0.073703,0.142085,0.072175,0.074905,"1,027,360","5,458,780"
okcash,"Jun 21, 2018",0.076620,0.076856,0.072709,0.073771,"31,905","5,674,740"
okcash,"Jun 20, 2018",0.081594,0.082377,0.073184,0.076606,"31,733","6,043,000"
okcash,"Jun 19, 2018",0.079690,0.081546,0.076122,0.079989,"19,844","5,901,900"
okcash,"Jun 18, 2018",0.077827,0.079732,0.072575,0.079732,"35,823","5,763,790"
okcash,"Jun 17, 2018",0.079483,0.082307,0.076723,0.078093,"21,252","5,886,360"
okcash,"Jun 16, 2018",0.078839,0.080213,0.075270,0.079286,"17,504","5,838,570"
okcash,"Jun 15, 2018",0.079647,0.085757,0.076736,0.079113,"32,522","5,898,310"
okcash,"Jun 14, 2018",0.071970,0.085318,0.070792,0.079794,"62,281","5,329,710"
okcash,"Jun 13, 2018",0.081183,0.085528,0.066615,0.071332,"74,183","6,011,850"
okcash,"Jun 12, 2018",0.086628,0.088183,0.080596,0.080929,"62,940","6,414,940"
okcash,"Jun 11, 2018",0.090056,0.090859,0.084008,0.086659,"95,563","6,668,740"
okcash,"Jun 10, 2018",0.106542,0.106542,0.088964,0.089929,"60,691","7,889,360"
okcash,"Jun 09, 2018",0.105820,0.109899,0.105402,0.106408,"61,262","7,835,800"
okcash,"Jun 08, 2018",0.107816,0.108344,0.104082,0.105864,"44,632","7,983,450"
okcash,"Jun 07, 2018",0.107450,0.109379,0.104232,0.107692,"79,516","7,956,160"
okcash,"Jun 06, 2018",0.108563,0.113960,0.102784,0.107353,"130,627","8,038,490"
okcash,"Jun 05, 2018",0.108957,0.110784,0.103857,0.108588,"90,447","8,067,380"
okcash,"Jun 04, 2018",0.116791,0.119094,0.108548,0.108904,"82,538","8,647,250"
okcash,"Jun 03, 2018",0.115540,0.120412,0.114871,0.116854,"82,532","8,554,490"
okcash,"Jun 02, 2018",0.113589,0.117298,0.110889,0.115508,"100,898","8,409,890"
okcash,"Jun 01, 2018",0.118358,0.119768,0.108443,0.111420,"134,090","8,762,860"
okcash,"May 31, 2018",0.113380,0.120382,0.111689,0.118267,"43,630","8,394,140"
okcash,"May 30, 2018",0.120440,0.123391,0.110235,0.111545,"111,266","8,916,670"
okcash,"May 29, 2018",0.104889,0.120243,0.103671,0.120243,"179,016","7,765,200"
okcash,"May 28, 2018",0.112131,0.114807,0.103632,0.104925,"49,724","8,301,200"
okcash,"May 27, 2018",0.116458,0.117068,0.111685,0.112099,"29,024","8,621,400"
okcash,"May 26, 2018",0.118961,0.123471,0.113792,0.116411,"34,580","8,806,590"
okcash,"May 25, 2018",0.125567,0.126873,0.115237,0.119039,"75,897","9,295,430"
okcash,"May 24, 2018",0.115137,0.128006,0.112867,0.125328,"101,493","8,523,180"
okcash,"May 23, 2018",0.131099,0.132704,0.114197,0.115426,"85,119","9,704,590"
okcash,"May 22, 2018",0.144165,0.144277,0.129400,0.131236,"84,417","10,671,600"
okcash,"May 21, 2018",0.153173,0.153281,0.143335,0.144188,"77,987","11,338,100"
okcash,"May 20, 2018",0.148648,0.152741,0.146210,0.152640,"44,702","11,003,000"
okcash,"May 19, 2018",0.152322,0.153025,0.145812,0.148537,"42,141","11,274,700"
okcash,"May 18, 2018",0.147569,0.154577,0.141957,0.150449,"101,659","10,922,600"
okcash,"May 17, 2018",0.154445,0.161147,0.145144,0.147444,"284,991","11,431,400"
okcash,"May 16, 2018",0.156072,0.164499,0.139284,0.154349,"426,913","11,551,600"
okcash,"May 15, 2018",0.155655,0.165035,0.150353,0.157437,"141,427","11,520,400"
okcash,"May 14, 2018",0.155328,0.165548,0.142472,0.156535,"218,065","11,496,000"
okcash,"May 13, 2018",0.139745,0.158337,0.139374,0.155351,"171,562","10,342,400"
okcash,"May 12, 2018",0.145052,0.146780,0.132441,0.139780,"130,562","10,734,900"
okcash,"May 11, 2018",0.170859,0.170859,0.141941,0.145471,"264,282","12,644,500"
okcash,"May 10, 2018",0.180022,0.181764,0.170648,0.170655,"174,011","13,322,200"
okcash,"May 09, 2018",0.181705,0.181982,0.165837,0.180073,"272,918","13,446,300"
