Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
parallelcoin,"Jul 02, 2018",0.606901,0.659313,0.543029,0.553940,201,"191,003"
parallelcoin,"Jul 01, 2018",0.663707,0.683798,0.607376,0.607705,113,"208,881"
parallelcoin,"Jun 30, 2018",0.703955,0.748846,0.555169,0.663419,426,"221,548"
parallelcoin,"Jun 29, 2018",0.469658,0.714255,0.468404,0.701841,181,"147,810"
parallelcoin,"Jun 28, 2018",0.495018,0.496975,0.466694,0.469319,130,"155,791"
parallelcoin,"Jun 27, 2018",0.490235,0.496494,0.485224,0.494438,22,"154,286"
parallelcoin,"Jun 26, 2018",0.510427,0.512721,0.489991,0.490433,56,"160,641"
parallelcoin,"Jun 25, 2018",0.546795,0.548602,0.494847,0.510427,76,"172,087"
parallelcoin,"Jun 24, 2018",0.545467,0.567653,0.511009,0.547845,198,"171,669"
parallelcoin,"Jun 23, 2018",0.583081,0.592509,0.521234,0.545541,468,"183,507"
parallelcoin,"Jun 22, 2018",0.638358,0.639452,0.564568,0.582921,227,"200,903"
parallelcoin,"Jun 21, 2018",0.620923,0.642461,0.619511,0.639065,171,"195,416"
parallelcoin,"Jun 20, 2018",0.637293,0.659245,0.594658,0.620793,87,"200,568"
parallelcoin,"Jun 19, 2018",0.633134,0.712893,0.595769,0.636597,205,"199,259"
parallelcoin,"Jun 18, 2018",0.646200,0.655535,0.603696,0.633188,334,"203,371"
parallelcoin,"Jun 17, 2018",0.688306,0.691464,0.640656,0.648355,354,"216,623"
parallelcoin,"Jun 16, 2018",0.650833,0.693059,0.650833,0.686485,138,"204,829"
parallelcoin,"Jun 15, 2018",0.700584,0.701423,0.636131,0.653216,93,"220,487"
parallelcoin,"Jun 14, 2018",0.679670,0.706590,0.671990,0.701743,57,"213,905"
parallelcoin,"Jun 13, 2018",0.739690,0.739690,0.653308,0.679972,168,"232,794"
parallelcoin,"Jun 12, 2018",0.752206,0.816808,0.724870,0.735808,125,"236,733"
parallelcoin,"Jun 11, 2018",0.746493,0.766750,0.735716,0.752697,444,"234,935"
parallelcoin,"Jun 10, 2018",0.994795,0.994795,0.737895,0.745785,824,"313,081"
parallelcoin,"Jun 09, 2018",0.845449,1.01,0.845197,0.993608,209,"266,078"
parallelcoin,"Jun 08, 2018",0.999088,1.05,0.840289,0.845764,475,"314,432"
parallelcoin,"Jun 07, 2018",0.989374,1.01,0.975831,0.998382,110,"311,374"
parallelcoin,"Jun 06, 2018",0.966222,1.07,0.963551,0.988555,234,"304,088"
