Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
parkgene,"Jul 02, 2018",0.006538,0.009018,0.005080,0.008582,"49,503","1,829,150"
parkgene,"Jul 01, 2018",0.008037,0.008082,0.005928,0.006160,"39,978","2,248,410"
parkgene,"Jun 30, 2018",0.005848,0.008954,0.005848,0.008035,"41,139","1,636,110"
parkgene,"Jun 29, 2018",0.006222,0.006690,0.005754,0.005840,"60,128","1,740,740"
parkgene,"Jun 28, 2018",0.006829,0.006967,0.005958,0.005987,"27,144","1,910,410"
parkgene,"Jun 27, 2018",0.006441,0.006992,0.006077,0.006885,"59,826","1,802,080"
parkgene,"Jun 26, 2018",0.006305,0.006687,0.006268,0.006444,"49,769","1,763,830"
parkgene,"Jun 25, 2018",0.005649,0.006608,0.005523,0.006488,"98,641","1,580,340"
parkgene,"Jun 24, 2018",0.005721,0.006219,0.005261,0.005745,"1,108","1,600,640"
parkgene,"Jun 23, 2018",0.006108,0.006304,0.005161,0.005615,994,"1,708,730"
parkgene,"Jun 22, 2018",0.007039,0.007067,0.004951,0.006051,"10,152","1,969,260"
parkgene,"Jun 21, 2018",0.009210,0.009210,0.005696,0.007020,"4,777","2,576,520"
parkgene,"Jun 20, 2018",0.008776,0.009201,0.006954,0.009095,"17,023","2,455,150"
parkgene,"Jun 19, 2018",0.009161,0.009839,0.008467,0.008971,"40,562","2,563,010"
parkgene,"Jun 18, 2018",0.007575,0.009231,0.007397,0.009166,"33,799","2,119,200"
parkgene,"Jun 17, 2018",0.007508,0.007790,0.007127,0.007478,"16,764","2,100,580"
parkgene,"Jun 16, 2018",0.007135,0.007677,0.007032,0.007489,"33,215","1,996,180"
parkgene,"Jun 15, 2018",0.007550,0.007800,0.007048,0.007161,"14,372","2,112,210"
parkgene,"Jun 14, 2018",0.006825,0.008084,0.006812,0.007689,"15,570","1,909,510"
parkgene,"Jun 13, 2018",0.007050,0.007519,0.006006,0.006829,"24,310","1,972,310"
parkgene,"Jun 12, 2018",0.007859,0.007980,0.006565,0.007032,"63,809","2,198,740"
parkgene,"Jun 11, 2018",0.008063,0.008125,0.007205,0.007863,"68,080","2,255,750"
parkgene,"Jun 10, 2018",0.009313,0.009313,0.007966,0.008052,"55,584","2,605,530"
parkgene,"Jun 09, 2018",0.009458,0.009663,0.008628,0.009302,"30,252","2,645,950"
parkgene,"Jun 08, 2018",0.009745,0.011086,0.009207,0.009462,"64,589","2,726,160"
parkgene,"Jun 07, 2018",0.009650,0.009766,0.009151,0.009737,"111,756","2,699,810"
parkgene,"Jun 06, 2018",0.009858,0.009878,0.009229,0.009642,"39,705","2,757,940"
parkgene,"Jun 05, 2018",0.010276,0.010287,0.008901,0.009861,"55,411","2,874,910"
parkgene,"Jun 04, 2018",0.009944,0.011023,0.009316,0.010271,"278,603","2,782,070"
parkgene,"Jun 03, 2018",0.009998,0.010336,0.009156,0.009786,"406,504","2,796,910"
parkgene,"Jun 02, 2018",0.009817,0.011406,0.008807,0.009843,"176,912","2,746,320"
parkgene,"Jun 01, 2018",0.010204,0.010418,0.009575,0.009814,"115,388","2,854,570"
parkgene,"May 31, 2018",0.010195,0.010517,0.008990,0.010195,"377,183","2,852,160"
parkgene,"May 30, 2018",0.009033,0.010585,0.009022,0.010197,"54,812","2,527,190"
parkgene,"May 29, 2018",0.009977,0.010598,0.009021,0.009027,"31,056","2,791,150"
parkgene,"May 28, 2018",0.011170,0.011336,0.009947,0.009980,"75,940","3,124,830"
parkgene,"May 27, 2018",0.011370,0.011439,0.010117,0.011167,"31,243","3,180,800"
parkgene,"May 26, 2018",0.012247,0.012247,0.010615,0.011365,"36,443","3,426,270"
parkgene,"May 25, 2018",0.012405,0.012552,0.011165,0.012263,"12,507","3,470,380"
parkgene,"May 24, 2018",0.011505,0.012772,0.011505,0.012382,"36,330","3,172,730"
parkgene,"May 23, 2018",0.012326,0.013926,0.011440,0.011535,"26,555","3,398,970"
parkgene,"May 22, 2018",0.014795,0.014807,0.011872,0.012339,"48,129","4,080,000"
parkgene,"May 21, 2018",0.014828,0.015152,0.013619,0.014798,"93,650","4,088,900"
parkgene,"May 20, 2018",0.014026,0.015354,0.013185,0.014809,"42,600","3,867,740"
parkgene,"May 19, 2018",0.014771,0.015564,0.013980,0.014015,"65,162","4,073,220"
parkgene,"May 18, 2018",0.015178,0.015394,0.014464,0.014529,"55,060","4,185,610"
parkgene,"May 17, 2018",0.016279,0.016465,0.012410,0.015165,"74,549","4,489,130"
parkgene,"May 16, 2018",0.015695,0.016757,0.015048,0.016269,"72,789","4,328,090"
parkgene,"May 15, 2018",0.017011,0.017981,0.015292,0.015704,"63,481","4,690,860"
parkgene,"May 14, 2018",0.017460,0.018681,0.015922,0.017053,"60,359",-
parkgene,"May 13, 2018",0.016416,0.017779,0.015740,0.017463,"91,597",-
parkgene,"May 12, 2018",0.013365,0.016576,0.013365,0.016422,"100,681",-
parkgene,"May 11, 2018",0.012663,0.017465,0.012462,0.013403,"43,672",-
parkgene,"May 10, 2018",0.014106,0.015825,0.012636,0.012648,"58,791",-
