Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
petrodollar,"Jul 02, 2018",0.007743,0.009866,0.007644,0.008055,"1,050","495,490"
petrodollar,"Jul 01, 2018",0.007624,0.007827,0.007599,0.007742,203,"487,853"
petrodollar,"Jun 30, 2018",0.007260,0.007826,0.007259,0.007622,11,"464,573"
petrodollar,"Jun 29, 2018",0.006866,0.007374,0.006460,0.007250,885,"439,386"
petrodollar,"Jun 28, 2018",0.007484,0.007506,0.006689,0.006862,"1,096","478,949"
petrodollar,"Jun 27, 2018",0.006933,0.007788,0.006742,0.007482,276,"443,643"
petrodollar,"Jun 26, 2018",0.007104,0.007277,0.006858,0.006935,534,"454,585"
petrodollar,"Jun 25, 2018",0.007504,0.008068,0.006919,0.007104,"1,014","480,190"
petrodollar,"Jun 24, 2018",0.007649,0.007848,0.007040,0.007518,58,"489,483"
petrodollar,"Jun 23, 2018",0.008110,0.008256,0.007402,0.007650,893,"518,960"
petrodollar,"Jun 22, 2018",0.008991,0.009007,0.007966,0.008109,113,"575,381"
petrodollar,"Jun 21, 2018",0.009109,0.009959,0.008983,0.009001,227,"582,946"
petrodollar,"Jun 20, 2018",0.009437,0.009447,0.008740,0.009108,296,"603,929"
petrodollar,"Jun 19, 2018",0.010932,0.011403,0.008874,0.009432,"1,099","699,556"
petrodollar,"Jun 18, 2018",0.008991,0.010953,0.008924,0.010938,"1,445","575,372"
petrodollar,"Jun 17, 2018",0.008761,0.009328,0.008757,0.009022,83,"560,664"
petrodollar,"Jun 16, 2018",0.008711,0.009079,0.008608,0.008738,"4,180","557,417"
petrodollar,"Jun 15, 2018",0.009414,0.009425,0.008695,0.008742,597,"602,427"
petrodollar,"Jun 14, 2018",0.008732,0.009477,0.008715,0.009429,951,"558,809"
petrodollar,"Jun 13, 2018",0.009216,0.009447,0.007987,0.008736,"1,347","589,776"
petrodollar,"Jun 12, 2018",0.010762,0.010762,0.008985,0.009192,"1,800","688,717"
petrodollar,"Jun 11, 2018",0.010511,0.010826,0.009947,0.010768,"1,154","672,640"
petrodollar,"Jun 10, 2018",0.011258,0.011662,0.009818,0.010496,"2,268","720,441"
petrodollar,"Jun 09, 2018",0.011746,0.011892,0.011244,0.011244,393,"751,650"
petrodollar,"Jun 08, 2018",0.011370,0.011804,0.011113,0.011751,"1,007","727,612"
petrodollar,"Jun 07, 2018",0.012604,0.012982,0.011329,0.011362,83,"806,536"
petrodollar,"Jun 06, 2018",0.012118,0.012657,0.011124,0.012592,266,"775,451"
