Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
phantomx,"Jul 02, 2018",0.001683,0.002869,0.001070,0.002453,691,"44,691"
phantomx,"Jul 01, 2018",0.004038,0.004061,0.001393,0.001683,269,"107,034"
phantomx,"Jun 30, 2018",0.004778,0.006388,0.003011,0.004037,814,"126,369"
phantomx,"Jun 29, 2018",0.004109,0.004853,0.002918,0.004771,165,"108,445"
phantomx,"Jun 28, 2018",0.002594,0.005039,0.002593,0.004107,66,"68,305"
phantomx,"Jun 27, 2018",0.003172,0.003198,0.002587,0.002593,19,"83,324"
phantomx,"Jun 26, 2018",0.003342,0.006327,0.003162,0.003173,78,"87,577"
phantomx,"Jun 25, 2018",0.003259,0.003417,0.003048,0.003342,18,"85,222"
phantomx,"Jun 24, 2018",0.003252,0.005593,0.003100,0.003265,116,"84,844"
phantomx,"Jun 23, 2018",0.005935,0.006416,0.002816,0.003253,211,"154,487"
phantomx,"Jun 22, 2018",0.006696,0.006710,0.005831,0.005934,176,"173,925"
phantomx,"Jun 21, 2018",0.006932,0.006953,0.006678,0.006704,115,"179,648"
phantomx,"Jun 20, 2018",0.006883,0.007448,0.006701,0.006931,86,"177,970"
phantomx,"Jun 19, 2018",0.007079,0.007113,0.006795,0.006879,84,"182,631"
phantomx,"Jun 18, 2018",0.007210,0.008143,0.007037,0.007083,303,"185,623"
phantomx,"Jun 17, 2018",0.008478,0.008494,0.007211,0.007235,489,"217,769"
phantomx,"Jun 16, 2018",0.008940,0.009999,0.008250,0.008456,703,"229,150"
phantomx,"Jun 15, 2018",0.008755,0.010816,0.008289,0.008973,495,"223,931"
phantomx,"Jun 14, 2018",0.009732,0.010960,0.008667,0.008770,168,"248,368"
phantomx,"Jun 13, 2018",0.010526,0.011306,0.009615,0.009736,380,"268,064"
phantomx,"Jun 12, 2018",0.012403,0.018052,0.009857,0.010498,"1,018","315,189"
phantomx,"Jun 11, 2018",0.008817,0.020110,0.008769,0.012409,"1,548","223,575"
phantomx,"Jun 10, 2018",0.009915,0.013266,0.008712,0.008804,861,"250,875"
phantomx,"Jun 09, 2018",0.011154,0.013631,0.009239,0.009903,774,"281,577"
phantomx,"Jun 08, 2018",0.010518,0.013584,0.008191,0.011159,"1,371","264,923"
phantomx,"Jun 07, 2018",0.009460,0.012241,0.007950,0.010510,627,"237,730"
phantomx,"Jun 06, 2018",0.008837,0.010249,0.008367,0.009451,323,"221,574"
phantomx,"Jun 05, 2018",0.009177,0.010859,0.008484,0.008840,958,"229,573"
phantomx,"Jun 04, 2018",0.010325,0.010444,0.009132,0.009173,369,"257,681"
phantomx,"Jun 03, 2018",0.010445,0.010554,0.010318,0.010344,457,"260,071"
phantomx,"Jun 02, 2018",0.009889,0.012520,0.009811,0.010442,570,"245,669"
phantomx,"Jun 01, 2018",0.010417,0.010550,0.009893,0.009893,140,"258,188"
phantomx,"May 31, 2018",0.012391,0.012635,0.010117,0.010409,"1,082","306,411"
phantomx,"May 30, 2018",0.013484,0.014219,0.012294,0.012393,833,"332,710"
phantomx,"May 29, 2018",0.011695,0.013504,0.011634,0.013471,"2,094","287,911"
phantomx,"May 28, 2018",0.007581,0.013045,0.006356,0.012002,"1,204","186,196"
