Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
philosopher-stones,"Jul 02, 2018",0.033510,0.034920,0.033162,0.034824,355,"201,541"
philosopher-stones,"Jul 01, 2018",0.033214,0.033753,0.033058,0.033506,349,"199,761"
philosopher-stones,"Jun 30, 2018",0.030342,0.033394,0.030340,0.033207,6,"182,487"
philosopher-stones,"Jun 29, 2018",0.028667,0.030821,0.028313,0.030301,65,"172,414"
philosopher-stones,"Jun 28, 2018",0.029565,0.029652,0.029302,0.029436,6,"177,816"
philosopher-stones,"Jun 27, 2018",0.027666,0.029696,0.027485,0.029555,55,"166,391"
philosopher-stones,"Jun 26, 2018",0.029803,0.032492,0.027651,0.027677,85,"179,248"
philosopher-stones,"Jun 25, 2018",0.029338,0.030127,0.029083,0.029803,104,"176,451"
philosopher-stones,"Jun 24, 2018",0.027167,0.029845,0.026000,0.029395,80,"163,393"
philosopher-stones,"Jun 20, 2018",0.029587,0.029616,0.028848,0.029029,4,"177,945"
philosopher-stones,"Jun 19, 2018",0.029434,0.029781,0.029360,0.029569,4,"177,024"
philosopher-stones,"Jun 15, 2018",0.031691,0.031729,0.031322,0.031524,3,"190,599"
philosopher-stones,"Jun 14, 2018",0.027489,0.031894,0.027433,0.031743,3,"165,330"
philosopher-stones,"Jun 13, 2018",0.027459,0.027502,0.027457,0.027502,55,"165,150"
philosopher-stones,"Jun 12, 2018",0.033680,0.033680,0.032898,0.033071,4,"202,563"
philosopher-stones,"Jun 11, 2018",0.034419,0.034636,0.032725,0.033698,4,"207,006"
philosopher-stones,"Jun 10, 2018",0.047359,0.047359,0.031765,0.034370,"1,084","284,833"
philosopher-stones,"Jun 09, 2018",0.041189,0.048211,0.041135,0.047299,30,"247,725"
philosopher-stones,"Jun 08, 2018",0.044559,0.044651,0.043848,0.044403,22,"267,991"
philosopher-stones,"Jun 07, 2018",0.045941,0.046489,0.044426,0.044525,79,"276,302"
philosopher-stones,"Jun 06, 2018",0.044295,0.046136,0.041015,0.045898,50,"266,404"
philosopher-stones,"Jun 05, 2018",0.042463,0.044387,0.034692,0.044307,211,"255,387"
