Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
pillar,"Jul 02, 2018",0.143166,0.148463,0.131226,0.148134,"56,537","37,129,800"
pillar,"Jul 01, 2018",0.144523,0.145483,0.140793,0.143256,"39,965","37,481,800"
pillar,"Jun 30, 2018",0.138346,0.153980,0.138346,0.144415,"63,935","35,879,800"
pillar,"Jun 29, 2018",0.141482,0.142247,0.124154,0.138361,"46,938","36,693,100"
pillar,"Jun 28, 2018",0.150600,0.155796,0.140867,0.141609,"16,790","39,057,800"
pillar,"Jun 27, 2018",0.145268,0.151036,0.134485,0.150451,"9,659","37,674,900"
pillar,"Jun 26, 2018",0.146010,0.147444,0.138136,0.145404,"10,155","37,867,500"
pillar,"Jun 25, 2018",0.148728,0.153769,0.144165,0.146016,"16,960","38,572,300"
pillar,"Jun 24, 2018",0.165120,0.165499,0.138659,0.147555,"31,885","42,823,500"
pillar,"Jun 23, 2018",0.158809,0.187711,0.149066,0.165186,"37,633","41,186,900"
pillar,"Jun 22, 2018",0.180560,0.183367,0.140753,0.158731,"126,251","46,827,800"
pillar,"Jun 21, 2018",0.184425,0.186703,0.175560,0.180249,"34,750","47,830,300"
pillar,"Jun 20, 2018",0.177552,0.189494,0.173897,0.184462,"62,656","46,047,800"
pillar,"Jun 19, 2018",0.179627,0.197121,0.163578,0.177420,"50,320","46,585,900"
pillar,"Jun 18, 2018",0.171653,0.180125,0.155191,0.179184,"45,746","44,518,000"
pillar,"Jun 17, 2018",0.171013,0.179185,0.166899,0.171991,"14,866","44,351,900"
pillar,"Jun 16, 2018",0.182217,0.184680,0.170839,0.171300,"21,928","47,257,700"
pillar,"Jun 15, 2018",0.167044,0.191264,0.160601,0.182367,"123,487","43,322,500"
pillar,"Jun 14, 2018",0.148827,0.175222,0.148827,0.167347,"54,134","38,598,100"
pillar,"Jun 13, 2018",0.175801,0.181792,0.148564,0.148564,"46,735","45,593,600"
pillar,"Jun 12, 2018",0.192888,0.194911,0.172421,0.175317,"12,572","50,025,300"
pillar,"Jun 11, 2018",0.188590,0.195439,0.181732,0.193028,"24,733","48,910,600"
pillar,"Jun 10, 2018",0.225958,0.228035,0.182025,0.189075,"74,493","58,601,900"
pillar,"Jun 09, 2018",0.222949,0.236703,0.222949,0.225633,"23,950","57,821,400"
pillar,"Jun 08, 2018",0.241997,0.249451,0.222188,0.222188,"39,500","62,761,400"
pillar,"Jun 07, 2018",0.260057,0.262945,0.223664,0.226123,"61,902","67,445,400"
pillar,"Jun 06, 2018",0.237514,0.263622,0.237514,0.260453,"94,435","61,598,800"
pillar,"Jun 05, 2018",0.223905,0.247291,0.221720,0.241105,"93,170","58,069,500"
pillar,"Jun 04, 2018",0.222558,0.252811,0.222152,0.223758,"92,912","57,720,100"
pillar,"Jun 03, 2018",0.189693,0.231566,0.183978,0.224199,"90,634","49,196,600"
pillar,"Jun 02, 2018",0.184055,0.192421,0.177179,0.189915,"54,673","47,734,300"
pillar,"Jun 01, 2018",0.183595,0.222736,0.171467,0.184129,"41,976","47,614,900"
pillar,"May 31, 2018",0.164520,0.187470,0.162162,0.183416,"70,918","42,668,100"
pillar,"May 30, 2018",0.171071,0.193383,0.166736,0.170281,"51,900","44,366,900"
pillar,"May 29, 2018",0.154577,0.179335,0.154577,0.170953,"53,057","40,089,200"
pillar,"May 28, 2018",0.176133,0.185767,0.149627,0.154837,"83,284","45,679,800"
pillar,"May 27, 2018",0.190104,0.196238,0.169783,0.173886,"70,827","49,303,100"
pillar,"May 26, 2018",0.190872,0.209139,0.175808,0.189960,"148,106","49,502,300"
pillar,"May 25, 2018",0.191525,0.201412,0.168417,0.189971,"199,705","49,671,500"
pillar,"May 24, 2018",0.187415,0.202510,0.177105,0.190956,"219,293","48,605,800"
pillar,"May 23, 2018",0.205805,0.209994,0.185015,0.187487,"223,326","53,375,200"
pillar,"May 22, 2018",0.226361,0.236721,0.205525,0.206809,"130,260","51,471,000"
pillar,"May 21, 2018",0.252000,0.258549,0.204387,0.225308,"466,746","57,301,100"
pillar,"May 20, 2018",0.249053,0.274869,0.244357,0.251538,"146,476","56,630,800"
pillar,"May 19, 2018",0.246586,0.265326,0.238465,0.248921,"127,765","56,069,800"
pillar,"May 18, 2018",0.261369,0.281306,0.238048,0.238178,"129,982","59,431,300"
pillar,"May 17, 2018",0.286749,0.292504,0.255039,0.261416,"53,489","65,202,300"
pillar,"May 16, 2018",0.286119,0.318927,0.273674,0.286656,"161,656","65,059,200"
pillar,"May 15, 2018",0.303513,0.312056,0.286255,0.286255,"37,517","69,014,200"
pillar,"May 14, 2018",0.290029,0.367182,0.272622,0.304239,"132,549","65,948,100"
pillar,"May 13, 2018",0.273677,0.295937,0.272370,0.291675,"136,566","62,230,100"
