Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ponzicoin,"Jul 02, 2018",0.031670,0.033174,0.031341,0.032968,6,"27,271"
ponzicoin,"Jul 01, 2018",0.031873,0.032052,0.031362,0.031666,127,"27,446"
ponzicoin,"Jun 30, 2018",0.031739,0.031978,0.031540,0.031866,135,"27,331"
ponzicoin,"Jun 29, 2018",0.030164,0.030445,0.029821,0.030280,3,"25,974"
ponzicoin,"Jun 28, 2018",0.031528,0.031621,0.029975,0.030145,3,"27,149"
ponzicoin,"Jun 27, 2018",0.023227,0.031668,0.023075,0.031517,8,"20,001"
ponzicoin,"Jun 26, 2018",0.026867,0.034293,0.020763,0.023236,167,"23,135"
ponzicoin,"Jun 25, 2018",0.023249,0.033841,0.023153,0.026867,69,"20,020"
ponzicoin,"Jun 24, 2018",0.032498,0.052291,0.023165,0.023294,82,"27,984"
ponzicoin,"Jun 23, 2018",0.033286,0.061595,0.032299,0.032503,375,"28,662"
ponzicoin,"Jun 22, 2018",0.036666,0.036696,0.032697,0.033281,9,"31,573"
ponzicoin,"Jun 15, 2018",0.034946,0.034988,0.034107,0.034359,3,"30,092"
ponzicoin,"Jun 14, 2018",0.034757,0.035978,0.033454,0.035004,3,"29,929"
ponzicoin,"Jun 13, 2018",0.034561,0.035742,0.034118,0.034772,4,"29,760"
ponzicoin,"Jun 12, 2018",0.036159,0.037736,0.034157,0.034472,4,"31,137"
ponzicoin,"Jun 11, 2018",0.036655,0.037250,0.035421,0.036179,6,"31,563"
ponzicoin,"Jun 10, 2018",0.041355,0.041355,0.036067,0.036602,2,"35,610"
ponzicoin,"Jun 09, 2018",0.041873,0.042219,0.041303,0.041303,21,"36,057"
ponzicoin,"Jun 08, 2018",0.042137,0.042162,0.041504,0.041891,4,"36,284"
ponzicoin,"Jun 07, 2018",0.056201,0.056871,0.056201,0.056393,1,"48,394"
ponzicoin,"Jun 06, 2018",0.040635,0.056439,0.040477,0.056149,6,"34,991"
ponzicoin,"Jun 05, 2018",0.054092,0.055058,0.040478,0.040646,1,"46,578"
ponzicoin,"Jun 04, 2018",0.053955,0.054363,0.053865,0.054066,2,"46,460"
ponzicoin,"Jun 02, 2018",0.054120,0.055231,0.053816,0.055034,2,"46,602"
ponzicoin,"Jun 01, 2018",0.047878,0.054265,0.047062,0.054143,8,"41,228"
ponzicoin,"May 31, 2018",0.038464,0.039539,0.038276,0.038963,1,"33,121"
ponzicoin,"May 30, 2018",0.028589,0.039236,0.028553,0.038471,15,"24,618"
ponzicoin,"May 29, 2018",0.028261,0.029978,0.028176,0.028570,14,"24,335"
ponzicoin,"May 28, 2018",0.045101,0.045505,0.026338,0.028270,86,"38,836"
ponzicoin,"May 27, 2018",0.053693,0.054674,0.044767,0.045090,15,"46,235"
ponzicoin,"May 26, 2018",0.041406,0.055479,0.041358,0.053669,100,"35,655"
ponzicoin,"May 25, 2018",0.035243,0.035658,0.034301,0.034871,1,"30,347"
ponzicoin,"May 24, 2018",0.030981,0.035420,0.029979,0.035176,1,"26,677"
ponzicoin,"May 23, 2018",0.040577,0.042498,0.030805,0.031059,84,"34,941"
ponzicoin,"May 22, 2018",0.042627,0.042660,0.040391,0.040620,0,"36,706"
ponzicoin,"May 21, 2018",0.042500,0.042784,0.042473,0.042635,1,"36,597"
ponzicoin,"May 18, 2018",0.040956,0.041265,0.040349,0.040909,1,"35,267"
ponzicoin,"May 17, 2018",0.042410,0.042891,0.040685,0.040920,1,"36,519"
ponzicoin,"May 16, 2018",0.043025,0.043060,0.041242,0.042384,1,"37,049"
ponzicoin,"May 15, 2018",0.043979,0.044375,0.041081,0.043050,3,"37,871"
ponzicoin,"May 14, 2018",0.041800,0.044905,0.040053,0.044055,2,"35,994"
ponzicoin,"May 13, 2018",0.040730,0.042117,0.040254,0.041808,1,"35,072"
ponzicoin,"May 12, 2018",0.041514,0.042403,0.039722,0.040744,8,"35,747"
ponzicoin,"May 11, 2018",0.044376,0.044376,0.041855,0.042404,1,"38,212"
ponzicoin,"May 10, 2018",0.044807,0.044839,0.044280,0.044323,1,"38,583"
ponzicoin,"May 09, 2018",0.044707,0.045431,0.043704,0.045361,1,"38,497"
ponzicoin,"May 08, 2018",0.051518,0.051993,0.044314,0.044775,1,"44,362"
ponzicoin,"May 07, 2018",0.046723,0.051965,0.044204,0.051409,98,"40,233"
ponzicoin,"May 06, 2018",0.052024,0.052024,0.046157,0.046689,60,"44,797"
ponzicoin,"May 01, 2018",0.054613,0.054613,0.052687,0.053065,2,"47,027"
ponzicoin,"Apr 30, 2018",0.048076,0.055260,0.047559,0.054566,15,"41,398"
ponzicoin,"Apr 29, 2018",0.056829,0.056841,0.055101,0.055876,1,"48,936"
ponzicoin,"Apr 28, 2018",0.053583,0.056657,0.053445,0.056281,2,"46,140"
ponzicoin,"Apr 27, 2018",0.052901,0.056321,0.052023,0.053767,2,"45,553"
ponzicoin,"Apr 26, 2018",0.050505,0.052945,0.050320,0.052827,22,"43,490"
ponzicoin,"Apr 24, 2018",0.049444,0.052543,0.049422,0.052494,13,"42,576"
ponzicoin,"Apr 23, 2018",0.048736,0.049547,0.048695,0.049402,12,"41,966"
ponzicoin,"Apr 22, 2018",0.063212,0.065656,0.062342,0.064320,1,"54,432"
ponzicoin,"Apr 21, 2018",0.073653,0.073653,0.061325,0.063212,154,"63,423"
ponzicoin,"Apr 20, 2018",0.068879,0.074312,0.068599,0.073628,2,"59,312"
ponzicoin,"Apr 19, 2018",0.057477,0.068883,0.057222,0.068834,2,"49,493"
ponzicoin,"Apr 18, 2018",0.065932,0.067865,0.056217,0.057434,1,"56,774"
ponzicoin,"Apr 17, 2018",0.071721,0.071800,0.065657,0.065871,4,"61,759"
ponzicoin,"Apr 16, 2018",0.068348,0.071818,0.065907,0.071685,2,"58,854"
ponzicoin,"Apr 15, 2018",0.065530,0.068557,0.065530,0.068377,85,"56,428"
ponzicoin,"Apr 14, 2018",0.078276,0.081311,0.064689,0.065460,81,"67,404"
ponzicoin,"Apr 13, 2018",0.071582,0.101165,0.036534,0.078276,435,"61,639"
ponzicoin,"Apr 12, 2018",0.064949,0.075202,0.063161,0.071491,11,"55,927"
ponzicoin,"Apr 11, 2018",0.048842,0.065106,0.048701,0.065106,114,"42,057"
ponzicoin,"Apr 10, 2018",0.050433,0.050591,0.047705,0.048794,6,"43,428"
ponzicoin,"Apr 09, 2018",0.049457,0.050392,0.048538,0.050392,48,"42,588"
