Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
posex,"Jul 02, 2018",0.006093,0.006382,0.006029,0.006343,1,"14,947"
posex,"Jul 01, 2018",0.006004,0.006137,0.005908,0.006092,1,"14,730"
posex,"Jun 30, 2018",0.005708,0.006024,0.005708,0.006003,2,"14,004"
posex,"Jun 29, 2018",0.005365,0.005799,0.005365,0.005701,1,"13,161"
posex,"Jun 27, 2018",0.005412,0.005443,0.005376,0.005413,44,"13,276"
posex,"Jun 26, 2018",0.005561,0.005583,0.005409,0.005414,44,"13,642"
posex,"Jun 25, 2018",0.005843,0.005862,0.005426,0.005561,45,"14,335"
posex,"Jun 24, 2018",0.005143,0.005944,0.005012,0.005854,5,"12,617"
posex,"Jun 23, 2018",0.005689,0.005792,0.005679,0.005767,1,"13,956"
posex,"Jun 22, 2018",0.005756,0.005866,0.005588,0.005688,1,"14,122"
posex,"Jun 20, 2018",0.005674,0.005680,0.005533,0.005577,3,"13,920"
posex,"Jun 19, 2018",0.005651,0.005711,0.005629,0.005671,3,"13,862"
posex,"Jun 18, 2018",0.005506,0.005685,0.005460,0.005683,7,"13,507"
posex,"Jun 17, 2018",0.005548,0.005590,0.005506,0.005524,7,"13,611"
posex,"Jun 16, 2018",0.005973,0.006103,0.005918,0.006076,1,"14,652"
posex,"Jun 15, 2018",0.006095,0.006118,0.005961,0.005994,1,"14,953"
posex,"Jun 10, 2018",0.006380,0.006380,0.005667,0.005729,1,"15,651"
posex,"Jun 09, 2018",0.007074,0.007082,0.006372,0.006372,2,"17,355"
posex,"Jun 08, 2018",0.006530,0.006544,0.006426,0.006438,2,"16,020"
posex,"Jun 07, 2018",0.006538,0.006557,0.006503,0.006525,2,"16,039"
posex,"Jun 06, 2018",0.006328,0.006343,0.006314,0.006332,26,"15,524"
posex,"Jun 05, 2018",0.006602,0.006609,0.006126,0.006330,26,"16,196"
posex,"Jun 04, 2018",0.006767,0.006782,0.006574,0.006599,3,"16,602"
posex,"Jun 02, 2018",0.006765,0.006771,0.006727,0.006741,2,"16,596"
posex,"Jun 01, 2018",0.006739,0.006832,0.006628,0.006768,2,"16,532"
posex,"May 31, 2018",0.006571,0.006752,0.006539,0.006705,5,"16,119"
posex,"May 30, 2018",0.006867,0.006990,0.006502,0.006572,6,"16,848"
posex,"May 29, 2018",0.006627,0.007005,0.006624,0.006863,10,"16,259"
posex,"May 28, 2018",0.007419,0.007485,0.007260,0.007318,1,"18,200"
posex,"May 27, 2018",0.007400,0.007452,0.007350,0.007417,2,"18,155"
posex,"May 23, 2018",0.007603,0.007625,0.007483,0.007532,5,"18,653"
posex,"May 22, 2018",0.009753,0.009760,0.007568,0.007611,5,"23,926"
posex,"May 21, 2018",0.008409,0.009789,0.008278,0.009755,6,"20,629"
posex,"May 20, 2018",0.010637,0.010702,0.010568,0.010697,47,"26,094"
posex,"May 19, 2018",0.010608,0.010794,0.010579,0.010629,47,"26,023"
posex,"May 18, 2018",0.008078,0.008078,0.007958,0.008053,3,"19,817"
posex,"May 17, 2018",0.007847,0.008375,0.007834,0.008071,4,"19,252"
posex,"May 16, 2018",0.007298,0.007916,0.006996,0.007843,3,"17,904"
posex,"May 15, 2018",0.007287,0.008026,0.007260,0.007302,7,"17,876"
posex,"May 14, 2018",0.007474,0.007490,0.007161,0.007299,18,"18,335"
posex,"May 13, 2018",0.007247,0.007530,0.007235,0.007475,10,"17,778"
posex,"May 12, 2018",0.007555,0.007617,0.007412,0.007485,2,"18,535"
posex,"May 11, 2018",0.008052,0.008102,0.007528,0.007578,4,"19,753"
posex,"May 09, 2018",0.008647,0.008740,0.008453,0.008738,3,"21,213"
posex,"May 08, 2018",0.008524,0.008730,0.008211,0.008660,6,"20,911"
posex,"May 07, 2018",0.009998,0.010771,0.008380,0.008506,73,"24,528"
posex,"May 06, 2018",0.009829,0.010000,0.009444,0.009991,10,"24,112"
posex,"May 05, 2018",0.010080,0.010357,0.009817,0.009822,8,"24,730"
posex,"May 04, 2018",0.009845,0.010219,0.009659,0.010085,9,"24,153"
posex,"May 03, 2018",0.009080,0.009896,0.009002,0.009849,41,"22,276"
posex,"May 02, 2018",0.008902,0.008980,0.008838,0.008980,4,"21,838"
posex,"May 01, 2018",0.009148,0.009148,0.008689,0.008915,4,"22,443"
posex,"Apr 30, 2018",0.008393,0.009257,0.008234,0.009140,12,"20,589"
posex,"Apr 29, 2018",0.009582,0.009584,0.009291,0.009402,11,"23,508"
posex,"Apr 28, 2018",0.008559,0.009050,0.008537,0.008990,13,"20,997"
posex,"Apr 27, 2018",0.008925,0.008996,0.008588,0.008588,12,"21,896"
posex,"Apr 26, 2018",0.007268,0.008933,0.007090,0.008913,12,"17,829"
posex,"Apr 25, 2018",0.007974,0.007974,0.007198,0.007208,198,"19,562"
posex,"Apr 24, 2018",0.009014,0.009579,0.009010,0.009570,8,"22,114"
posex,"Apr 23, 2018",0.009571,0.009747,0.008923,0.009007,7,"23,481"
posex,"Apr 22, 2018",0.010000,0.010059,0.009541,0.009591,3,"24,532"
posex,"Apr 21, 2018",0.009815,0.011036,0.009701,0.010000,16,"24,077"
posex,"Apr 20, 2018",0.009426,0.009902,0.009322,0.009811,10,"23,125"
posex,"Apr 19, 2018",0.009471,0.009552,0.009362,0.009420,32,"23,234"
posex,"Apr 18, 2018",0.009159,0.009523,0.009142,0.009464,7,"22,470"
posex,"Apr 17, 2018",0.009418,0.010223,0.009121,0.009151,151,"23,104"
posex,"Apr 16, 2018",0.009681,0.009735,0.009264,0.009413,3,"23,749"
posex,"Apr 15, 2018",0.009521,0.010631,0.009521,0.009685,42,"23,358"
posex,"Apr 14, 2018",0.009362,0.009725,0.009330,0.009511,4,"22,967"
posex,"Apr 13, 2018",0.010531,0.010609,0.009310,0.009362,4,"25,836"
posex,"Apr 12, 2018",0.008891,0.010573,0.008842,0.010518,10,"21,813"
posex,"Apr 11, 2018",0.007787,0.008913,0.007775,0.008913,4,"19,104"
posex,"Apr 10, 2018",0.007774,0.008925,0.007666,0.007780,64,"19,073"
posex,"Apr 09, 2018",0.008079,0.008245,0.007611,0.007768,4,"19,820"
posex,"Apr 08, 2018",0.007457,0.008728,0.007457,0.008066,6,"18,293"
posex,"Apr 07, 2018",0.008144,0.008474,0.007401,0.007450,25,"19,980"
posex,"Apr 06, 2018",0.008470,0.008559,0.007829,0.008135,10,"20,780"
posex,"Apr 05, 2018",0.008218,0.008536,0.007956,0.008514,25,"20,161"
posex,"Apr 04, 2018",0.008974,0.008974,0.008140,0.008215,12,"22,015"
posex,"Apr 03, 2018",0.008107,0.009066,0.008080,0.008980,38,"19,887"
posex,"Apr 02, 2018",0.008190,0.008555,0.007292,0.008101,111,"20,093"
posex,"Apr 01, 2018",0.008939,0.010433,0.005906,0.008150,"1,249","21,931"
posex,"Mar 31, 2018",0.010187,0.010940,0.008565,0.008940,167,"24,992"
posex,"Mar 30, 2018",0.010555,0.010728,0.009839,0.010186,112,"25,894"
posex,"Mar 29, 2018",0.012944,0.012965,0.010273,0.010581,28,"31,755"
posex,"Mar 28, 2018",0.011291,0.013038,0.011228,0.012929,14,"27,699"
posex,"Mar 27, 2018",0.012254,0.012293,0.011279,0.011293,16,"30,061"
posex,"Mar 26, 2018",0.015951,0.016039,0.006437,0.012272,590,"39,133"
posex,"Mar 25, 2018",0.015986,0.017690,0.015747,0.015964,9,"39,217"
posex,"Mar 24, 2018",0.018448,0.018519,0.016170,0.016209,3,"45,256"
posex,"Mar 23, 2018",0.017925,0.018183,0.015968,0.018183,23,"43,974"
posex,"Mar 22, 2018",0.018325,0.018689,0.017555,0.017925,1,"44,955"
posex,"Mar 21, 2018",0.016206,0.018499,0.016182,0.018358,13,"39,757"
posex,"Mar 20, 2018",0.015694,0.016399,0.015190,0.016177,44,"38,502"
posex,"Mar 19, 2018",0.014743,0.015797,0.014652,0.015521,103,"36,167"
posex,"Mar 18, 2018",0.015221,0.015221,0.013265,0.014805,29,"37,341"
posex,"Mar 17, 2018",0.015856,0.015889,0.014952,0.015258,12,"38,898"
posex,"Mar 16, 2018",0.015612,0.017673,0.015028,0.015830,24,"38,301"
posex,"Mar 15, 2018",0.015101,0.015720,0.014347,0.015621,2,"37,046"
posex,"Mar 14, 2018",0.016835,0.018190,0.014712,0.015108,31,"41,300"
posex,"Mar 13, 2018",0.018723,0.019534,0.016568,0.016832,4,"45,932"
posex,"Mar 12, 2018",0.016703,0.019288,0.016703,0.018831,30,"40,976"
posex,"Mar 11, 2018",0.017024,0.017024,0.014832,0.016755,45,"41,764"
posex,"Mar 10, 2018",0.022501,0.022643,0.016928,0.017083,20,"55,200"
