Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
president-johnson,"Jul 02, 2018",0.031733,0.033307,0.031403,0.033100,"3,453",-
president-johnson,"Jul 01, 2018",0.031501,0.031963,0.031488,0.031729,"3,317",-
president-johnson,"Jun 30, 2018",0.031024,0.032330,0.031023,0.031641,1,-
president-johnson,"Jun 29, 2018",0.029342,0.031515,0.029009,0.030982,"3,239",-
president-johnson,"Jun 28, 2018",0.030669,0.030760,0.029158,0.029324,"3,181",-
president-johnson,"Jun 27, 2018",0.031010,0.031291,0.030558,0.030659,"3,197",-
president-johnson,"Jun 26, 2018",0.028179,0.031775,0.027754,0.031022,"3,049",-
president-johnson,"Jun 25, 2018",0.027739,0.028484,0.027498,0.028179,"3,139",-
president-johnson,"Jun 24, 2018",0.027812,0.028219,0.026055,0.027793,"3,096",-
president-johnson,"Jun 23, 2018",0.027355,0.028134,0.027307,0.027816,"3,221",-
president-johnson,"Jun 22, 2018",0.030283,0.030335,0.026871,0.027351,"3,160",-
president-johnson,"Jun 21, 2018",0.034432,0.034587,0.030199,0.030316,"3,510",-
president-johnson,"Jun 20, 2018",0.034450,0.034630,0.025400,0.034425,"3,525",-
president-johnson,"Jun 19, 2018",0.034324,0.034676,0.025283,0.034429,"3,526",-
president-johnson,"Jun 18, 2018",0.032857,0.034588,0.032784,0.034342,"3,517",-
president-johnson,"Jun 17, 2018",0.035643,0.035909,0.035397,0.035637,"3,409",-
president-johnson,"Jun 16, 2018",0.035064,0.035889,0.034744,0.035548,"3,400",-
president-johnson,"Jun 15, 2018",0.036275,0.036318,0.035000,0.035193,"3,367",-
president-johnson,"Jun 14, 2018",0.034441,0.036507,0.034370,0.036335,"3,508",-
president-johnson,"Jun 13, 2018",0.036470,0.036690,0.025809,0.034456,"3,268",-
president-johnson,"Jun 12, 2018",0.038570,0.038570,0.036044,0.036376,"3,429",-
president-johnson,"Jun 11, 2018",0.037942,0.038791,0.037405,0.038591,"2,083",-
president-johnson,"Jun 10, 2018",0.042030,0.042030,0.037483,0.037888,"1,498",-
president-johnson,"Jun 09, 2018",0.042712,0.043027,0.041977,0.041977,"3,915",-
president-johnson,"Jun 08, 2018",0.043406,0.043496,0.042336,0.042730,"3,985",-
president-johnson,"Jun 07, 2018",0.043107,0.043622,0.043107,0.043373,"3,839",-
president-johnson,"Jun 06, 2018",0.043151,0.043291,0.042231,0.043068,"3,939",-
president-johnson,"Jun 05, 2018",0.042163,0.043241,0.031430,0.043163,"4,019",-
president-johnson,"Jun 04, 2018",0.043144,0.043144,0.041986,0.042143,"3,870",-
president-johnson,"Jun 03, 2018",0.042526,0.043034,0.042337,0.042968,"4,212",-
president-johnson,"Jun 02, 2018",0.032096,0.042662,0.031916,0.042515,"4,170",-
president-johnson,"Jun 01, 2018",0.031914,0.032416,0.031448,0.032110,"3,839",-
president-johnson,"May 31, 2018",0.032410,0.033153,0.025579,0.031891,"4,028",-
president-johnson,"May 30, 2018",0.033068,0.033447,0.032070,0.032416,"3,781",-
president-johnson,"May 29, 2018",0.031606,0.033367,0.030514,0.033046,"4,033",-
president-johnson,"May 28, 2018",0.036653,0.036982,0.031520,0.031616,10,-
president-johnson,"May 27, 2018",0.036602,0.036818,0.036097,0.036645,"3,754",-
president-johnson,"May 26, 2018",0.041970,0.041970,0.033577,0.036586,"3,807",-
president-johnson,"May 25, 2018",0.042654,0.043004,0.033824,0.042025,"3,841",-
