Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
president-trump,"Jul 02, 2018",0.013428,0.014064,0.013291,0.013977,"3,333",-
president-trump,"Jul 01, 2018",0.006898,0.013525,0.006799,0.013426,"3,746",-
president-trump,"Jun 30, 2018",0.013134,0.013683,0.006834,0.006897,82,-
president-trump,"Jun 29, 2018",0.012411,0.013351,0.007423,0.013116,"3,639",-
president-trump,"Jun 28, 2018",0.012386,0.012891,0.007809,0.012403,"5,445",-
president-trump,"Jun 27, 2018",0.011704,0.012444,0.010972,0.012381,"4,137",-
president-trump,"Jun 26, 2018",0.013417,0.013476,0.005249,0.011709,"4,993",-
president-trump,"Jun 25, 2018",0.013279,0.013636,0.013157,0.013417,"3,544",-
president-trump,"Jun 24, 2018",0.012806,0.013434,0.004911,0.013304,"3,156",-
president-trump,"Jun 23, 2018",0.012438,0.012955,0.012417,0.012808,"3,407",-
president-trump,"Jun 22, 2018",0.014867,0.014893,0.004284,0.012437,"3,210",-
president-trump,"Jun 21, 2018",0.010798,0.014931,0.010601,0.014884,"5,132",-
president-trump,"Jun 20, 2018",0.007558,0.010813,0.005614,0.010796,"3,623",-
president-trump,"Jun 19, 2018",0.007873,0.007894,0.005505,0.007554,"3,503",-
president-trump,"Jun 18, 2018",0.005441,0.007932,0.005396,0.007877,"3,482",-
president-trump,"Jun 17, 2018",0.007833,0.007886,0.005441,0.005459,21,-
president-trump,"Jun 16, 2018",0.008076,0.008259,0.005342,0.007812,"3,376",-
president-trump,"Jun 15, 2018",0.008499,0.008509,0.005525,0.008105,"3,362",-
president-trump,"Jun 14, 2018",0.007930,0.008551,0.007914,0.008513,"3,495",-
president-trump,"Jun 13, 2018",0.008487,0.008538,0.007853,0.007933,"3,317",-
president-trump,"Jun 12, 2018",0.008937,0.008937,0.005594,0.008465,"3,415",-
president-trump,"Jun 11, 2018",0.008778,0.008988,0.006692,0.008942,"2,940",-
president-trump,"Jun 10, 2018",0.009831,0.009831,0.005533,0.008765,698,-
