Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
pressone,"Jul 02, 2018",0.170454,0.199287,0.169911,0.194836,"75,407",-
pressone,"Jul 01, 2018",0.174236,0.181122,0.164151,0.170405,"15,251",-
pressone,"Jun 30, 2018",0.161991,0.185000,0.161460,0.174106,"23,569",-
pressone,"Jun 29, 2018",0.173333,0.179662,0.151918,0.159043,"60,340",-
pressone,"Jun 28, 2018",0.165633,0.176741,0.165633,0.173256,"73,029",-
pressone,"Jun 12, 2018",0.273551,0.273738,0.267645,0.268932,"378,020",-
pressone,"Jun 11, 2018",0.267884,0.297453,0.261598,0.273647,"384,647",-
pressone,"Jun 10, 2018",0.312837,0.312837,0.248560,0.267453,"169,219",-
pressone,"Jun 09, 2018",0.329750,0.338141,0.312338,0.312338,"211,779",-
pressone,"Jun 08, 2018",0.315787,0.326788,0.301322,0.302413,"529,565",-
pressone,"Jun 07, 2018",0.291335,0.319450,0.291335,0.315484,"195,471",-
pressone,"Jun 06, 2018",0.286124,0.307418,0.285688,0.291236,"38,250",-
pressone,"Jun 05, 2018",0.300160,0.308522,0.276973,0.286538,"87,004",-
pressone,"Jun 04, 2018",0.306965,0.325146,0.298676,0.300102,"133,681",-
pressone,"Jun 03, 2018",0.289075,0.312212,0.286213,0.307180,"68,325",-
pressone,"Jun 02, 2018",0.296781,0.297094,0.282335,0.289305,"41,188",-
pressone,"Jun 01, 2018",0.288993,0.300966,0.279113,0.296897,"106,891",-
pressone,"May 31, 2018",0.285211,0.295664,0.279170,0.288590,"57,857",-
pressone,"May 30, 2018",0.284205,0.295791,0.275524,0.285359,"51,125",-
pressone,"May 29, 2018",0.269962,0.289002,0.250914,0.283888,"277,638",-
pressone,"May 28, 2018",0.278186,0.300906,0.254204,0.270069,"266,241",-
pressone,"May 27, 2018",0.250484,0.299958,0.238459,0.284581,"632,155",-
pressone,"May 26, 2018",0.234693,0.259151,0.229526,0.250634,"259,639",-
pressone,"May 25, 2018",0.223625,0.237963,0.218253,0.234901,"169,713",-
pressone,"May 24, 2018",0.199498,0.227456,0.191563,0.223857,"266,244",-
pressone,"May 23, 2018",0.230978,0.234587,0.198365,0.200218,"147,168",-
pressone,"May 22, 2018",0.252083,0.252643,0.228490,0.231543,"73,534",-
pressone,"May 21, 2018",0.257992,0.264039,0.243695,0.252159,"458,281",-
pressone,"May 20, 2018",0.239431,0.256341,0.229580,0.255042,"136,239",-
pressone,"May 19, 2018",0.220430,0.245703,0.213275,0.240034,"296,423",-
pressone,"May 18, 2018",0.209248,0.225923,0.204868,0.220466,"132,776",-
pressone,"May 17, 2018",0.216539,0.238083,0.202790,0.209401,"238,724",-
pressone,"May 16, 2018",0.213224,0.221137,0.203488,0.215167,"101,077",-
pressone,"May 15, 2018",0.233719,0.246015,0.213472,0.213625,"81,465",-
pressone,"May 14, 2018",0.251425,0.252965,0.215865,0.234116,"193,595",-
pressone,"May 13, 2018",0.221305,0.254953,0.217499,0.251784,"154,620",-
pressone,"May 12, 2018",0.248745,0.253869,0.210274,0.221971,"509,066",-
pressone,"May 11, 2018",0.285253,0.290390,0.245570,0.248743,"206,699",-
pressone,"May 10, 2018",0.295511,0.299852,0.284390,0.284969,"394,238",-
pressone,"May 09, 2018",0.306724,0.319959,0.288764,0.295432,"408,881",-
pressone,"May 08, 2018",0.298869,0.319092,0.298588,0.307389,"459,228",-
pressone,"May 07, 2018",0.327206,0.329667,0.292745,0.297927,"994,250",-
pressone,"May 06, 2018",0.349003,0.349868,0.301853,0.326867,"697,192",-
pressone,"May 05, 2018",0.340618,0.361341,0.337397,0.349596,"168,484",-
pressone,"May 04, 2018",0.335939,0.363268,0.318665,0.341423,"278,981",-
pressone,"May 03, 2018",0.359301,0.368014,0.333896,0.335176,"263,446",-
pressone,"May 02, 2018",0.337531,0.362365,0.331446,0.359147,"270,275",-
pressone,"May 01, 2018",0.323126,0.355457,0.304564,0.340069,"346,606",-
pressone,"Apr 30, 2018",0.372552,0.396727,0.314673,0.322022,"395,233",-
pressone,"Apr 29, 2018",0.361453,0.401420,0.358425,0.370438,"904,838",-
pressone,"Apr 28, 2018",0.333141,0.383706,0.333141,0.361513,"373,825",-
pressone,"Apr 27, 2018",0.335218,0.347624,0.321944,0.334269,"488,583",-
pressone,"Apr 26, 2018",0.282323,0.336402,0.273572,0.334463,"534,483",-
pressone,"Apr 25, 2018",0.305221,0.305796,0.261247,0.278267,"250,258",-
pressone,"Apr 24, 2018",0.232241,0.307303,0.232241,0.307303,"862,585",-
pressone,"Apr 23, 2018",0.212545,0.238349,0.212469,0.232896,"279,292",-
pressone,"Apr 22, 2018",0.214229,0.227211,0.206077,0.213269,"315,292",-
pressone,"Apr 21, 2018",0.212468,0.221072,0.196662,0.212690,"241,563",-
pressone,"Apr 20, 2018",0.191081,0.217316,0.188616,0.212747,"666,638",-
pressone,"Apr 19, 2018",0.174993,0.192637,0.174993,0.192158,"105,547",-
pressone,"Apr 18, 2018",0.174014,0.185686,0.166665,0.173769,"557,874",-
