Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
prismchain,"Jun 30, 2018",0.000807,0.000840,0.000807,0.000840,9,-
prismchain,"Jun 29, 2018",0.000763,0.000819,0.000754,0.000806,9,-
prismchain,"Jun 28, 2018",0.000797,0.000798,0.000758,0.000762,8,-
prismchain,"Jun 23, 2018",0.001029,0.001047,0.001027,0.001045,4,-
prismchain,"Jun 22, 2018",0.000940,0.001061,0.000886,0.001029,3,-
prismchain,"Jun 21, 2018",0.000943,0.000944,0.000937,0.000941,1,-
prismchain,"Jun 20, 2018",0.000946,0.000947,0.000922,0.000928,36,-
prismchain,"Jun 19, 2018",0.001010,0.001012,0.000937,0.000945,37,-
prismchain,"Jun 18, 2018",0.000972,0.001216,0.000964,0.001010,3,-
prismchain,"Jun 17, 2018",0.001111,0.001111,0.000972,0.000975,7,-
prismchain,"Jun 15, 2018",0.001129,0.001131,0.001102,0.001102,4,-
prismchain,"Jun 14, 2018",0.000948,0.001241,0.000946,0.001131,6,-
prismchain,"Jun 13, 2018",0.001053,0.001233,0.000938,0.000948,347,-
prismchain,"Jun 12, 2018",0.001033,0.001357,0.001024,0.001051,126,-
prismchain,"Jun 11, 2018",0.000881,0.001361,0.000802,0.001034,528,-
prismchain,"Jun 10, 2018",0.000948,0.001283,0.000810,0.000880,821,-
prismchain,"Jun 09, 2018",0.000992,0.000999,0.000988,0.000990,1,-
prismchain,"Jun 08, 2018",0.000995,0.000996,0.000992,0.000992,1,-
prismchain,"Jun 06, 2018",0.000991,0.000994,0.000987,0.000991,47,-
prismchain,"Jun 05, 2018",0.000968,0.000993,0.000960,0.000991,47,-
prismchain,"Jun 02, 2018",0.000977,0.000977,0.000977,0.000977,2,-
prismchain,"Jun 01, 2018",0.000974,0.000987,0.000957,0.000978,2,-
prismchain,"May 31, 2018",0.001107,0.001138,0.000973,0.000973,2,-
prismchain,"May 30, 2018",0.000970,0.001108,0.000969,0.001108,2,-
prismchain,"May 29, 2018",0.000969,0.000979,0.000962,0.000970,2,-
prismchain,"May 28, 2018",0.001175,0.001186,0.001150,0.001156,1,-
prismchain,"May 27, 2018",0.001175,0.001178,0.001167,0.001175,1,-
prismchain,"May 26, 2018",0.001120,0.001120,0.001109,0.001115,1,-
prismchain,"May 25, 2018",0.001134,0.001148,0.001104,0.001122,1,-
prismchain,"May 24, 2018",0.001053,0.001140,0.001019,0.001132,2,-
prismchain,"May 23, 2018",0.001065,0.001069,0.001047,0.001055,0,-
prismchain,"May 19, 2018",0.001071,0.001074,0.001063,0.001071,2,-
prismchain,"May 18, 2018",0.001131,0.001138,0.001049,0.001071,5,-
prismchain,"May 17, 2018",0.001151,0.001151,0.001123,0.001130,1,-
prismchain,"May 16, 2018",0.001188,0.001189,0.001139,0.001173,42,-
prismchain,"May 15, 2018",0.001301,0.001313,0.001182,0.001189,45,-
prismchain,"May 14, 2018",0.001265,0.001329,0.001254,0.001303,1,-
prismchain,"May 07, 2018",0.001442,0.001443,0.001386,0.001398,1,-
prismchain,"May 06, 2018",0.001450,0.001453,0.001417,0.001441,1,-
prismchain,"May 05, 2018",0.001454,0.001494,0.001452,0.001490,1,-
prismchain,"May 04, 2018",0.001462,0.001465,0.001434,0.001455,1,-
prismchain,"May 03, 2018",0.001383,0.001703,0.001380,0.001463,16,-
prismchain,"May 02, 2018",0.001356,0.001388,0.001351,0.001383,6,-
prismchain,"May 01, 2018",0.001386,0.001386,0.001337,0.001344,1,-
prismchain,"Apr 30, 2018",0.001396,0.001403,0.001372,0.001385,1,-
