Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
privatix,"Jul 02, 2018",2.82,3.07,2.53,2.81,"3,954","3,329,540"
privatix,"Jul 01, 2018",3.35,3.49,2.34,2.81,"7,139","3,967,240"
privatix,"Jun 30, 2018",3.20,3.58,3.20,3.35,"6,161","3,785,380"
privatix,"Jun 29, 2018",2.96,3.24,2.96,3.20,"2,028","3,505,550"
privatix,"Jun 28, 2018",3.44,3.45,2.95,2.96,"4,719","4,064,780"
privatix,"Jun 27, 2018",3.26,3.46,3.03,3.43,820,"3,855,450"
privatix,"Jun 26, 2018",3.27,3.44,3.21,3.26,"1,230","3,871,920"
privatix,"Jun 25, 2018",3.24,3.42,3.12,3.27,"2,369","3,837,090"
privatix,"Jun 24, 2018",3.23,3.41,2.82,3.25,"1,402","3,823,680"
privatix,"Jun 23, 2018",3.35,3.43,2.35,3.23,"5,376","3,961,310"
privatix,"Jun 22, 2018",3.97,3.98,3.11,3.34,"3,574","4,698,840"
privatix,"Jun 21, 2018",3.70,3.74,3.46,3.47,291,"4,375,270"
privatix,"Jun 20, 2018",3.85,3.88,3.68,3.70,"2,392","4,553,740"
privatix,"Jun 19, 2018",3.72,3.97,3.66,3.85,"2,965","4,397,540"
privatix,"Jun 18, 2018",3.80,3.86,3.66,3.72,"3,627","4,498,550"
privatix,"Jun 17, 2018",3.60,3.88,3.46,3.82,"1,268","4,259,320"
privatix,"Jun 16, 2018",3.70,3.88,3.18,3.59,"3,691","4,374,290"
privatix,"Jun 15, 2018",3.78,3.87,3.56,3.71,"2,163","4,469,410"
privatix,"Jun 14, 2018",3.55,3.78,3.40,3.78,"7,155","4,203,960"
privatix,"Jun 13, 2018",3.74,3.80,3.50,3.55,"2,495","4,418,040"
privatix,"Jun 12, 2018",3.41,4.15,3.25,3.72,"2,877","4,038,220"
privatix,"Jun 11, 2018",4.11,4.12,3.34,3.41,"8,939","4,857,130"
privatix,"Jun 10, 2018",4.61,4.71,4.03,4.10,"2,699","5,451,740"
privatix,"Jun 09, 2018",4.65,4.81,4.60,4.60,"7,757","5,493,800"
privatix,"Jun 08, 2018",5.14,5.38,4.36,4.65,"10,436","6,080,510"
privatix,"Jun 07, 2018",4.56,6.19,4.08,5.14,"96,146","5,390,060"
privatix,"Jun 06, 2018",4.36,6.87,4.05,4.55,"38,664","5,158,610"
privatix,"Jun 05, 2018",3.75,5.95,3.65,4.36,"24,175","4,429,540"
privatix,"Jun 04, 2018",3.92,4.34,3.74,3.77,"7,473","4,641,180"
privatix,"Jun 03, 2018",3.25,5.70,3.11,4.27,"22,937","3,840,140"
privatix,"Jun 02, 2018",3.26,3.34,2.86,3.25,"3,489","3,860,730"
privatix,"Jun 01, 2018",3.08,4.33,2.94,3.27,"6,433","3,644,790"
