Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
publica,"Jul 02, 2018",0.105822,0.113064,0.101255,0.112643,"6,367","1,966,480"
publica,"Jul 01, 2018",0.096686,0.110149,0.094805,0.105796,"5,740","1,796,710"
publica,"Jun 30, 2018",0.094794,0.113160,0.094525,0.096853,"6,418","1,761,560"
publica,"Jun 29, 2018",0.093828,0.095667,0.085814,0.094692,"2,567","1,743,610"
publica,"Jun 28, 2018",0.100693,0.101282,0.093320,0.093774,"2,759","1,871,170"
publica,"Jun 27, 2018",0.099275,0.103019,0.097479,0.100690,"2,122","1,844,820"
publica,"Jun 26, 2018",0.103773,0.111288,0.099280,0.099386,"9,017","1,928,400"
publica,"Jun 25, 2018",0.105729,0.118950,0.103115,0.103773,"13,381","1,964,760"
publica,"Jun 24, 2018",0.119587,0.119787,0.103230,0.105959,"8,137","2,222,280"
publica,"Jun 23, 2018",0.108957,0.122770,0.104716,0.119604,"5,394","2,024,750"
publica,"Jun 22, 2018",0.124819,0.131070,0.103638,0.108939,"3,934","2,319,500"
publica,"Jun 21, 2018",0.124822,0.134170,0.120507,0.124948,"4,740","2,319,560"
publica,"Jun 20, 2018",0.122129,0.129993,0.116173,0.124811,"4,854","2,269,510"
publica,"Jun 19, 2018",0.127660,0.131793,0.106737,0.122053,"12,596","2,372,300"
publica,"Jun 18, 2018",0.121541,0.131673,0.119081,0.127730,"5,434","2,258,590"
publica,"Jun 17, 2018",0.114214,0.121933,0.109838,0.121921,"12,468","2,122,430"
publica,"Jun 16, 2018",0.131352,0.133723,0.091614,0.113935,"21,686","2,440,900"
publica,"Jun 15, 2018",0.156854,0.160377,0.110538,0.131809,"14,071","2,914,820"
publica,"Jun 14, 2018",0.138218,0.167070,0.138117,0.157067,"7,258","2,568,500"
publica,"Jun 13, 2018",0.166584,0.171091,0.132875,0.138209,"17,586","3,095,620"
publica,"Jun 12, 2018",0.191194,0.193852,0.165020,0.166130,"9,686","3,552,950"
publica,"Jun 11, 2018",0.181835,0.194349,0.180492,0.191277,"10,332","3,379,030"
publica,"Jun 10, 2018",0.221746,0.223215,0.179234,0.181456,"22,692","4,120,690"
publica,"Jun 09, 2018",0.241606,0.266688,0.213763,0.226000,"22,666","4,489,740"
publica,"Jun 08, 2018",0.249412,0.249760,0.234780,0.241681,"2,946","4,634,810"
publica,"Jun 07, 2018",0.260567,0.265572,0.246869,0.249510,"5,187","4,842,090"
publica,"Jun 06, 2018",0.270964,0.273815,0.243739,0.265771,"5,486","5,035,300"
publica,"Jun 05, 2018",0.232991,0.281493,0.230372,0.271112,"10,496","4,329,660"
