Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
pure,"Jul 02, 2018",0.103937,0.137813,0.059533,0.081833,"89,389","1,520,970"
pure,"Jul 01, 2018",0.138350,0.157018,0.102096,0.103926,"16,954","2,018,400"
pure,"Jun 30, 2018",0.150945,0.184215,0.138004,0.138378,"26,202","2,196,010"
pure,"Jun 29, 2018",0.150220,0.155807,0.137580,0.152237,"4,933","2,179,710"
pure,"Jun 28, 2018",0.153425,0.167269,0.144758,0.150124,"7,468","2,220,410"
pure,"Jun 27, 2018",0.149500,0.154106,0.131474,0.153371,"7,157","2,158,590"
pure,"Jun 26, 2018",0.152935,0.155409,0.136396,0.149561,"8,370","2,202,630"
pure,"Jun 25, 2018",0.145630,0.187260,0.128605,0.152935,"19,300","2,092,240"
pure,"Jun 24, 2018",0.133819,0.184550,0.133819,0.145912,"15,199","1,918,070"
pure,"Jun 23, 2018",0.112041,0.148550,0.112041,0.133837,"12,143","1,602,170"
pure,"Jun 22, 2018",0.127012,0.130318,0.110243,0.112027,"3,471","1,812,100"
pure,"Jun 21, 2018",0.116227,0.130650,0.115976,0.127153,"10,071","1,654,440"
pure,"Jun 20, 2018",0.128550,0.128675,0.115871,0.116203,"9,651","1,825,530"
pure,"Jun 19, 2018",0.111926,0.141272,0.108582,0.128470,"30,078","1,585,810"
pure,"Jun 18, 2018",0.119699,0.120091,0.102466,0.111968,"10,376","1,691,810"
pure,"Jun 17, 2018",0.114930,0.126211,0.109801,0.118749,"10,345","1,620,570"
pure,"Jun 16, 2018",0.128496,0.137944,0.109297,0.114618,"21,454","1,807,210"
pure,"Jun 15, 2018",0.151800,0.162878,0.117643,0.128972,"23,768","2,129,390"
pure,"Jun 14, 2018",0.129620,0.172925,0.128316,0.152051,"19,515","1,813,240"
pure,"Jun 13, 2018",0.129601,0.145494,0.125458,0.129672,"19,967","1,808,870"
pure,"Jun 12, 2018",0.133989,0.180598,0.113261,0.132706,"71,684","1,865,600"
pure,"Jun 11, 2018",0.200236,0.205758,0.126425,0.134060,"71,026","2,780,870"
pure,"Jun 10, 2018",0.212369,0.254971,0.186422,0.199950,"15,573","2,941,220"
pure,"Jun 09, 2018",0.248239,0.274277,0.212084,0.212102,"13,458","3,428,770"
pure,"Jun 08, 2018",0.277555,0.315063,0.172266,0.248345,"48,758","3,823,570"
pure,"Jun 07, 2018",0.283162,0.292977,0.264519,0.265953,"15,020","3,889,090"
pure,"Jun 06, 2018",0.285961,0.295708,0.268943,0.282901,"17,518","3,917,070"
pure,"Jun 05, 2018",0.295949,0.302318,0.262572,0.286038,"18,961","4,042,930"
pure,"Jun 04, 2018",0.301380,0.317647,0.273018,0.295807,"20,099","4,106,490"
pure,"Jun 03, 2018",0.284879,0.336236,0.248758,0.299690,"47,233","3,871,900"
pure,"Jun 02, 2018",0.346827,0.360780,0.232066,0.295729,"43,856","4,700,440"
pure,"Jun 01, 2018",0.288152,0.356797,0.286654,0.346977,"38,969","3,892,550"
pure,"May 31, 2018",0.246499,0.295528,0.241879,0.287921,"25,691","3,320,740"
pure,"May 30, 2018",0.307711,0.351936,0.240956,0.246538,"42,546","4,134,230"
pure,"May 29, 2018",0.269785,0.328436,0.226438,0.310547,"57,077","3,615,780"
pure,"May 28, 2018",0.317529,0.338894,0.259011,0.265717,"79,129","4,244,390"
pure,"May 27, 2018",0.337652,0.373821,0.277811,0.317450,"195,844","4,502,040"
pure,"May 26, 2018",0.478714,0.502659,0.298458,0.353643,"217,378","6,345,090"
pure,"May 25, 2018",0.575169,0.590555,0.466795,0.479342,"124,791","7,518,160"
pure,"May 24, 2018",0.486135,0.602196,0.486135,0.574156,"98,145","6,258,880"
pure,"May 23, 2018",0.591107,0.597083,0.471374,0.486769,"139,053","7,495,180"
pure,"May 22, 2018",0.706796,0.736511,0.554548,0.575723,"156,657","8,828,780"
pure,"May 21, 2018",0.768180,0.768722,0.654095,0.706915,"169,022","9,452,100"
pure,"May 20, 2018",0.792613,0.831497,0.752181,0.776276,"134,260","9,605,690"
pure,"May 19, 2018",0.861338,0.901874,0.773534,0.787303,"142,915","10,277,800"
pure,"May 18, 2018",0.930753,0.931608,0.723547,0.843685,"303,133","10,925,400"
pure,"May 17, 2018",0.900891,1.00,0.836854,0.928404,"170,393","10,404,700"
pure,"May 16, 2018",0.813700,0.925822,0.720191,0.913250,"338,481","9,234,270"
pure,"May 15, 2018",0.987606,1.09,0.691339,0.812298,"377,836","11,005,500"
pure,"May 14, 2018",1.27,1.27,0.626595,1.01,"848,009","13,839,000"
pure,"May 13, 2018",1.48,1.65,1.19,1.23,"517,933","15,792,100"
pure,"May 12, 2018",1.90,1.94,1.43,1.43,"335,679","19,883,600"
pure,"May 11, 2018",2.01,2.07,1.67,1.91,"354,494","20,562,100"
pure,"May 10, 2018",2.12,2.18,1.72,2.00,"442,640","21,164,200"
pure,"May 09, 2018",2.00,2.23,1.96,2.12,"454,175","19,409,800"
pure,"May 08, 2018",1.88,2.16,1.82,2.00,"493,632","17,781,500"
pure,"May 07, 2018",1.79,2.54,1.71,1.86,"564,286","16,610,500"
pure,"May 06, 2018",1.82,1.87,1.71,1.82,"364,932","16,438,100"
pure,"May 05, 2018",1.79,1.89,1.69,1.79,"318,758","15,794,900"
pure,"May 04, 2018",1.59,1.84,1.51,1.75,"405,263","13,736,100"
pure,"May 03, 2018",1.48,1.65,1.41,1.64,"285,433","12,459,700"
pure,"May 02, 2018",1.46,1.54,1.30,1.48,"300,167","11,939,200"
pure,"May 01, 2018",1.48,1.48,1.06,1.37,"229,533","11,807,000"
pure,"Apr 30, 2018",1.47,1.52,1.29,1.46,"298,621","11,447,100"
pure,"Apr 29, 2018",1.29,1.58,1.29,1.49,"247,381","9,725,730"
pure,"Apr 28, 2018",1.23,1.41,1.01,1.29,"224,218","9,054,020"
pure,"Apr 27, 2018",1.70,1.77,0.858964,1.31,"575,430","12,056,800"
pure,"Apr 26, 2018",1.58,1.83,1.50,1.75,"343,164","10,921,700"
pure,"Apr 25, 2018",1.66,1.80,1.48,1.57,"243,409","11,146,100"
pure,"Apr 24, 2018",1.81,2.27,1.62,1.68,"374,410","11,793,800"
pure,"Apr 23, 2018",1.47,1.81,1.39,1.81,"257,830","9,282,220"
pure,"Apr 22, 2018",1.54,1.85,1.35,1.47,"259,340","9,443,150"
pure,"Apr 21, 2018",2.07,2.17,1.10,1.45,"289,230","12,330,000"
pure,"Apr 20, 2018",1.23,2.41,1.14,2.07,"277,085","7,139,830"
pure,"Apr 19, 2018",1.01,1.40,0.957235,1.23,"251,483","5,726,140"
pure,"Apr 18, 2018",0.784615,1.05,0.711691,1.01,"191,473","4,301,020"
pure,"Apr 17, 2018",0.878619,0.926651,0.622831,0.783889,"193,511","4,675,040"
pure,"Apr 16, 2018",0.730212,0.879118,0.663105,0.878144,"84,893","3,768,760"
pure,"Apr 15, 2018",0.526241,0.812848,0.526241,0.743043,"73,331","2,632,860"
pure,"Apr 14, 2018",0.591753,0.674221,0.483036,0.525678,"52,347","2,866,750"
pure,"Apr 13, 2018",0.720566,0.853518,0.560413,0.560836,"107,225","3,375,520"
pure,"Apr 12, 2018",0.438456,0.828507,0.343652,0.751291,"63,107","1,983,670"
pure,"Apr 11, 2018",0.327545,0.450518,0.289507,0.450518,"44,383","1,429,060"
pure,"Apr 10, 2018",0.248986,0.331903,0.247699,0.327230,"28,068","1,046,210"
pure,"Apr 09, 2018",0.218413,0.299385,0.188821,0.295865,"16,706","882,996"
pure,"Apr 08, 2018",0.255459,0.286687,0.216379,0.218060,"11,891","991,655"
pure,"Apr 07, 2018",0.312328,0.374859,0.247740,0.255228,"13,513","1,144,230"
pure,"Apr 06, 2018",0.338818,0.384357,0.301368,0.325579,"4,704","1,238,830"
pure,"Apr 05, 2018",0.343393,0.453809,0.335274,0.340554,"4,418","1,253,040"
pure,"Apr 04, 2018",0.519072,0.574094,0.340123,0.343249,"9,699","1,890,570"
pure,"Apr 03, 2018",0.351824,0.522271,0.321728,0.519431,"14,153","1,278,810"
pure,"Apr 02, 2018",0.306723,0.351889,0.276766,0.351574,983,"1,112,640"
pure,"Apr 01, 2018",0.270331,0.354944,0.270331,0.305222,"1,541","978,642"
pure,"Mar 31, 2018",0.265487,0.305189,0.264700,0.270339,194,"959,227"
pure,"Mar 30, 2018",0.283918,0.361028,0.257368,0.265447,"1,896","1,023,810"
pure,"Mar 29, 2018",0.327020,0.374760,0.283474,0.284625,"2,457","1,176,860"
