Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
qbic,"Jul 02, 2018",0.080855,0.107697,0.080169,0.098763,"1,334","189,461"
qbic,"Jul 01, 2018",0.080521,0.106641,0.079389,0.080846,"1,063","187,610"
qbic,"Jun 30, 2018",0.087262,0.093619,0.079925,0.080508,"1,749","202,137"
qbic,"Jun 29, 2018",0.096932,0.121469,0.083329,0.087169,"1,675","223,205"
qbic,"Jun 28, 2018",0.114932,0.120080,0.096311,0.096870,"1,253","263,241"
qbic,"Jun 27, 2018",0.107431,0.130569,0.068061,0.114891,"2,468","241,469"
qbic,"Jun 26, 2018",0.120307,0.162957,0.107373,0.107474,"4,035","270,397"
qbic,"Jun 25, 2018",0.182964,0.185273,0.112024,0.120307,"7,747","411,150"
qbic,"Jun 24, 2018",0.180958,0.204354,0.171042,0.183323,"3,937","405,413"
qbic,"Jun 23, 2018",0.182231,0.191317,0.179193,0.180965,"3,347","405,771"
qbic,"Jun 22, 2018",0.198223,0.202615,0.176605,0.182207,"3,943","438,870"
qbic,"Jun 21, 2018",0.203370,0.224612,0.198662,0.198845,"3,409","447,447"
qbic,"Jun 20, 2018",0.189403,0.225690,0.179747,0.199317,"4,503","414,274"
qbic,"Jun 19, 2018",0.181260,0.203906,0.171636,0.189276,"3,963","393,908"
qbic,"Jun 18, 2018",0.210543,0.211535,0.175594,0.181357,"3,313","454,834"
qbic,"Jun 17, 2018",0.212536,0.226112,0.210564,0.211265,"2,392","456,133"
qbic,"Jun 16, 2018",0.209293,0.232892,0.207142,0.211974,"2,969","446,448"
qbic,"Jun 15, 2018",0.214291,0.227070,0.209367,0.210059,"5,128","454,175"
qbic,"Jun 14, 2018",0.197111,0.301095,0.196584,0.214646,"4,455","415,041"
qbic,"Jun 13, 2018",0.204431,0.268124,0.194379,0.197198,"4,150","427,659"
qbic,"Jun 12, 2018",0.232691,0.240221,0.202967,0.203903,"2,251","483,641"
qbic,"Jun 11, 2018",0.198562,0.234044,0.192650,0.232838,"3,226","410,323"
qbic,"Jun 10, 2018",0.239359,0.246409,0.196277,0.198300,"11,498","491,333"
qbic,"Jun 09, 2018",0.238947,0.298050,0.238857,0.261050,"7,523","487,320"
qbic,"Jun 08, 2018",0.251777,0.262228,0.232775,0.239050,"4,362","509,966"
qbic,"Jun 07, 2018",0.239022,0.263620,0.239022,0.251586,"4,603","481,200"
qbic,"Jun 06, 2018",0.240807,0.254674,0.225618,0.238802,"5,571","481,563"
