Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
quantum-resistant-ledger,"Jul 02, 2018",0.456320,0.505776,0.440100,0.497287,"208,961","23,728,600"
quantum-resistant-ledger,"Jul 01, 2018",0.505247,0.508201,0.441556,0.452692,"311,038","26,272,800"
quantum-resistant-ledger,"Jun 30, 2018",0.476850,0.507403,0.476850,0.506118,"129,016","24,796,200"
quantum-resistant-ledger,"Jun 29, 2018",0.468669,0.479278,0.452820,0.476602,"129,397","24,370,800"
quantum-resistant-ledger,"Jun 28, 2018",0.510250,0.512812,0.468289,0.468552,"131,387","26,533,000"
quantum-resistant-ledger,"Jun 27, 2018",0.488875,0.511538,0.486594,0.510119,"153,558","25,421,500"
quantum-resistant-ledger,"Jun 26, 2018",0.501961,0.508165,0.467529,0.488934,"249,563","26,102,000"
quantum-resistant-ledger,"Jun 25, 2018",0.446744,1.45,0.440289,0.506208,"452,151","23,230,700"
quantum-resistant-ledger,"Jun 24, 2018",0.493600,0.500390,0.403406,0.446598,"386,957","25,667,200"
quantum-resistant-ledger,"Jun 23, 2018",0.476730,0.495922,0.463998,0.493712,"141,294","24,790,000"
quantum-resistant-ledger,"Jun 22, 2018",0.532746,0.532746,0.473005,0.476848,"178,192","27,702,800"
quantum-resistant-ledger,"Jun 21, 2018",0.523594,0.533456,0.517707,0.533447,"148,203","27,226,900"
quantum-resistant-ledger,"Jun 20, 2018",0.548740,0.550325,0.508895,0.523067,"210,658","28,534,500"
quantum-resistant-ledger,"Jun 19, 2018",0.549830,0.551742,0.541637,0.548556,"148,829","28,591,200"
quantum-resistant-ledger,"Jun 18, 2018",0.549885,0.558699,0.533587,0.550095,"145,672","28,594,000"
quantum-resistant-ledger,"Jun 17, 2018",0.555910,0.612517,0.549872,0.550674,"232,019","28,907,300"
quantum-resistant-ledger,"Jun 16, 2018",0.554933,0.562017,0.546568,0.555243,"152,232","28,856,500"
quantum-resistant-ledger,"Jun 15, 2018",0.576135,0.577743,0.551709,0.555361,"134,059","29,959,000"
quantum-resistant-ledger,"Jun 14, 2018",0.565723,0.593697,0.535204,0.578111,"150,804","29,417,600"
quantum-resistant-ledger,"Jun 13, 2018",0.554572,0.582083,0.473064,0.561661,"538,612","28,837,800"
quantum-resistant-ledger,"Jun 12, 2018",0.630808,0.632570,0.551107,0.553081,"188,462","32,802,000"
quantum-resistant-ledger,"Jun 11, 2018",0.645108,0.652739,0.616061,0.630666,"150,748","33,545,600"
quantum-resistant-ledger,"Jun 10, 2018",0.752772,0.752772,0.632635,0.648436,"233,525","39,144,200"
quantum-resistant-ledger,"Jun 09, 2018",0.763126,0.770043,0.752113,0.752113,"148,175","39,682,600"
quantum-resistant-ledger,"Jun 08, 2018",0.769766,0.771595,0.759006,0.763193,"180,776","40,027,800"
quantum-resistant-ledger,"Jun 07, 2018",0.779838,0.786276,0.762521,0.769130,"203,383","40,551,600"
quantum-resistant-ledger,"Jun 06, 2018",0.789959,0.797191,0.772358,0.780667,"191,286","41,077,900"
quantum-resistant-ledger,"Jun 05, 2018",0.761226,0.802431,0.746232,0.786149,"335,146","39,583,800"
quantum-resistant-ledger,"Jun 04, 2018",0.794968,0.794968,0.757288,0.761077,"184,511","41,338,300"
quantum-resistant-ledger,"Jun 03, 2018",0.794124,0.817522,0.789327,0.795041,"240,810","41,294,400"
quantum-resistant-ledger,"Jun 02, 2018",0.798447,0.799185,0.767402,0.793576,"265,321","41,519,300"
quantum-resistant-ledger,"Jun 01, 2018",0.788797,0.824314,0.781108,0.798711,"270,329","41,017,400"
quantum-resistant-ledger,"May 31, 2018",0.819822,0.834204,0.756836,0.787819,"377,718","42,630,700"
quantum-resistant-ledger,"May 30, 2018",0.833857,0.854310,0.811736,0.820345,"208,339","43,360,600"
quantum-resistant-ledger,"May 29, 2018",0.793169,0.842258,0.788935,0.834526,"200,001","41,244,800"
quantum-resistant-ledger,"May 28, 2018",0.829646,0.831153,0.788533,0.792835,"181,417","43,141,600"
quantum-resistant-ledger,"May 27, 2018",0.860022,0.861606,0.821801,0.829575,"169,555","44,721,200"
quantum-resistant-ledger,"May 26, 2018",0.833174,0.917420,0.820708,0.859985,"251,367","43,325,100"
quantum-resistant-ledger,"May 25, 2018",0.854315,0.877922,0.823466,0.838229,"180,779","44,424,400"
quantum-resistant-ledger,"May 24, 2018",0.845739,0.876312,0.805169,0.848236,"201,150","43,978,400"
quantum-resistant-ledger,"May 23, 2018",0.919666,0.922141,0.828159,0.847262,"308,758","47,822,600"
quantum-resistant-ledger,"May 22, 2018",0.964760,0.967446,0.917032,0.920972,"229,656","50,167,500"
quantum-resistant-ledger,"May 21, 2018",0.974329,0.979279,0.960657,0.965416,"180,113","50,665,100"
quantum-resistant-ledger,"May 20, 2018",0.950975,0.977840,0.945780,0.973432,"220,319","49,450,700"
quantum-resistant-ledger,"May 19, 2018",0.945420,0.963849,0.937273,0.950424,"205,183","49,161,800"
quantum-resistant-ledger,"May 18, 2018",0.942102,0.945335,0.923883,0.945335,"219,420","48,989,300"
quantum-resistant-ledger,"May 17, 2018",1.01,1.01,0.935966,0.940962,"245,067","52,640,500"
quantum-resistant-ledger,"May 16, 2018",1.05,1.05,0.989735,1.01,"278,960","54,493,200"
quantum-resistant-ledger,"May 15, 2018",1.06,1.14,1.03,1.04,"348,510","55,268,800"
quantum-resistant-ledger,"May 14, 2018",1.09,1.10,1.02,1.06,"296,661","56,767,100"
quantum-resistant-ledger,"May 13, 2018",1.06,1.10,1.04,1.09,"268,024","55,366,600"
quantum-resistant-ledger,"May 12, 2018",1.06,1.08,1.01,1.07,"306,482","55,204,900"
quantum-resistant-ledger,"May 11, 2018",1.12,1.14,1.05,1.05,"589,605","58,088,400"
quantum-resistant-ledger,"May 10, 2018",1.19,1.21,1.11,1.11,"320,274","61,661,700"
quantum-resistant-ledger,"May 09, 2018",1.19,1.20,1.14,1.18,"289,014","61,721,100"
quantum-resistant-ledger,"May 08, 2018",1.23,1.25,1.15,1.19,"493,298","63,982,600"
