Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
quark,"Jul 02, 2018",0.008015,0.008669,0.007467,0.008537,658,"2,048,860"
quark,"Jul 01, 2018",0.007154,0.008633,0.007037,0.008015,890,"1,828,620"
quark,"Jun 30, 2018",0.006949,0.007712,0.006604,0.007152,110,"1,776,370"
quark,"Jun 29, 2018",0.006743,0.006992,0.006146,0.006940,284,"1,723,690"
quark,"Jun 28, 2018",0.007322,0.007403,0.006677,0.006739,"1,461","1,871,640"
quark,"Jun 27, 2018",0.007079,0.007663,0.006422,0.007320,458,"1,809,320"
quark,"Jun 26, 2018",0.007720,0.008678,0.006292,0.007082,"1,833","1,973,260"
quark,"Jun 25, 2018",0.007308,0.007793,0.007067,0.007720,740,"1,868,000"
quark,"Jun 24, 2018",0.007618,0.007840,0.007156,0.007323,400,"1,946,970"
quark,"Jun 23, 2018",0.007721,0.007995,0.007591,0.007619,147,"1,973,240"
quark,"Jun 22, 2018",0.008603,0.009474,0.007359,0.007720,645,"2,198,610"
quark,"Jun 21, 2018",0.008503,0.008624,0.008190,0.008612,341,"2,173,000"
quark,"Jun 20, 2018",0.008148,0.008573,0.007867,0.008501,328,"2,082,170"
quark,"Jun 19, 2018",0.008255,0.008322,0.008042,0.008143,538,"2,109,610"
quark,"Jun 18, 2018",0.008521,0.008886,0.007549,0.008259,441,"2,177,650"
quark,"Jun 17, 2018",0.007823,0.008854,0.007819,0.008551,319,"1,999,120"
quark,"Jun 16, 2018",0.008630,0.008846,0.007751,0.007802,417,"2,205,300"
quark,"Jun 15, 2018",0.008864,0.009262,0.008360,0.008661,394,"2,265,130"
quark,"Jun 14, 2018",0.008927,0.009936,0.007385,0.008879,"1,570","2,281,150"
quark,"Jun 13, 2018",0.009530,0.009678,0.008521,0.008931,513,"2,435,310"
quark,"Jun 12, 2018",0.010138,0.010772,0.008958,0.009506,278,"2,590,470"
quark,"Jun 11, 2018",0.010363,0.010427,0.008989,0.010143,"7,465","2,647,880"
quark,"Jun 10, 2018",0.011676,0.011676,0.010291,0.010403,"2,159","2,983,260"
quark,"Jun 09, 2018",0.012088,0.012806,0.011385,0.011613,"1,793","3,088,550"
quark,"Jun 08, 2018",0.012692,0.012825,0.011740,0.012094,"3,606","3,242,850"
quark,"Jun 07, 2018",0.012913,0.013314,0.012318,0.012682,"2,419","3,299,280"
quark,"Jun 06, 2018",0.014025,0.014128,0.012242,0.012902,"14,952","3,583,020"
quark,"Jun 05, 2018",0.017228,0.018547,0.011972,0.014029,"70,280","4,400,620"
quark,"Jun 04, 2018",0.015323,0.023755,0.015219,0.017220,"151,408","3,913,030"
quark,"Jun 03, 2018",0.012445,0.015395,0.012437,0.015316,"1,578","3,178,010"
quark,"Jun 02, 2018",0.011729,0.013474,0.011664,0.012441,521,"2,995,240"
quark,"Jun 01, 2018",0.012645,0.013525,0.011408,0.011734,441,"3,228,960"
quark,"May 31, 2018",0.011517,0.012762,0.011472,0.012635,223,"2,940,980"
quark,"May 30, 2018",0.012037,0.012502,0.010916,0.011519,545,"3,073,820"
quark,"May 29, 2018",0.010963,0.012872,0.010663,0.012029,232,"2,799,290"
quark,"May 28, 2018",0.011945,0.012681,0.010791,0.010966,399,"3,050,180"
quark,"May 27, 2018",0.011006,0.012670,0.010854,0.011943,"2,244","2,810,240"
quark,"May 26, 2018",0.013005,0.013455,0.009491,0.011281,"4,705","3,320,580"
quark,"May 25, 2018",0.013398,0.014235,0.012757,0.013022,168,"3,420,910"
quark,"May 24, 2018",0.013889,0.015563,0.013044,0.013373,"1,240","3,546,260"
quark,"May 23, 2018",0.016004,0.016082,0.013726,0.013924,512,"4,085,770"
quark,"May 22, 2018",0.017462,0.017476,0.015930,0.016020,"2,274","4,458,100"
quark,"May 21, 2018",0.017908,0.018480,0.017219,0.017465,498,"4,571,650"
quark,"May 20, 2018",0.017578,0.018527,0.016920,0.017885,821,"4,487,530"
quark,"May 19, 2018",0.017362,0.017995,0.016865,0.017565,447,"4,432,340"
quark,"May 18, 2018",0.016765,0.017404,0.016315,0.017365,373,"4,279,780"
quark,"May 17, 2018",0.017785,0.018672,0.016654,0.016750,631,"4,539,980"
quark,"May 16, 2018",0.018920,0.019024,0.017018,0.017774,973,"4,829,760"
quark,"May 15, 2018",0.016648,0.020363,0.016622,0.018931,"1,826","4,249,710"
quark,"May 14, 2018",0.016353,0.019856,0.014251,0.018054,"1,587","4,174,370"
quark,"May 13, 2018",0.014471,0.017202,0.014321,0.016356,410,"3,693,790"
quark,"May 12, 2018",0.014407,0.015293,0.013987,0.014476,870,"3,677,470"
quark,"May 11, 2018",0.017843,0.018052,0.013754,0.014450,"5,375","4,554,400"
quark,"May 10, 2018",0.019559,0.020230,0.017590,0.017822,"5,119","4,992,450"
quark,"May 09, 2018",0.018949,0.020946,0.017679,0.019565,"4,397","4,836,490"
