Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
quazarcoin,"Jun 07, 2018",0.015314,0.015349,0.015314,0.015345,"4,128","109,232"
quazarcoin,"Jun 06, 2018",0.007624,0.015346,0.007506,0.015299,"4,121","54,382"
quazarcoin,"Jun 05, 2018",0.007502,0.015273,0.007384,0.015252,259,"53,514"
quazarcoin,"Jun 04, 2018",0.007709,0.015459,0.007482,0.007499,"1,502","54,988"
quazarcoin,"Jun 03, 2018",0.007635,0.015451,0.007627,0.015411,"1,175","54,460"
quazarcoin,"Jun 02, 2018",0.007517,0.022993,0.007477,0.007633,"46,673","53,616"
quazarcoin,"Jun 01, 2018",0.014983,0.022749,0.007389,0.007520,"65,679","106,876"
quazarcoin,"May 31, 2018",0.007383,0.037742,0.007347,0.022458,"208,393","52,661"
quazarcoin,"May 30, 2018",0.007465,0.007550,0.007305,0.007384,4,"53,245"
quazarcoin,"May 29, 2018",0.007118,0.007532,0.007079,0.007460,3,"50,777"
quazarcoin,"May 28, 2018",0.007345,0.007411,0.007099,0.007121,10,"52,395"
quazarcoin,"May 27, 2018",0.007335,0.007378,0.007234,0.007344,1,"52,322"
quazarcoin,"May 26, 2018",0.007468,0.007623,0.007292,0.007332,9,"53,269"
quazarcoin,"May 25, 2018",0.007563,0.007652,0.007361,0.007478,376,"53,946"
quazarcoin,"May 24, 2018",0.007520,0.007721,0.007276,0.007549,27,"53,637"
quazarcoin,"May 23, 2018",0.008003,0.008027,0.007471,0.007539,36,"57,089"
quazarcoin,"May 22, 2018",0.008408,0.008414,0.007967,0.008012,354,"59,972"
quazarcoin,"May 21, 2018",0.008527,0.008579,0.008337,0.008409,40,"60,826"
quazarcoin,"May 20, 2018",0.008245,0.008583,0.008192,0.008517,11,"58,815"
quazarcoin,"May 19, 2018",0.008239,0.008367,0.008174,0.008239,21,"58,769"
quazarcoin,"May 18, 2018",0.008078,0.008270,0.007958,0.008240,15,"57,621"
quazarcoin,"May 17, 2018",0.008348,0.008443,0.008025,0.008071,87,"59,549"
quazarcoin,"May 16, 2018",0.008486,0.008493,0.008135,0.008343,56,"60,532"
quazarcoin,"May 15, 2018",0.008674,0.008819,0.008442,0.008491,231,"61,869"
quazarcoin,"May 14, 2018",0.008690,0.008857,0.008327,0.008689,291,"61,951"
quazarcoin,"May 13, 2018",0.008468,0.008756,0.008369,0.008692,378,"60,332"
quazarcoin,"May 12, 2018",0.008395,0.008634,0.008236,0.008471,64,"59,776"
quazarcoin,"May 11, 2018",0.009038,0.009038,0.008364,0.008420,521,"64,312"
quazarcoin,"May 10, 2018",0.009314,0.009389,0.009018,0.009027,64,"66,263"
quazarcoin,"May 09, 2018",0.009199,0.009348,0.008993,0.009316,41,"65,418"
quazarcoin,"May 08, 2018",0.009367,0.009453,0.009072,0.009213,28,"66,561"
quazarcoin,"May 07, 2018",0.009614,0.009619,0.009209,0.009347,130,"68,296"
quazarcoin,"May 06, 2018",0.009829,0.009921,0.009444,0.009607,7,"69,772"
quazarcoin,"May 05, 2018",0.009693,0.009959,0.009677,0.009822,737,"68,773"
quazarcoin,"May 04, 2018",0.009748,0.009770,0.009563,0.009697,179,"69,149"
quazarcoin,"May 03, 2018",0.009219,0.009798,0.009186,0.009751,646,"65,390"
quazarcoin,"May 02, 2018",0.009083,0.009255,0.008987,0.009219,34,"64,371"
quazarcoin,"May 01, 2018",0.009241,0.009241,0.008866,0.009097,59,"65,453"
quazarcoin,"Apr 30, 2018",0.009402,0.009439,0.009149,0.009233,18,"66,550"
quazarcoin,"Apr 29, 2018",0.009345,0.009525,0.009199,0.009405,45,"66,118"
quazarcoin,"Apr 28, 2018",0.008916,0.009436,0.008893,0.009349,35,"63,040"
quazarcoin,"Apr 27, 2018",0.009297,0.009371,0.008946,0.008946,649,"65,699"
quazarcoin,"Apr 26, 2018",0.008863,0.009305,0.008647,0.009284,100,"62,599"
quazarcoin,"Apr 25, 2018",0.009698,0.009745,0.008778,0.008790,8,"68,456"
quazarcoin,"Apr 24, 2018",0.008925,0.009764,0.008921,0.009764,144,"62,964"
quazarcoin,"Apr 23, 2018",0.008781,0.008944,0.008774,0.008917,49,"61,916"
quazarcoin,"Apr 22, 2018",0.008928,0.008982,0.008753,0.008799,59,"62,920"
quazarcoin,"Apr 21, 2018",0.008842,0.008972,0.008662,0.008928,173,"62,275"
quazarcoin,"Apr 20, 2018",0.008269,0.008921,0.008235,0.008839,153,"58,204"
quazarcoin,"Apr 19, 2018",0.008164,0.008269,0.008128,0.008263,37,"57,437"
quazarcoin,"Apr 18, 2018",0.007896,0.008210,0.007881,0.008158,258,"55,516"
quazarcoin,"Apr 17, 2018",0.008049,0.008143,0.007863,0.007889,20,"56,565"
