Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
quebecoin,"Jul 02, 2018",0.005331,0.005651,0.005314,0.005616,214,"83,106"
quebecoin,"Jul 01, 2018",0.005365,0.005439,0.005298,0.005331,227,"83,639"
quebecoin,"Jun 30, 2018",0.005088,0.005493,0.005088,0.005364,70,"79,316"
quebecoin,"Jun 29, 2018",0.004812,0.005168,0.004757,0.005081,5,"75,016"
quebecoin,"Jun 28, 2018",0.005091,0.005207,0.004782,0.004809,31,"79,365"
quebecoin,"Jun 27, 2018",0.005047,0.005114,0.004993,0.005089,48,"78,672"
quebecoin,"Jun 26, 2018",0.005311,0.005332,0.005044,0.005049,36,"82,790"
quebecoin,"Jun 25, 2018",0.005290,0.005368,0.005182,0.005311,155,"82,457"
quebecoin,"Jun 24, 2018",0.006167,0.006177,0.005200,0.005300,190,"96,131"
quebecoin,"Jun 23, 2018",0.005447,0.006238,0.005437,0.006168,2,"84,908"
quebecoin,"Jun 22, 2018",0.005842,0.006249,0.005350,0.005446,45,"91,065"
quebecoin,"Jun 21, 2018",0.006154,0.006218,0.005825,0.005848,53,"95,929"
quebecoin,"Jun 20, 2018",0.007498,0.007505,0.007361,0.007361,28,"116,885"
quebecoin,"Jun 19, 2018",0.005855,0.007547,0.005853,0.007493,4,"91,277"
quebecoin,"Jun 18, 2018",0.005635,0.007596,0.005589,0.005858,194,"87,845"
quebecoin,"Jun 17, 2018",0.005875,0.005919,0.005541,0.005654,7,"91,586"
quebecoin,"Jun 16, 2018",0.005587,0.005889,0.005573,0.005860,21,"87,097"
quebecoin,"Jun 15, 2018",0.005714,0.005737,0.005576,0.005608,19,"89,069"
quebecoin,"Jun 14, 2018",0.005498,0.005750,0.005365,0.005723,64,"85,705"
quebecoin,"Jun 13, 2018",0.005859,0.005960,0.005379,0.005500,52,"91,333"
quebecoin,"Jun 12, 2018",0.006130,0.006263,0.005790,0.005844,14,"95,558"
quebecoin,"Jun 11, 2018",0.006301,0.006545,0.005956,0.006133,69,"98,226"
quebecoin,"Jun 10, 2018",0.006455,0.006702,0.005991,0.006292,50,"100,620"
quebecoin,"Jun 09, 2018",0.007780,0.007837,0.006447,0.006447,509,"121,275"
