Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
qunqun,"Jul 02, 2018",0.016036,0.018062,0.015736,0.018062,"339,511","12,895,200"
qunqun,"Jul 01, 2018",0.016486,0.016966,0.015721,0.015996,"417,142","13,257,400"
qunqun,"Jun 30, 2018",0.015729,0.017502,0.015707,0.016473,"702,732","12,648,300"
qunqun,"Jun 29, 2018",0.015815,0.016507,0.014063,0.015726,"1,608,680","12,717,800"
qunqun,"Jun 28, 2018",0.016454,0.017597,0.015613,0.015818,"591,902","13,231,300"
qunqun,"Jun 27, 2018",0.016600,0.016852,0.015578,0.016458,"424,028","13,348,800"
qunqun,"Jun 26, 2018",0.017048,0.018247,0.016642,0.016654,"769,444","13,708,800"
qunqun,"Jun 25, 2018",0.017179,0.017519,0.016795,0.017063,"256,242","13,814,200"
qunqun,"Jun 24, 2018",0.017094,0.017699,0.015831,0.017229,"1,155,770","13,746,200"
qunqun,"Jun 23, 2018",0.017611,0.019486,0.016827,0.017062,"1,272,670","14,162,100"
qunqun,"Jun 22, 2018",0.019206,0.020788,0.016925,0.017618,"632,726","15,444,200"
qunqun,"Jun 21, 2018",0.020719,0.021280,0.018947,0.019226,"386,312","16,660,800"
qunqun,"Jun 20, 2018",0.021303,0.021320,0.019928,0.020730,"357,698","17,131,200"
qunqun,"Jun 19, 2018",0.020326,0.021610,0.020069,0.021349,"1,093,420","16,344,800"
qunqun,"Jun 18, 2018",0.019891,0.021204,0.018977,0.020231,"1,086,490","15,995,400"
qunqun,"Jun 17, 2018",0.020468,0.021331,0.019866,0.019946,"603,136","16,459,600"
qunqun,"Jun 16, 2018",0.021024,0.021711,0.020378,0.020401,"225,390","16,906,700"
qunqun,"Jun 15, 2018",0.022988,0.023095,0.020902,0.021097,"373,815","18,485,900"
qunqun,"Jun 14, 2018",0.021381,0.023114,0.020746,0.023081,"516,583","17,193,800"
qunqun,"Jun 13, 2018",0.021846,0.022320,0.019726,0.021352,"675,393","17,589,100"
qunqun,"Jun 12, 2018",0.022803,0.024217,0.021253,0.021528,"643,079","18,359,600"
qunqun,"Jun 11, 2018",0.023294,0.024440,0.021815,0.022745,"576,326","18,754,900"
qunqun,"Jun 10, 2018",0.028059,0.028074,0.022372,0.023165,"860,956","22,591,500"
qunqun,"Jun 09, 2018",0.030691,0.032121,0.027713,0.028160,"972,357","24,710,600"
