Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
raiden-network-token,"Jul 02, 2018",0.825353,0.996046,0.821299,0.925212,"2,083,510","41,407,100"
raiden-network-token,"Jul 01, 2018",0.814107,0.831046,0.801401,0.821565,"257,166","40,842,900"
raiden-network-token,"Jun 30, 2018",0.716634,0.816863,0.716634,0.814281,"856,385","35,952,800"
raiden-network-token,"Jun 29, 2018",0.686381,0.734323,0.651429,0.720043,"709,388","34,435,000"
raiden-network-token,"Jun 28, 2018",0.741559,0.747441,0.687692,0.691569,"832,476","37,203,200"
raiden-network-token,"Jun 27, 2018",0.730130,0.747043,0.714711,0.735195,"543,228","36,629,800"
raiden-network-token,"Jun 26, 2018",0.785185,0.786922,0.732186,0.733277,"789,282","39,391,900"
raiden-network-token,"Jun 25, 2018",0.783802,0.812684,0.761496,0.785731,"1,148,100","39,322,500"
raiden-network-token,"Jun 24, 2018",0.790807,0.816615,0.734758,0.787395,"1,054,950","39,674,000"
raiden-network-token,"Jun 23, 2018",0.764610,0.798239,0.754033,0.784504,"1,186,690","38,359,700"
raiden-network-token,"Jun 22, 2018",0.879687,0.879777,0.757918,0.765282,"844,200","44,133,000"
raiden-network-token,"Jun 21, 2018",0.873921,0.899734,0.873921,0.881450,"756,713","43,843,700"
raiden-network-token,"Jun 20, 2018",0.897669,0.902631,0.841115,0.874771,"800,041","45,035,100"
raiden-network-token,"Jun 19, 2018",0.875997,0.955525,0.875997,0.896116,"1,565,970","43,947,800"
raiden-network-token,"Jun 18, 2018",0.833534,0.885185,0.815823,0.877539,"820,916","41,817,500"
raiden-network-token,"Jun 17, 2018",0.907174,0.912397,0.834342,0.834828,"1,215,980","45,512,000"
raiden-network-token,"Jun 16, 2018",0.883851,0.923325,0.873209,0.906518,"1,032,780","44,341,900"
raiden-network-token,"Jun 15, 2018",1.01,1.07,0.879333,0.886485,"2,085,690","50,551,700"
raiden-network-token,"Jun 14, 2018",0.805563,1.09,0.776854,1.01,"3,132,070","40,414,300"
raiden-network-token,"Jun 13, 2018",0.843587,0.850673,0.758733,0.805999,"953,963","42,321,800"
raiden-network-token,"Jun 12, 2018",0.960589,0.968402,0.823413,0.841083,"1,047,520","48,191,700"
raiden-network-token,"Jun 11, 2018",0.959345,0.980401,0.920687,0.958130,"897,497","48,129,300"
raiden-network-token,"Jun 10, 2018",1.16,1.16,0.935726,0.959117,"1,297,050","58,244,000"
raiden-network-token,"Jun 09, 2018",1.22,1.22,1.15,1.16,"994,327","61,195,700"
raiden-network-token,"Jun 08, 2018",1.24,1.26,1.19,1.22,"693,587","62,428,800"
raiden-network-token,"Jun 07, 2018",1.23,1.27,1.23,1.24,"656,422","61,752,200"
raiden-network-token,"Jun 06, 2018",1.30,1.32,1.20,1.23,"1,748,950","65,463,000"
raiden-network-token,"Jun 05, 2018",1.32,1.33,1.25,1.31,"1,508,270","66,315,700"
raiden-network-token,"Jun 04, 2018",1.42,1.43,1.30,1.32,"890,596","71,040,300"
raiden-network-token,"Jun 03, 2018",1.44,1.49,1.40,1.42,"996,209","72,365,900"
raiden-network-token,"Jun 02, 2018",1.41,1.48,1.39,1.44,"1,165,370","70,544,500"
raiden-network-token,"Jun 01, 2018",1.32,1.41,1.31,1.41,"1,330,550","66,103,000"
raiden-network-token,"May 31, 2018",1.29,1.40,1.27,1.32,"2,068,750","64,948,600"
raiden-network-token,"May 30, 2018",1.35,1.35,1.28,1.29,"1,089,760","67,687,000"
raiden-network-token,"May 29, 2018",1.23,1.35,1.23,1.35,"1,055,840","61,600,500"
raiden-network-token,"May 28, 2018",1.35,1.35,1.23,1.23,"1,668,900","67,554,800"
raiden-network-token,"May 27, 2018",1.33,1.40,1.31,1.35,"1,132,540","66,770,000"
raiden-network-token,"May 26, 2018",1.38,1.39,1.32,1.33,"886,185","69,142,500"
raiden-network-token,"May 25, 2018",1.39,1.43,1.35,1.38,"1,138,970","69,906,600"
raiden-network-token,"May 24, 2018",1.32,1.40,1.28,1.39,"1,040,880","66,339,800"
raiden-network-token,"May 23, 2018",1.50,1.51,1.30,1.33,"1,197,580","75,486,200"
raiden-network-token,"May 22, 2018",1.70,1.70,1.51,1.51,"1,389,110","85,114,600"
raiden-network-token,"May 21, 2018",1.76,1.76,1.69,1.70,"1,381,570","88,300,600"
raiden-network-token,"May 20, 2018",1.72,1.81,1.69,1.76,"1,723,120","86,288,400"
