Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ratecoin,"Jul 02, 2018",0.001585,0.001648,0.001445,0.001453,2,"194,114"
ratecoin,"Jul 01, 2018",0.001604,0.001613,0.001450,0.001585,369,"196,358"
ratecoin,"Jun 30, 2018",0.001365,0.001652,0.001365,0.001603,346,"167,106"
ratecoin,"Jun 29, 2018",0.001408,0.001416,0.001160,0.001363,"1,045","172,461"
ratecoin,"Jun 28, 2018",0.001411,0.001474,0.001400,0.001408,14,"172,751"
ratecoin,"Jun 27, 2018",0.001520,0.001534,0.001406,0.001410,24,"186,134"
ratecoin,"Jun 26, 2018",0.001443,0.001612,0.001306,0.001521,73,"176,686"
ratecoin,"Jun 25, 2018",0.001285,0.001495,0.001280,0.001443,118,"157,335"
ratecoin,"Jun 24, 2018",0.001479,0.001482,0.001213,0.001287,242,"181,135"
ratecoin,"Jun 23, 2018",0.001600,0.001626,0.001280,0.001479,401,"195,886"
ratecoin,"Jun 22, 2018",0.001878,0.001881,0.001405,0.001600,108,"229,985"
ratecoin,"Jun 21, 2018",0.001350,0.002416,0.001341,0.001880,"1,736","165,342"
ratecoin,"Jun 20, 2018",0.001553,0.001621,0.001350,0.001350,123,"190,147"
ratecoin,"Jun 19, 2018",0.001413,0.001555,0.001406,0.001552,395,"173,063"
ratecoin,"Jun 18, 2018",0.001298,0.001492,0.001285,0.001347,214,"158,965"
ratecoin,"Jun 17, 2018",0.001240,0.001378,0.001195,0.001303,143,"151,875"
ratecoin,"Jun 16, 2018",0.001220,0.001249,0.001209,0.001237,25,"149,411"
ratecoin,"Jun 15, 2018",0.001262,0.001382,0.001218,0.001225,48,"154,569"
ratecoin,"Jun 14, 2018",0.001201,0.001371,0.001152,0.001264,404,"147,023"
ratecoin,"Jun 13, 2018",0.001382,0.001400,0.001181,0.001201,742,"169,278"
ratecoin,"Jun 12, 2018",0.001384,0.001511,0.001171,0.001379,"1,383","169,511"
ratecoin,"Jun 11, 2018",0.001558,0.001828,0.001364,0.001385,347,"190,816"
ratecoin,"Jun 10, 2018",0.001537,0.002130,0.001444,0.001556,829,"188,144"
ratecoin,"Jun 09, 2018",0.001602,0.001614,0.001444,0.001535,52,"196,126"
ratecoin,"Jun 08, 2018",0.001460,0.001610,0.001449,0.001602,79,"178,736"
ratecoin,"Jun 07, 2018",0.001455,0.001533,0.001383,0.001459,469,"178,137"
ratecoin,"Jun 06, 2018",0.001384,0.001535,0.001369,0.001453,58,"169,434"
ratecoin,"Jun 05, 2018",0.001500,0.001502,0.001338,0.001384,62,"183,730"
ratecoin,"Jun 04, 2018",0.001465,0.001509,0.001432,0.001500,109,"179,350"
ratecoin,"Jun 03, 2018",0.001451,0.001497,0.001445,0.001464,24,"177,671"
ratecoin,"Jun 02, 2018",0.001466,0.001467,0.001352,0.001451,870,"179,522"
ratecoin,"Jun 01, 2018",0.001594,0.001601,0.001460,0.001467,84,"195,208"
ratecoin,"May 31, 2018",0.001550,0.001695,0.001457,0.001593,516,"189,840"
ratecoin,"May 30, 2018",0.001519,0.001800,0.001516,0.001551,104,"186,050"
ratecoin,"May 29, 2018",0.001498,0.001643,0.001487,0.001518,95,"183,446"
ratecoin,"May 28, 2018",0.001910,0.001917,0.001494,0.001499,139,"233,854"
ratecoin,"May 27, 2018",0.001834,0.001915,0.001808,0.001909,5,"224,544"
ratecoin,"May 26, 2018",0.001946,0.002019,0.001823,0.001833,23,"238,315"
ratecoin,"May 25, 2018",0.001966,0.002211,0.001895,0.001949,120,"240,774"
ratecoin,"May 24, 2018",0.001954,0.002006,0.001650,0.001963,114,"239,248"
ratecoin,"May 23, 2018",0.001971,0.002035,0.001647,0.001959,160,"241,316"
ratecoin,"May 22, 2018",0.002099,0.002449,0.001834,0.001973,352,"257,077"
ratecoin,"May 21, 2018",0.001876,0.002145,0.001782,0.002100,267,"229,727"
ratecoin,"May 20, 2018",0.001649,0.002042,0.001530,0.001874,"1,192","201,929"
ratecoin,"May 19, 2018",0.001730,0.001735,0.001471,0.001648,364,"211,859"
ratecoin,"May 18, 2018",0.001696,0.001788,0.001614,0.001730,103,"207,721"
ratecoin,"May 17, 2018",0.001629,0.001853,0.001582,0.001695,229,"199,498"
ratecoin,"May 16, 2018",0.001857,0.001878,0.001612,0.001628,33,"227,412"
ratecoin,"May 15, 2018",0.001824,0.001940,0.001821,0.001858,53,"223,392"
ratecoin,"May 14, 2018",0.001932,0.002016,0.001584,0.001827,695,"236,574"
ratecoin,"May 13, 2018",0.002042,0.002056,0.001865,0.001932,114,"250,052"
ratecoin,"May 12, 2018",0.001931,0.002062,0.001814,0.002043,53,"236,429"
ratecoin,"May 11, 2018",0.002340,0.002340,0.001882,0.001937,110,"286,528"
ratecoin,"May 10, 2018",0.002145,0.002436,0.002137,0.002337,40,"262,658"
