Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
redcoin,"Jul 02, 2018",0.001269,0.001326,0.001182,0.001189,13,"94,067"
redcoin,"Jul 01, 2018",0.001277,0.001339,0.001006,0.001269,303,"94,671"
redcoin,"Jun 30, 2018",0.001241,0.001349,0.001241,0.001277,236,"91,966"
redcoin,"Jun 29, 2018",0.001115,0.001261,0.000992,0.001239,255,"82,631"
redcoin,"Jun 28, 2018",0.001165,0.001224,0.000974,0.001114,336,"86,368"
redcoin,"Jun 27, 2018",0.001338,0.001345,0.001151,0.001165,146,"99,133"
redcoin,"Jun 26, 2018",0.001250,0.001371,0.001169,0.001338,273,"92,607"
redcoin,"Jun 25, 2018",0.001169,0.001388,0.001164,0.001250,247,"86,604"
redcoin,"Jun 24, 2018",0.001233,0.001235,0.001098,0.001171,73,"91,400"
redcoin,"Jun 23, 2018",0.001210,0.001295,0.001208,0.001234,109,"89,699"
redcoin,"Jun 22, 2018",0.001612,0.001614,0.001189,0.001210,474,"119,425"
redcoin,"Jun 21, 2018",0.001620,0.001628,0.001346,0.001613,685,"120,081"
redcoin,"Jun 20, 2018",0.001554,0.001966,0.001484,0.001620,"1,116","115,137"
redcoin,"Jun 19, 2018",0.001615,0.001696,0.001475,0.001553,222,"119,703"
redcoin,"Jun 18, 2018",0.001490,0.001628,0.001476,0.001616,172,"110,402"
redcoin,"Jun 17, 2018",0.001632,0.001643,0.001366,0.001495,463,"120,943"
redcoin,"Jun 16, 2018",0.001541,0.001643,0.001527,0.001628,63,"114,222"
redcoin,"Jun 15, 2018",0.001462,0.001644,0.001427,0.001547,498,"108,318"
redcoin,"Jun 14, 2018",0.001453,0.001524,0.001450,0.001464,7,"107,713"
redcoin,"Jun 13, 2018",0.001580,0.001589,0.001438,0.001454,80,"117,085"
redcoin,"Jun 12, 2018",0.001653,0.001700,0.001547,0.001576,237,"122,501"
redcoin,"Jun 11, 2018",0.001694,0.001705,0.001606,0.001654,500,"125,527"
redcoin,"Jun 10, 2018",0.001801,0.001888,0.001667,0.001691,230,"133,490"
redcoin,"Jun 09, 2018",0.001831,0.001921,0.001799,0.001799,46,"135,655"
redcoin,"Jun 08, 2018",0.001997,0.002002,0.001831,0.001831,586,"148,027"
redcoin,"Jun 07, 2018",0.001838,0.002092,0.001838,0.001996,486,"136,182"
redcoin,"Jun 06, 2018",0.001982,0.002076,0.001836,0.001836,484,"146,898"
redcoin,"Jun 05, 2018",0.002101,0.002103,0.001845,0.001983,595,"155,674"
redcoin,"Jun 04, 2018",0.002158,0.002164,0.001882,0.002100,703,"159,961"
redcoin,"Jun 03, 2018",0.002138,0.002163,0.002078,0.002157,"1,344","158,425"
redcoin,"Jun 02, 2018",0.002105,0.002146,0.002053,0.002137,95,"155,971"
redcoin,"Jun 01, 2018",0.001948,0.002110,0.001945,0.002106,72,"144,349"
redcoin,"May 31, 2018",0.002067,0.002124,0.001934,0.001946,58,"153,192"
redcoin,"May 30, 2018",0.002090,0.002114,0.001833,0.001920,729,"154,892"
redcoin,"May 29, 2018",0.001993,0.002155,0.001993,0.002089,194,"147,710"
redcoin,"May 28, 2018",0.002277,0.002286,0.001956,0.001994,"1,525","168,749"
redcoin,"May 27, 2018",0.002274,0.002435,0.002243,0.002277,605,"168,512"
redcoin,"May 26, 2018",0.002614,0.002744,0.002261,0.002273,603,"193,702"
redcoin,"May 25, 2018",0.002269,0.002831,0.002269,0.002617,"1,298","168,138"
redcoin,"May 24, 2018",0.002857,0.002903,0.002265,0.002265,"2,197","211,758"
redcoin,"May 23, 2018",0.002881,0.003129,0.002690,0.002865,566,"213,522"
redcoin,"May 22, 2018",0.002859,0.004007,0.002563,0.002884,"6,443","211,845"
redcoin,"May 21, 2018",0.003411,0.003664,0.002470,0.002859,"2,328","252,779"
redcoin,"May 20, 2018",0.002968,0.003416,0.002949,0.003407,"1,834","219,978"
redcoin,"May 19, 2018",0.002966,0.003139,0.002943,0.003049,"1,516","219,806"
redcoin,"May 18, 2018",0.003070,0.003171,0.002811,0.002966,"1,616","227,486"
redcoin,"May 17, 2018",0.003005,0.004138,0.002563,0.003067,"7,665","222,724"
redcoin,"May 16, 2018",0.002716,0.003435,0.002603,0.003004,"3,351","201,245"
redcoin,"May 15, 2018",0.002516,0.003175,0.002511,0.002717,926,"186,425"
redcoin,"May 14, 2018",0.002694,0.002803,0.002433,0.002520,101,"199,646"
redcoin,"May 13, 2018",0.002710,0.002728,0.002399,0.002694,613,"200,808"
redcoin,"May 12, 2018",0.002602,0.002877,0.002602,0.002711,596,"192,861"
redcoin,"May 11, 2018",0.003525,0.003525,0.002593,0.002610,"1,618","261,215"
redcoin,"May 10, 2018",0.003074,0.004000,0.003003,0.003521,"1,321","227,776"
redcoin,"May 09, 2018",0.002944,0.003348,0.002878,0.003074,"1,491","218,149"
redcoin,"May 08, 2018",0.002904,0.003199,0.002877,0.002948,331,"215,189"
redcoin,"May 07, 2018",0.003173,0.003350,0.002879,0.002898,653,"235,108"
