Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
reftoken,"Jul 02, 2018",1.83,1.98,1.70,1.98,"1,079","1,339,030"
reftoken,"Jul 01, 2018",2.00,2.00,1.80,1.83,765,"1,461,800"
reftoken,"Jun 30, 2018",1.75,2.08,1.75,2.00,157,"1,282,100"
reftoken,"Jun 29, 2018",1.67,2.00,1.65,1.75,334,"1,220,990"
reftoken,"Jun 28, 2018",2.10,2.10,1.66,1.67,"4,617","1,538,580"
reftoken,"Jun 27, 2018",2.10,2.10,2.10,2.10,518,"1,538,230"
reftoken,"Jun 26, 2018",2.21,2.24,2.03,2.10,440,"1,621,020"
reftoken,"Jun 25, 2018",2.33,2.34,2.08,2.21,"2,438","1,709,770"
reftoken,"Jun 24, 2018",2.31,2.79,2.26,2.34,"55,676","1,694,890"
reftoken,"Jun 23, 2018",2.27,3.49,2.22,2.37,"28,977","1,664,450"
reftoken,"Jun 22, 2018",2.18,3.63,1.61,2.27,"324,146","1,595,700"
reftoken,"Jun 21, 2018",2.18,2.24,1.65,2.18,"8,762","1,593,380"
reftoken,"Jun 20, 2018",2.28,3.23,1.92,2.18,"21,549","1,672,140"
reftoken,"Jun 19, 2018",2.79,2.79,2.23,2.28,"6,655","2,042,620"
reftoken,"Jun 18, 2018",3.01,3.02,2.25,2.79,"5,039","2,206,240"
reftoken,"Jun 17, 2018",2.23,3.03,2.22,3.02,"3,611","1,634,900"
reftoken,"Jun 16, 2018",2.36,2.37,2.23,2.23,"3,987","1,732,020"
reftoken,"Jun 15, 2018",3.39,3.39,2.28,2.37,716,"2,482,810"
reftoken,"Jun 14, 2018",2.29,3.39,2.02,3.39,"73,418","1,674,420"
reftoken,"Jun 13, 2018",2.90,2.95,2.28,2.29,"13,538","2,121,500"
reftoken,"Jun 12, 2018",2.65,3.00,2.62,2.89,"3,494","1,941,530"
reftoken,"Jun 11, 2018",2.70,2.75,2.64,2.65,"8,441","1,974,270"
reftoken,"Jun 10, 2018",3.70,3.70,2.69,2.69,"10,798","2,709,280"
reftoken,"Jun 09, 2018",3.46,3.80,3.07,3.79,357,"2,537,420"
reftoken,"Jun 08, 2018",3.43,3.47,3.21,3.46,"3,266","2,512,920"
reftoken,"Jun 07, 2018",4.12,4.13,3.29,3.43,"10,699","3,015,560"
reftoken,"Jun 06, 2018",3.26,4.12,3.03,4.12,"30,402","2,389,470"
reftoken,"Jun 05, 2018",3.50,3.51,3.26,3.26,"17,535","2,567,070"
reftoken,"Jun 04, 2018",3.56,3.93,3.43,3.50,"13,151","2,605,350"
reftoken,"Jun 03, 2018",3.53,3.83,3.53,3.56,"11,066","2,588,210"
reftoken,"Jun 02, 2018",3.79,3.96,3.53,3.53,"6,542","2,772,500"
reftoken,"Jun 01, 2018",3.71,3.86,3.68,3.79,"2,446","2,717,570"
reftoken,"May 31, 2018",4.18,4.46,3.56,3.71,"9,405","3,058,470"
reftoken,"May 30, 2018",3.67,4.77,3.59,4.18,"2,586","2,686,940"
reftoken,"May 29, 2018",3.63,3.68,3.39,3.67,"6,288","2,660,160"
reftoken,"May 28, 2018",5.85,5.90,3.28,3.63,"13,263","4,283,760"
reftoken,"May 27, 2018",4.34,5.86,3.44,5.85,"40,272","3,179,880"
reftoken,"May 26, 2018",3.62,4.34,3.61,4.34,"19,181","2,649,700"
reftoken,"May 25, 2018",5.14,5.18,3.42,3.62,"104,427","3,761,530"
reftoken,"May 24, 2018",3.95,5.37,3.80,5.13,"89,216","2,894,600"
reftoken,"May 23, 2018",4.12,4.28,3.94,3.95,"20,085","3,019,320"
reftoken,"May 22, 2018",4.45,4.71,4.07,4.12,"27,070","3,262,340"
reftoken,"May 21, 2018",4.39,5.80,3.99,4.49,"85,258","3,212,380"
reftoken,"May 20, 2018",4.08,4.41,3.92,4.39,"8,986","2,991,440"
reftoken,"May 19, 2018",4.48,4.65,3.89,4.08,"72,459","3,279,960"
reftoken,"May 18, 2018",4.54,4.71,4.30,4.48,"29,822","3,324,920"
reftoken,"May 17, 2018",4.44,5.11,4.44,4.54,"42,507","3,254,420"
reftoken,"May 16, 2018",6.10,6.10,4.43,4.44,"91,081","4,467,300"
reftoken,"May 15, 2018",5.35,6.44,5.35,6.10,"90,750","3,921,500"
reftoken,"May 14, 2018",4.98,5.76,4.64,5.36,"62,411","3,644,540"
reftoken,"May 13, 2018",4.59,5.12,4.48,4.98,"45,039","3,365,410"
reftoken,"May 12, 2018",4.86,4.98,4.48,4.60,"16,012","3,562,440"
reftoken,"May 11, 2018",5.33,5.40,4.78,4.87,"34,690","3,901,940"
reftoken,"May 10, 2018",5.03,5.81,5.03,5.33,"28,240","3,687,390"
reftoken,"May 09, 2018",5.36,5.66,5.03,5.03,"19,315","3,922,770"
reftoken,"May 08, 2018",5.35,5.66,5.00,5.36,"57,822","3,916,440"
reftoken,"May 07, 2018",5.63,5.72,4.98,5.34,"33,688","4,123,450"
reftoken,"May 06, 2018",5.90,5.90,5.19,5.63,"53,196","4,322,490"
reftoken,"May 05, 2018",5.04,6.21,5.03,5.87,"162,092","3,687,860"
reftoken,"May 04, 2018",5.33,5.42,4.89,5.04,"30,151","3,902,700"
reftoken,"May 03, 2018",5.20,5.93,4.88,5.37,"80,716","3,809,020"
reftoken,"May 02, 2018",5.39,5.48,4.65,5.20,"26,004","3,950,180"
reftoken,"May 01, 2018",4.92,5.40,4.55,5.40,"117,981","3,602,900"
reftoken,"Apr 30, 2018",5.09,5.78,4.80,4.92,"122,410","3,729,930"
reftoken,"Apr 29, 2018",5.51,5.82,4.98,5.09,"87,741","4,035,530"
reftoken,"Apr 28, 2018",5.89,5.95,5.09,5.51,"126,707","4,313,150"
reftoken,"Apr 27, 2018",5.70,5.98,5.50,5.89,"132,193","4,172,630"
reftoken,"Apr 26, 2018",4.90,6.28,4.80,5.69,"117,603","3,591,750"
reftoken,"Apr 25, 2018",6.51,6.51,4.74,4.90,"125,198","4,769,080"
reftoken,"Apr 24, 2018",7.40,7.41,5.30,6.52,"376,889","5,423,320"
reftoken,"Apr 23, 2018",5.28,7.65,5.07,7.40,"473,695","3,865,420"
