Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
renos,"Jul 02, 2018",0.023419,0.023434,0.020101,0.020217,346,"781,163"
renos,"Jul 01, 2018",0.021972,0.023588,0.020929,0.023416,188,"732,913"
renos,"Jun 30, 2018",0.017994,0.022092,0.017993,0.021968,"1,580","600,216"
renos,"Jun 29, 2018",0.016432,0.018278,0.012920,0.017970,"2,689","548,097"
renos,"Jun 28, 2018",0.016316,0.016452,0.015735,0.016421,354,"544,243"
renos,"Jun 27, 2018",0.019761,0.019973,0.012257,0.016310,"2,458","659,156"
renos,"Jun 26, 2018",0.020744,0.022933,0.019751,0.019769,719,"691,928"
renos,"Jun 25, 2018",0.022204,0.024316,0.020744,0.020744,775,"740,629"
renos,"Jun 24, 2018",0.027750,0.027795,0.020798,0.022247,202,"925,635"
renos,"Jun 23, 2018",0.022090,0.028072,0.022051,0.027754,948,"736,823"
renos,"Jun 22, 2018",0.026053,0.026097,0.021699,0.022087,512,"869,015"
renos,"Jun 21, 2018",0.027006,0.027127,0.025211,0.026082,372,"900,809"
renos,"Jun 20, 2018",0.026817,0.027161,0.026214,0.027000,163,"894,519"
renos,"Jun 19, 2018",0.028469,0.028963,0.025673,0.026801,437,"949,607"
renos,"Jun 18, 2018",0.031414,0.031562,0.026056,0.028484,531,"1,047,860"
renos,"Jun 17, 2018",0.029376,0.031729,0.027293,0.031522,"1,043","979,858"
renos,"Jun 16, 2018",0.025817,0.029579,0.025772,0.029298,"1,155","861,142"
renos,"Jun 15, 2018",0.025246,0.026728,0.025246,0.025911,3,"842,116"
renos,"Jun 14, 2018",0.025341,0.025408,0.023965,0.025288,253,"845,267"
renos,"Jun 13, 2018",0.032915,0.033113,0.026736,0.027249,708,"1,097,920"
renos,"Jun 12, 2018",0.028170,0.032908,0.023747,0.032830,984,"939,641"
renos,"Jun 11, 2018",0.028118,0.030486,0.025515,0.028185,"1,125","937,896"
renos,"Jun 10, 2018",0.036851,0.036851,0.027667,0.028078,"2,054","1,229,220"
renos,"Jun 09, 2018",0.037525,0.039290,0.032120,0.036805,"11,626","1,251,700"
renos,"Jun 08, 2018",0.035186,0.041298,0.032641,0.037541,"4,650","1,173,660"
renos,"Jun 07, 2018",0.035987,0.040110,0.035041,0.035159,438,"1,200,380"
renos,"Jun 06, 2018",0.034612,0.042690,0.033755,0.035954,"3,566","1,154,540"
renos,"Jun 05, 2018",0.038412,0.039090,0.032650,0.034622,"1,196","1,281,270"
renos,"Jun 04, 2018",0.040009,0.040075,0.031700,0.038393,"1,676","1,334,550"
renos,"Jun 03, 2018",0.036647,0.040071,0.030949,0.039991,"3,333","1,222,410"
renos,"Jun 02, 2018",0.030142,0.038683,0.029973,0.036637,"17,117","1,005,410"
renos,"Jun 01, 2018",0.031690,0.033023,0.029818,0.030155,"1,323","1,057,040"
renos,"May 31, 2018",0.027685,0.034923,0.027550,0.031667,"3,883","923,464"
renos,"May 30, 2018",0.023961,0.031469,0.023814,0.027690,"2,911","799,257"
renos,"May 29, 2018",0.024915,0.025002,0.022763,0.023945,478,"831,059"
renos,"May 28, 2018",0.031659,0.031943,0.023120,0.024923,108,"1,056,010"
renos,"May 27, 2018",0.026040,0.031730,0.025680,0.031651,"1,625","868,577"
renos,"May 26, 2018",0.027258,0.027258,0.023873,0.026028,"1,119","909,220"
renos,"May 25, 2018",0.024806,0.028882,0.023745,0.027294,676,"827,426"
renos,"May 24, 2018",0.024814,0.027743,0.024759,0.024759,261,"827,713"
renos,"May 23, 2018",0.027692,0.027772,0.024656,0.024877,797,"923,693"
renos,"May 22, 2018",0.033205,0.033231,0.027454,0.027721,558,"1,107,590"
renos,"May 21, 2018",0.035986,0.036011,0.029757,0.033211,"1,154","1,200,340"
renos,"May 20, 2018",0.034301,0.038365,0.032309,0.035941,596,"1,144,150"
renos,"May 19, 2018",0.031967,0.037379,0.031798,0.034275,"6,872","1,066,300"
renos,"May 18, 2018",0.026980,0.032087,0.026580,0.031972,"1,155","899,944"
renos,"May 17, 2018",0.028283,0.032097,0.023645,0.027118,"3,916","943,396"
renos,"May 16, 2018",0.028528,0.029954,0.025771,0.028265,410,"951,588"
renos,"May 15, 2018",0.023920,0.027052,0.022834,0.026769,"1,476","797,875"
renos,"May 14, 2018",0.023985,0.024126,0.021267,0.021920,"6,403","800,052"
renos,"May 13, 2018",0.026419,0.027229,0.021014,0.023990,"6,865","881,244"
renos,"May 12, 2018",0.027787,0.028265,0.025531,0.026429,190,"926,873"
renos,"May 11, 2018",0.027475,0.033791,0.025483,0.027869,"1,055","916,470"
renos,"May 10, 2018",0.030581,0.030737,0.027416,0.027443,48,"1,020,060"
renos,"May 09, 2018",0.029897,0.030711,0.027237,0.030589,354,"997,234"
renos,"May 08, 2018",0.028194,0.030072,0.027126,0.029942,394,"940,451"
renos,"May 07, 2018",0.030475,0.030543,0.027958,0.028135,990,"1,016,540"
renos,"May 06, 2018",0.029885,0.030482,0.028874,0.030454,313,"996,852"
renos,"May 05, 2018",0.029756,0.032741,0.028957,0.029865,"3,034","992,555"
renos,"May 04, 2018",0.029730,0.031034,0.028831,0.029770,763,"991,687"
renos,"May 03, 2018",0.030147,0.032811,0.027385,0.029742,224,"1,005,580"
renos,"May 02, 2018",0.030792,0.031048,0.027071,0.030146,204,"1,027,110"
renos,"May 01, 2018",0.033082,0.033082,0.026420,0.030839,954,"1,103,490"
renos,"Apr 30, 2018",0.032711,0.033397,0.030260,0.033053,407,"1,091,120"
renos,"Apr 29, 2018",0.028171,0.032821,0.027739,0.032795,991,"939,682"
renos,"Apr 28, 2018",0.027308,0.030167,0.027238,0.028393,254,"910,896"
renos,"Apr 27, 2018",0.028165,0.028337,0.027402,0.027402,80,"939,460"
renos,"Apr 26, 2018",0.026638,0.028917,0.023116,0.028126,"1,357","888,552"
renos,"Apr 25, 2018",0.035785,0.035951,0.026118,0.026419,"4,942","1,193,640"
renos,"Apr 24, 2018",0.031505,0.036075,0.031505,0.036075,"1,097","1,050,880"
renos,"Apr 23, 2018",0.035125,0.039367,0.031153,0.034867,"3,458","1,171,620"
renos,"Apr 22, 2018",0.042501,0.042501,0.035015,0.035196,"1,086","1,417,660"
renos,"Apr 21, 2018",0.039082,0.042501,0.038428,0.042501,"1,876","1,303,630"
renos,"Apr 20, 2018",0.029189,0.044980,0.029170,0.039069,"5,079","973,628"
renos,"Apr 19, 2018",0.028820,0.044535,0.026824,0.029170,"9,532","961,325"
renos,"Apr 18, 2018",0.032732,0.035666,0.024789,0.028799,"1,059","1,091,800"
renos,"Apr 17, 2018",0.028235,0.033531,0.026057,0.032702,276,"941,810"
renos,"Apr 16, 2018",0.031295,0.031471,0.024625,0.028221,"1,159","1,043,870"
renos,"Apr 15, 2018",0.030408,0.031308,0.028622,0.031308,53,"1,014,310"
renos,"Apr 14, 2018",0.032677,0.033929,0.025138,0.030376,527,"1,089,990"
renos,"Apr 13, 2018",0.026834,0.036983,0.025791,0.032677,436,"895,076"
renos,"Apr 12, 2018",0.022228,0.027629,0.021283,0.026800,"1,486","741,453"
renos,"Apr 11, 2018",0.021864,0.022282,0.020920,0.022282,297,"729,292"
renos,"Apr 10, 2018",0.021943,0.021969,0.020657,0.021843,461,"731,925"
renos,"Apr 09, 2018",0.026250,0.028249,0.021481,0.021925,160,"875,611"
renos,"Apr 08, 2018",0.023129,0.028035,0.021945,0.026208,264,"771,505"
renos,"Apr 07, 2018",0.020659,0.023249,0.020628,0.023109,47,"689,089"
renos,"Apr 06, 2018",0.024246,0.024498,0.020439,0.020634,38,"808,742"
renos,"Apr 05, 2018",0.024770,0.025070,0.022624,0.024370,8,"826,223"
renos,"Apr 04, 2018",0.034906,0.034906,0.024534,0.024759,"1,009","1,164,320"
renos,"Apr 03, 2018",0.026505,0.038291,0.026419,0.034930,125,"884,099"
renos,"Apr 02, 2018",0.025934,0.026749,0.021492,0.026486,550,"865,059"
renos,"Apr 01, 2018",0.024601,0.025933,0.021279,0.025332,"1,447","820,584"
