Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
revolutionvr,"Jul 02, 2018",0.046447,0.051562,0.043615,0.049051,"369,848","9,753,870"
revolutionvr,"Jul 01, 2018",0.047390,0.048861,0.045887,0.046445,"70,832","9,951,800"
revolutionvr,"Jun 30, 2018",0.047121,0.049517,0.046811,0.047943,"84,982","9,895,470"
revolutionvr,"Jun 29, 2018",0.045096,0.049314,0.044634,0.047093,"147,864","9,470,140"
revolutionvr,"Jun 28, 2018",0.049678,0.050531,0.043780,0.044207,"60,976","10,432,400"
revolutionvr,"Jun 27, 2018",0.050094,0.050842,0.047754,0.049661,"59,851","10,519,700"
revolutionvr,"Jun 26, 2018",0.053666,0.053840,0.048671,0.048717,"103,172","11,270,000"
revolutionvr,"Jun 25, 2018",0.049937,0.056923,0.047803,0.053495,"211,519","10,486,800"
revolutionvr,"Jun 24, 2018",0.052039,0.061238,0.045177,0.049622,"366,016","10,928,200"
revolutionvr,"Jun 23, 2018",0.056158,0.057248,0.050717,0.052046,"229,914","11,793,200"
revolutionvr,"Jun 22, 2018",0.056062,0.064626,0.054311,0.056073,"1,709,840","11,773,000"
revolutionvr,"Jun 21, 2018",0.053535,0.057941,0.053535,0.055193,"193,455","11,242,400"
revolutionvr,"Jun 20, 2018",0.051597,0.053956,0.047073,0.053259,"146,821","10,835,300"
revolutionvr,"Jun 19, 2018",0.053135,0.056307,0.049554,0.051345,"223,858","11,158,300"
revolutionvr,"Jun 18, 2018",0.046628,0.055204,0.046294,0.053164,"590,210","9,791,830"
revolutionvr,"Jun 17, 2018",0.047117,0.047498,0.045211,0.046787,"39,739","9,894,670"
revolutionvr,"Jun 16, 2018",0.046822,0.047934,0.044829,0.046994,"42,074","9,832,660"
revolutionvr,"Jun 15, 2018",0.048891,0.049856,0.046735,0.046987,"46,546","10,267,000"
revolutionvr,"Jun 14, 2018",0.046041,0.049044,0.045526,0.048847,"94,474","9,668,660"
revolutionvr,"Jun 13, 2018",0.052402,0.052782,0.043638,0.046060,"88,794","11,004,500"
revolutionvr,"Jun 12, 2018",0.055293,0.055956,0.050441,0.052276,"41,465","11,611,400"
revolutionvr,"Jun 11, 2018",0.048651,0.058723,0.048104,0.056149,"276,397","10,216,700"
revolutionvr,"Jun 10, 2018",0.059107,0.059107,0.048301,0.048592,"85,672","12,412,600"
revolutionvr,"Jun 09, 2018",0.060817,0.061615,0.058681,0.058681,"36,487","12,771,500"
revolutionvr,"Jun 08, 2018",0.062205,0.062814,0.059173,0.060842,"61,503","13,063,200"
revolutionvr,"Jun 07, 2018",0.062090,0.064008,0.061596,0.062302,"79,198","13,038,900"
revolutionvr,"Jun 06, 2018",0.061452,0.064285,0.060086,0.062574,"178,996","12,904,900"
revolutionvr,"Jun 05, 2018",0.061646,0.063257,0.059036,0.061667,"89,573","12,945,700"
revolutionvr,"Jun 04, 2018",0.063719,0.063892,0.059391,0.061244,"126,505","13,381,000"
revolutionvr,"Jun 03, 2018",0.065120,0.065263,0.062776,0.063010,"85,664","13,675,300"
revolutionvr,"Jun 02, 2018",0.065313,0.066424,0.063308,0.065103,"94,580","13,715,800"
revolutionvr,"Jun 01, 2018",0.064047,0.065822,0.062088,0.065094,"104,564","13,449,900"
revolutionvr,"May 31, 2018",0.059347,0.066215,0.059347,0.063328,"305,491","12,462,800"
revolutionvr,"May 30, 2018",0.061397,0.063511,0.058516,0.059467,"173,342","12,893,400"
revolutionvr,"May 29, 2018",0.059480,0.063608,0.055910,0.061358,"291,499","12,490,900"
revolutionvr,"May 28, 2018",0.060931,0.060941,0.054558,0.059263,"208,670","12,795,600"
revolutionvr,"May 27, 2018",0.061607,0.062422,0.058912,0.060123,"82,291","12,937,400"
revolutionvr,"May 26, 2018",0.064669,0.064669,0.060230,0.061580,"159,935","13,580,500"
revolutionvr,"May 25, 2018",0.060389,0.069550,0.060389,0.064157,"1,478,770","12,681,700"
revolutionvr,"May 24, 2018",0.058766,0.062635,0.057006,0.062312,"147,524","12,340,900"
revolutionvr,"May 23, 2018",0.066688,0.098385,0.058507,0.058916,"145,383","14,004,400"
revolutionvr,"May 22, 2018",0.070987,0.073318,0.064764,0.066757,"121,298","14,907,200"
revolutionvr,"May 21, 2018",0.075138,0.075191,0.069296,0.071092,"158,205","15,779,000"
revolutionvr,"May 20, 2018",0.070905,0.081160,0.069499,0.075052,"198,146","14,890,100"
revolutionvr,"May 19, 2018",0.069962,0.072784,0.068405,0.071289,"94,662","14,692,100"
revolutionvr,"May 18, 2018",0.068479,0.070705,0.065328,0.069972,"144,790","14,380,500"
revolutionvr,"May 17, 2018",0.073623,0.076882,0.066971,0.067704,"250,587","15,460,900"
revolutionvr,"May 16, 2018",0.077553,0.077553,0.067007,0.072996,"438,242","16,286,200"
revolutionvr,"May 15, 2018",0.077784,0.080369,0.074110,0.077684,"459,929","16,334,600"
revolutionvr,"May 14, 2018",0.076817,0.078963,0.070024,0.076712,"319,620","16,131,600"
