Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
rise,"Jul 02, 2018",0.044486,0.058115,0.040592,0.058113,"2,534","5,620,450"
rise,"Jul 01, 2018",0.035374,0.044808,0.031922,0.044481,"1,284","4,467,990"
rise,"Jun 30, 2018",0.045951,0.046672,0.035004,0.035366,"1,571","5,802,500"
rise,"Jun 29, 2018",0.043086,0.052999,0.042619,0.045889,963,"5,439,180"
rise,"Jun 28, 2018",0.043924,0.044893,0.042815,0.043058,103,"5,543,440"
rise,"Jun 27, 2018",0.059264,0.059610,0.043074,0.043909,666,"7,477,600"
rise,"Jun 26, 2018",0.051547,0.060784,0.047837,0.059288,364,"6,502,100"
rise,"Jun 25, 2018",0.049820,0.052106,0.049386,0.051547,283,"6,282,600"
rise,"Jun 24, 2018",0.049233,0.051733,0.046546,0.049916,162,"6,206,920"
rise,"Jun 23, 2018",0.048073,0.049805,0.047989,0.049240,202,"6,059,020"
rise,"Jun 22, 2018",0.059147,0.063080,0.047223,0.048066,515,"7,452,730"
rise,"Jun 21, 2018",0.054072,0.059307,0.053661,0.059212,85,"6,811,510"
rise,"Jun 20, 2018",0.073959,0.074243,0.053753,0.054061,146,"9,314,100"
rise,"Jun 19, 2018",0.053118,0.073996,0.052842,0.073913,39,"6,687,670"
rise,"Jun 18, 2018",0.058519,0.073769,0.052773,0.053146,"2,614","7,365,700"
rise,"Jun 17, 2018",0.065106,0.066270,0.058525,0.058720,191,"8,192,570"
rise,"Jun 16, 2018",0.056741,0.065582,0.056741,0.064934,"3,074","7,137,910"
rise,"Jun 15, 2018",0.078917,0.079012,0.056636,0.056949,864,"9,924,290"
rise,"Jun 14, 2018",0.046953,0.079491,0.046857,0.079048,"5,720","5,902,610"
rise,"Jun 13, 2018",0.072352,0.072788,0.046453,0.046974,"1,024","9,092,530"
rise,"Jun 12, 2018",0.044113,0.075702,0.043853,0.072165,150,"5,541,920"
rise,"Jun 11, 2018",0.080066,0.081359,0.043322,0.044137,"10,180","10,055,200"
rise,"Jun 10, 2018",0.076826,0.085685,0.074746,0.079951,709,"9,645,000"
rise,"Jun 09, 2018",0.087712,0.090559,0.076729,0.076729,"1,478","11,008,000"
rise,"Jun 08, 2018",0.079975,0.092259,0.079948,0.087749,"1,455","10,033,600"
rise,"Jun 07, 2018",0.091881,0.092977,0.078596,0.079914,"8,284","11,523,500"
rise,"Jun 06, 2018",0.090796,0.092271,0.090014,0.091797,45,"11,386,200"
rise,"Jun 05, 2018",0.082525,0.082614,0.081349,0.081663,24,"10,343,100"
rise,"Jun 04, 2018",0.092507,0.092755,0.082355,0.082486,24,"11,590,200"
rise,"Jun 03, 2018",0.091599,0.092693,0.091192,0.092464,417,"11,472,500"
rise,"Jun 02, 2018",0.082683,0.091891,0.076627,0.091574,"3,599","10,352,300"
rise,"Jun 01, 2018",0.078737,0.082904,0.074726,0.082719,"2,184","9,854,950"
