Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ronpaulcoin,"Jul 02, 2018",0.144068,0.150911,0.142572,0.149975,65,"136,102"
ronpaulcoin,"Jul 01, 2018",0.148186,0.149020,0.142671,0.144051,260,"139,928"
ronpaulcoin,"Jun 30, 2018",0.141161,0.148990,0.141153,0.148153,34,"133,234"
ronpaulcoin,"Jun 29, 2018",0.110973,0.143077,0.110582,0.140970,346,"104,709"
ronpaulcoin,"Jun 28, 2018",0.117035,0.140722,0.110276,0.110902,129,"110,395"
ronpaulcoin,"Jun 27, 2018",0.116986,0.117668,0.113447,0.116993,28,"110,316"
ronpaulcoin,"Jun 26, 2018",0.116152,0.119874,0.113713,0.117033,152,"109,489"
ronpaulcoin,"Jun 25, 2018",0.113479,0.121201,0.112124,0.115090,188,"106,888"
ronpaulcoin,"Jun 24, 2018",0.120312,0.120508,0.106243,0.113698,210,"113,255"
ronpaulcoin,"Jun 23, 2018",0.117447,0.121896,0.117243,0.120328,94,"110,437"
ronpaulcoin,"Jun 22, 2018",0.136844,0.137078,0.115569,0.117432,62,"128,676"
ronpaulcoin,"Jun 21, 2018",0.141781,0.142693,0.131286,0.136995,104,"133,257"
ronpaulcoin,"Jun 20, 2018",0.143206,0.145583,0.139632,0.141752,61,"134,521"
ronpaulcoin,"Jun 19, 2018",0.141805,0.156986,0.131617,0.143117,"1,930","133,206"
ronpaulcoin,"Jun 18, 2018",0.136166,0.142896,0.135216,0.141882,9,"127,908"
ronpaulcoin,"Jun 17, 2018",0.137152,0.138264,0.133549,0.136633,34,"128,834"
ronpaulcoin,"Jun 16, 2018",0.146102,0.147798,0.133693,0.136789,44,"137,241"
ronpaulcoin,"Jun 15, 2018",0.150349,0.151260,0.145831,0.146637,4,"141,231"
ronpaulcoin,"Jun 14, 2018",0.131766,0.142686,0.131766,0.142012,12,"123,775"
ronpaulcoin,"Jun 13, 2018",0.153980,0.156273,0.130481,0.131825,92,"144,510"
ronpaulcoin,"Jun 12, 2018",0.149849,0.181199,0.148963,0.153583,175,"140,632"
ronpaulcoin,"Jun 11, 2018",0.146358,0.158835,0.144286,0.149929,8,"137,357"
ronpaulcoin,"Jun 10, 2018",0.201548,0.201548,0.139767,0.146150,59,"189,152"
ronpaulcoin,"Jun 09, 2018",0.166347,0.207994,0.160172,0.201295,696,"156,116"
ronpaulcoin,"Jun 08, 2018",0.160975,0.276662,0.160817,0.166419,"3,141","151,074"
ronpaulcoin,"Jun 07, 2018",0.161014,0.165907,0.160393,0.160852,83,"151,041"
ronpaulcoin,"Jun 06, 2018",0.170413,0.173006,0.158405,0.160866,170,"159,738"
ronpaulcoin,"Jun 05, 2018",0.161605,0.170459,0.158633,0.170459,210,"151,367"
ronpaulcoin,"Jun 04, 2018",0.133209,0.178638,0.133209,0.161528,216,"124,675"
ronpaulcoin,"Jun 03, 2018",0.178655,0.180600,0.112981,0.133147,42,"167,067"
ronpaulcoin,"Jun 02, 2018",0.187316,0.191161,0.175380,0.178607,7,"175,166"
ronpaulcoin,"Jun 01, 2018",0.186382,0.207308,0.183229,0.187397,51,"174,213"
ronpaulcoin,"May 31, 2018",0.165929,0.189305,0.165119,0.186247,33,"155,095"
ronpaulcoin,"May 30, 2018",0.170961,0.179484,0.147768,0.165960,81,"159,774"
ronpaulcoin,"May 29, 2018",0.166519,0.184808,0.161769,0.170846,211,"155,550"
ronpaulcoin,"May 28, 2018",0.201337,0.203144,0.161505,0.166573,229,"187,971"
ronpaulcoin,"May 27, 2018",0.177362,0.201863,0.174917,0.201290,118,"165,588"
ronpaulcoin,"May 26, 2018",0.122733,0.216031,0.110521,0.177284,72,"114,585"
ronpaulcoin,"May 25, 2018",0.226883,0.229479,0.121560,0.122894,135,"211,821"
ronpaulcoin,"May 24, 2018",0.176700,0.228024,0.171474,0.226457,250,"164,866"
ronpaulcoin,"May 23, 2018",0.249307,0.250031,0.175701,0.177147,175,"232,503"
ronpaulcoin,"May 22, 2018",0.201716,0.250183,0.195328,0.249566,"3,978","188,004"
