Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
royal-kingdom-coin,"Jul 02, 2018",0.006727,0.009140,0.006706,0.008192,"2,352","18,164"
royal-kingdom-coin,"Jul 01, 2018",0.006451,0.006757,0.006097,0.006727,143,"17,418"
royal-kingdom-coin,"Jun 30, 2018",0.005895,0.006681,0.005894,0.006450,191,"15,916"
royal-kingdom-coin,"Jun 29, 2018",0.005047,0.005930,0.005034,0.005887,367,"13,627"
royal-kingdom-coin,"Jun 28, 2018",0.005091,0.005387,0.005015,0.005044,143,"13,746"
royal-kingdom-coin,"Jun 27, 2018",0.004803,0.005398,0.004727,0.005089,379,"12,969"
royal-kingdom-coin,"Jun 26, 2018",0.004436,0.005231,0.004406,0.004805,278,"11,978"
royal-kingdom-coin,"Jun 25, 2018",0.004674,0.004690,0.004207,0.004436,53,"12,621"
royal-kingdom-coin,"Jun 24, 2018",0.004810,0.004957,0.004044,0.004684,73,"12,987"
royal-kingdom-coin,"Jun 23, 2018",0.004721,0.004866,0.004171,0.004811,9,"12,745"
royal-kingdom-coin,"Jun 22, 2018",0.005103,0.005112,0.003923,0.004720,107,"13,778"
royal-kingdom-coin,"Jun 21, 2018",0.005131,0.005154,0.005089,0.005109,159,"13,854"
royal-kingdom-coin,"Jun 20, 2018",0.005269,0.005274,0.005019,0.005130,161,"14,226"
royal-kingdom-coin,"Jun 19, 2018",0.004375,0.005272,0.004373,0.005266,582,"11,812"
royal-kingdom-coin,"Jun 18, 2018",0.004404,0.005198,0.004307,0.004377,132,"11,892"
royal-kingdom-coin,"Jun 17, 2018",0.004504,0.004538,0.003981,0.004420,264,"12,162"
royal-kingdom-coin,"Jun 16, 2018",0.004624,0.004678,0.004391,0.004492,105,"12,485"
royal-kingdom-coin,"Jun 15, 2018",0.004784,0.004789,0.004615,0.004641,46,"12,916"
royal-kingdom-coin,"Jun 14, 2018",0.004676,0.005102,0.004579,0.004791,77,"12,626"
royal-kingdom-coin,"Jun 13, 2018",0.005003,0.005563,0.004625,0.004678,133,"13,508"
royal-kingdom-coin,"Jun 12, 2018",0.005441,0.005441,0.004945,0.004990,43,"14,691"
royal-kingdom-coin,"Jun 11, 2018",0.004675,0.005688,0.004609,0.005444,177,"12,623"
royal-kingdom-coin,"Jun 10, 2018",0.005179,0.005682,0.004600,0.004668,22,"13,983"
royal-kingdom-coin,"Jun 09, 2018",0.005186,0.006053,0.005172,0.005172,50,"14,003"
royal-kingdom-coin,"Jun 08, 2018",0.005070,0.005230,0.005069,0.005189,55,"13,690"
royal-kingdom-coin,"Jun 07, 2018",0.006508,0.006586,0.005050,0.005067,181,"17,572"
royal-kingdom-coin,"Jun 06, 2018",0.005718,0.006516,0.005421,0.006502,914,"15,438"
royal-kingdom-coin,"Jun 05, 2018",0.005552,0.005730,0.004592,0.005719,167,"14,990"
royal-kingdom-coin,"Jun 04, 2018",0.005319,0.005636,0.004382,0.005549,567,"14,362"
royal-kingdom-coin,"Jun 03, 2018",0.004963,0.005407,0.004701,0.005317,430,"13,399"
royal-kingdom-coin,"Jun 02, 2018",0.005487,0.005492,0.004887,0.004961,176,"14,815"
royal-kingdom-coin,"Jun 01, 2018",0.005694,0.005770,0.005478,0.005490,431,"15,373"
royal-kingdom-coin,"May 31, 2018",0.005906,0.006373,0.005517,0.005690,456,"15,947"
royal-kingdom-coin,"May 30, 2018",0.007091,0.007115,0.005165,0.005907,"1,850","19,147"
royal-kingdom-coin,"May 29, 2018",0.005410,0.007155,0.005380,0.007087,516,"14,607"
royal-kingdom-coin,"May 28, 2018",0.005509,0.005558,0.005234,0.005412,900,"14,874"
royal-kingdom-coin,"May 27, 2018",0.005648,0.005755,0.005395,0.005508,99,"15,250"
royal-kingdom-coin,"May 26, 2018",0.005377,0.005684,0.005364,0.005646,216,"14,518"
royal-kingdom-coin,"May 25, 2018",0.005596,0.005603,0.005300,0.005384,316,"15,110"
royal-kingdom-coin,"May 24, 2018",0.005564,0.006468,0.005278,0.005510,657,"15,024"
royal-kingdom-coin,"May 23, 2018",0.007683,0.007706,0.004352,0.005579,"3,144","20,745"
royal-kingdom-coin,"May 22, 2018",0.008828,0.008835,0.004370,0.007691,"5,136","23,836"
royal-kingdom-coin,"May 21, 2018",0.008272,0.008850,0.008054,0.008830,413,"22,333"
royal-kingdom-coin,"May 20, 2018",0.008575,0.008596,0.008222,0.008261,131,"23,153"
royal-kingdom-coin,"May 19, 2018",0.008980,0.009163,0.007466,0.008569,"2,215","24,247"
royal-kingdom-coin,"May 18, 2018",0.009290,0.009290,0.007749,0.008982,368,"25,082"
royal-kingdom-coin,"May 17, 2018",0.010185,0.010301,0.008435,0.009282,305,"27,499"
royal-kingdom-coin,"May 16, 2018",0.009844,0.010180,0.009122,0.010179,291,"26,579"
royal-kingdom-coin,"May 15, 2018",0.009455,0.009903,0.008470,0.009850,"1,838","25,529"
royal-kingdom-coin,"May 14, 2018",0.009907,0.010704,0.008349,0.009471,"3,043","26,749"
royal-kingdom-coin,"May 13, 2018",0.010415,0.011102,0.008806,0.009909,"1,066","28,121"
royal-kingdom-coin,"May 12, 2018",0.011248,0.011315,0.009636,0.010419,"1,717","30,370"
royal-kingdom-coin,"May 11, 2018",0.013279,0.014819,0.006024,0.011281,"27,867","35,853"
royal-kingdom-coin,"May 10, 2018",0.015554,0.015712,0.013250,0.013353,"1,706","41,996"
royal-kingdom-coin,"May 09, 2018",0.015454,0.015705,0.015107,0.015558,95,"41,727"
royal-kingdom-coin,"May 08, 2018",0.015268,0.016521,0.015268,0.015478,283,"41,224"
royal-kingdom-coin,"May 07, 2018",0.016632,0.016640,0.012174,0.015236,"1,535","44,906"
royal-kingdom-coin,"May 06, 2018",0.017667,0.017832,0.014156,0.016620,"2,612","47,700"
royal-kingdom-coin,"May 05, 2018",0.019288,0.019645,0.017513,0.017655,450,"52,078"
royal-kingdom-coin,"May 04, 2018",0.017351,0.020187,0.015860,0.019297,"3,658","46,847"
royal-kingdom-coin,"May 03, 2018",0.017294,0.019408,0.015764,0.017358,"1,683","46,695"
royal-kingdom-coin,"May 02, 2018",0.015987,0.017361,0.015011,0.017294,"2,765","43,164"
royal-kingdom-coin,"May 01, 2018",0.016541,0.017671,0.015714,0.016011,"3,385","44,661"
royal-kingdom-coin,"Apr 30, 2018",0.018639,0.023122,0.016209,0.016527,"14,131","50,324"
royal-kingdom-coin,"Apr 29, 2018",0.013554,0.017144,0.012088,0.017144,"8,648","36,595"
royal-kingdom-coin,"Apr 28, 2018",0.011947,0.014673,0.011241,0.013559,"7,363","32,257"
royal-kingdom-coin,"Apr 27, 2018",0.017479,0.017479,0.011197,0.011988,"15,296","47,192"
royal-kingdom-coin,"Apr 26, 2018",0.016219,0.017493,0.015793,0.017454,667,"43,792"
royal-kingdom-coin,"Apr 25, 2018",0.017747,0.017747,0.016009,0.016086,"2,962","47,918"
royal-kingdom-coin,"Apr 24, 2018",0.016864,0.018449,0.016857,0.017869,"4,487","45,534"
royal-kingdom-coin,"Apr 23, 2018",0.018001,0.018249,0.015711,0.016850,"8,429","48,602"
royal-kingdom-coin,"Apr 22, 2018",0.017676,0.018234,0.016227,0.018037,"4,739","47,724"
royal-kingdom-coin,"Apr 21, 2018",0.018567,0.028888,0.014111,0.017676,"26,840","50,130"
royal-kingdom-coin,"Apr 20, 2018",0.015261,0.018913,0.013486,0.018913,"15,129","41,204"
