Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
rubycoin,"Jul 02, 2018",0.269446,0.310507,0.266430,0.276990,"1,939","6,949,590"
rubycoin,"Jul 01, 2018",0.271099,0.309324,0.249871,0.269416,"9,010","6,991,260"
rubycoin,"Jun 30, 2018",0.266919,0.294030,0.266813,0.271148,"1,134","6,882,510"
rubycoin,"Jun 29, 2018",0.262689,0.288446,0.247582,0.266558,"1,982","6,772,520"
rubycoin,"Jun 28, 2018",0.273294,0.274167,0.261041,0.262522,721,"7,044,940"
rubycoin,"Jun 27, 2018",0.273274,0.280461,0.266988,0.273197,"1,087","7,043,470"
rubycoin,"Jun 26, 2018",0.305643,0.306306,0.273127,0.273384,"2,334","7,876,670"
rubycoin,"Jun 25, 2018",0.310963,0.326416,0.277886,0.305643,"18,199","8,012,670"
rubycoin,"Jun 24, 2018",0.320236,0.348498,0.291484,0.311564,458,"8,250,490"
rubycoin,"Jun 23, 2018",0.316900,0.350702,0.300858,0.320280,"3,103","8,163,390"
rubycoin,"Jun 22, 2018",0.330225,0.362777,0.306841,0.316858,"13,449","8,505,470"
rubycoin,"Jun 21, 2018",0.339138,0.342195,0.316725,0.330591,"7,018","8,733,820"
rubycoin,"Jun 20, 2018",0.344102,0.373731,0.330018,0.339068,"20,506","8,860,450"
rubycoin,"Jun 19, 2018",0.292866,0.364907,0.274908,0.343890,"63,800","7,540,110"
rubycoin,"Jun 18, 2018",0.223446,0.309552,0.212068,0.293023,"9,829","5,752,050"
rubycoin,"Jun 17, 2018",0.236747,0.247218,0.212698,0.224212,"2,735","6,093,610"
rubycoin,"Jun 16, 2018",0.240845,0.248056,0.230126,0.236121,"2,747","6,198,230"
rubycoin,"Jun 15, 2018",0.269517,0.277483,0.241727,0.241727,"1,664","6,935,150"
rubycoin,"Jun 14, 2018",0.245382,0.302764,0.233028,0.269963,"6,085","6,313,250"
rubycoin,"Jun 13, 2018",0.321840,0.327171,0.243239,0.245491,"8,702","8,279,230"
rubycoin,"Jun 12, 2018",0.343160,0.344836,0.317937,0.321009,"1,553","8,826,460"
rubycoin,"Jun 11, 2018",0.340658,0.345122,0.328445,0.343344,"3,009","8,760,900"
rubycoin,"Jun 10, 2018",0.383666,0.383666,0.336535,0.340172,"2,122","9,865,590"
rubycoin,"Jun 09, 2018",0.411276,0.423616,0.383183,0.383183,"3,251","10,574,100"
rubycoin,"Jun 08, 2018",0.408923,0.431273,0.405981,0.411453,"1,184","10,512,200"
rubycoin,"Jun 07, 2018",0.412130,0.433569,0.394058,0.408612,"6,280","10,593,100"
rubycoin,"Jun 06, 2018",0.397823,0.450855,0.395345,0.411751,"32,483","10,224,000"
rubycoin,"Jun 05, 2018",0.379136,0.397930,0.370425,0.397930,"9,196","9,742,370"
rubycoin,"Jun 04, 2018",0.389149,0.399341,0.378355,0.378954,"4,952","9,998,280"
rubycoin,"Jun 03, 2018",0.427676,0.431366,0.388328,0.398146,"8,476","10,986,600"
rubycoin,"Jun 02, 2018",0.405267,0.427907,0.400673,0.427560,"5,193","10,409,500"
rubycoin,"Jun 01, 2018",0.439583,0.441158,0.405016,0.405444,"17,722","11,289,400"
rubycoin,"May 31, 2018",0.446706,0.458374,0.425327,0.438999,"12,357","11,470,700"
rubycoin,"May 30, 2018",0.440156,0.471881,0.433011,0.446789,"2,285","11,301,000"
rubycoin,"May 29, 2018",0.407605,0.467490,0.406599,0.439889,"4,927","10,463,800"
rubycoin,"May 28, 2018",0.426155,0.429758,0.406917,0.408522,"1,930","10,938,500"
rubycoin,"May 27, 2018",0.447979,0.453505,0.423087,0.426055,"3,675","11,497,100"
rubycoin,"May 26, 2018",0.446285,0.463824,0.431270,0.437590,869,"11,452,000"
rubycoin,"May 25, 2018",0.465486,0.466323,0.434512,0.446871,"3,164","11,943,100"
rubycoin,"May 24, 2018",0.450825,0.476374,0.441842,0.464613,"1,486","11,565,300"
rubycoin,"May 23, 2018",0.504984,0.532303,0.445214,0.451965,"15,590","12,952,900"
rubycoin,"May 22, 2018",0.529905,0.536242,0.502552,0.505508,"6,345","13,590,200"
rubycoin,"May 21, 2018",0.548590,0.548590,0.528100,0.530000,"5,641","14,067,500"
rubycoin,"May 20, 2018",0.505197,0.548135,0.492525,0.547905,"6,416","12,953,000"
rubycoin,"May 19, 2018",0.500885,0.509549,0.487946,0.504820,"8,966","12,840,700"
rubycoin,"May 18, 2018",0.473010,0.501118,0.466007,0.500960,"5,147","12,124,400"
rubycoin,"May 17, 2018",0.491844,0.515155,0.469963,0.472595,"8,077","12,605,400"
rubycoin,"May 16, 2018",0.510462,0.510890,0.483927,0.491544,"6,049","13,080,800"
rubycoin,"May 15, 2018",0.525920,0.539959,0.507657,0.510756,"12,028","13,475,000"
rubycoin,"May 14, 2018",0.549302,0.564984,0.513122,0.526823,"26,492","14,072,200"
rubycoin,"May 13, 2018",0.556670,0.577550,0.530279,0.554833,"37,340","14,259,000"
rubycoin,"May 12, 2018",0.593772,0.603921,0.546714,0.556863,"30,306","15,207,200"
rubycoin,"May 11, 2018",0.763019,0.763019,0.586725,0.601010,"231,457","19,539,100"
rubycoin,"May 10, 2018",0.614975,1.08,0.611029,0.766569,"747,839","15,745,900"
rubycoin,"May 09, 2018",0.607693,0.623715,0.594263,0.615148,"6,525","15,557,300"
rubycoin,"May 08, 2018",0.656321,0.679329,0.603479,0.608619,"12,924","16,799,800"
rubycoin,"May 07, 2018",0.657881,0.786806,0.634858,0.654931,"150,694","16,837,400"
