Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
salpay,"Jul 02, 2018",0.084087,0.090919,0.081437,0.088480,"146,628",-
salpay,"Jul 01, 2018",0.111321,0.115047,0.084017,0.084017,"151,025",-
salpay,"Jun 30, 2018",0.067897,0.111751,0.067897,0.111179,"115,617",-
salpay,"Jun 29, 2018",0.052988,0.080764,0.052988,0.067848,"88,063",-
salpay,"Jun 28, 2018",0.047078,0.069464,0.046804,0.052951,"170,690",-
salpay,"Jun 27, 2018",0.040872,0.047313,0.040485,0.047029,"166,860",-
salpay,"Jun 26, 2018",0.044923,0.047193,0.040916,0.040943,"110,769",-
salpay,"Jun 25, 2018",0.043424,0.045143,0.042662,0.045059,"162,542",-
salpay,"Jun 24, 2018",0.045218,0.045333,0.040071,0.043553,"170,959",-
salpay,"Jun 23, 2018",0.045722,0.046695,0.044421,0.045191,"165,030",-
salpay,"Jun 22, 2018",0.054765,0.054765,0.045024,0.045722,"169,307",-
salpay,"Jun 21, 2018",0.063043,0.063949,0.050905,0.054805,"140,760",-
salpay,"Jun 20, 2018",0.061775,0.063303,0.051204,0.063065,"107,101",-
salpay,"Jun 19, 2018",0.075461,0.076011,0.054463,0.061773,"127,635",-
salpay,"Jun 18, 2018",0.071562,0.079649,0.070074,0.075513,"134,620",-
salpay,"Jun 17, 2018",0.072231,0.073905,0.071476,0.071695,"171,004",-
salpay,"Jun 16, 2018",0.071009,0.072711,0.070373,0.072112,"3,202",-
salpay,"Jun 15, 2018",0.077737,0.078100,0.068481,0.071200,"152,440",-
salpay,"Jun 14, 2018",0.152249,0.152745,0.074258,0.077854,"74,152",-
salpay,"Jun 13, 2018",0.085129,0.153564,0.081994,0.152292,"229,632",-
salpay,"Jun 12, 2018",0.103386,0.103510,0.083072,0.084994,"170,406",-
salpay,"Jun 11, 2018",0.102240,0.103709,0.102125,0.103401,"176,215",-
