Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
salt,"Jul 02, 2018",1.13,1.32,1.13,1.28,"2,396,590","67,143,500"
salt,"Jul 01, 2018",1.11,1.18,1.09,1.13,"2,072,680","65,846,200"
salt,"Jun 30, 2018",1.02,1.12,1.02,1.11,"2,086,530","60,338,700"
salt,"Jun 29, 2018",0.964399,1.04,0.930875,1.01,"1,101,380","57,152,400"
salt,"Jun 28, 2018",1.04,1.05,0.973918,0.978845,"1,157,800","61,819,300"
salt,"Jun 27, 2018",0.993909,1.06,0.986094,1.05,"742,269","58,812,500"
salt,"Jun 26, 2018",1.04,1.05,0.992141,0.996756,"889,428","61,733,200"
salt,"Jun 25, 2018",0.968673,1.08,0.956980,1.05,"1,267,280","57,279,000"
salt,"Jun 24, 2018",1.10,1.10,0.882896,0.970023,"2,397,720","64,750,000"
salt,"Jun 23, 2018",1.12,1.14,1.07,1.10,"1,622,700","66,044,800"
salt,"Jun 22, 2018",1.38,1.39,1.08,1.11,"2,295,380","81,822,200"
salt,"Jun 21, 2018",1.29,1.42,1.28,1.38,"2,624,630","76,120,400"
salt,"Jun 20, 2018",1.28,1.30,1.22,1.28,"1,276,340","75,560,100"
salt,"Jun 19, 2018",1.24,1.34,1.23,1.27,"2,689,620","73,450,800"
salt,"Jun 18, 2018",1.18,1.27,1.14,1.24,"2,526,430","69,652,700"
salt,"Jun 17, 2018",1.21,1.23,1.18,1.19,"1,781,920","71,328,400"
salt,"Jun 16, 2018",1.21,1.24,1.17,1.20,"3,018,020","71,375,500"
salt,"Jun 15, 2018",1.30,1.31,1.21,1.22,"2,299,920","77,007,200"
salt,"Jun 14, 2018",1.14,1.35,1.14,1.31,"3,270,330","67,234,200"
salt,"Jun 13, 2018",1.25,1.26,1.08,1.14,"2,855,680","73,692,300"
salt,"Jun 12, 2018",1.43,1.43,1.19,1.22,"3,670,350","84,287,500"
salt,"Jun 11, 2018",1.43,1.44,1.34,1.44,"3,266,700","84,460,000"
salt,"Jun 10, 2018",1.74,1.74,1.39,1.44,"4,330,850","102,872,000"
salt,"Jun 09, 2018",1.85,1.85,1.75,1.75,"3,549,610","109,156,000"
salt,"Jun 08, 2018",1.94,1.94,1.83,1.86,"3,312,170","114,230,000"
salt,"Jun 07, 2018",1.95,1.98,1.92,1.93,"3,230,770","114,885,000"
salt,"Jun 06, 2018",2.01,2.02,1.90,1.95,"3,900,790","118,397,000"
salt,"Jun 05, 2018",1.97,2.02,1.85,2.00,"3,080,150","116,111,000"
salt,"Jun 04, 2018",2.12,2.16,1.91,1.96,"4,286,910","124,869,000"
salt,"Jun 03, 2018",2.09,2.19,2.07,2.13,"3,711,340","123,128,000"
salt,"Jun 02, 2018",2.03,2.10,2.01,2.09,"3,582,510","119,666,000"
salt,"Jun 01, 2018",2.05,2.07,1.98,2.03,"3,302,930","120,895,000"
salt,"May 31, 2018",1.94,2.10,1.91,2.05,"4,317,130","114,167,000"
salt,"May 30, 2018",2.01,2.10,1.89,1.94,"4,140,500","118,281,000"
salt,"May 29, 2018",1.78,2.04,1.77,2.01,"3,907,470","104,716,000"
salt,"May 28, 2018",2.02,2.05,1.77,1.77,"4,257,650","119,282,000"
salt,"May 27, 2018",2.07,2.08,2.03,2.03,"3,059,890","122,285,000"
salt,"May 26, 2018",2.13,2.17,2.05,2.07,"3,629,970","125,778,000"
salt,"May 25, 2018",2.21,2.25,2.11,2.14,"3,665,840","130,175,000"
salt,"May 24, 2018",2.10,2.25,2.00,2.20,"4,655,930","123,986,000"
salt,"May 23, 2018",2.37,2.38,2.04,2.11,"5,461,060","139,544,000"
salt,"May 22, 2018",2.75,2.76,2.30,2.37,"7,221,820","161,875,000"
salt,"May 21, 2018",2.90,2.90,2.66,2.75,"5,097,120","170,817,000"
salt,"May 20, 2018",2.81,2.90,2.76,2.90,"5,263,210","165,542,000"
salt,"May 19, 2018",2.77,2.85,2.75,2.80,"4,810,950","163,202,000"
salt,"May 18, 2018",2.68,2.81,2.62,2.77,"5,031,050","157,776,000"
salt,"May 17, 2018",2.93,3.04,2.65,2.67,"5,900,510","172,443,000"
salt,"May 16, 2018",3.10,3.10,2.87,2.93,"6,260,630","182,756,000"
salt,"May 15, 2018",3.44,3.66,3.06,3.11,"11,141,900","202,467,000"
salt,"May 14, 2018",3.22,3.59,2.91,3.43,"10,412,900","189,478,000"
salt,"May 13, 2018",2.84,3.26,2.82,3.21,"8,408,720","167,059,000"
salt,"May 12, 2018",2.77,2.94,2.60,2.84,"4,870,980","162,708,000"
salt,"May 11, 2018",3.11,3.22,2.67,2.75,"7,662,620","182,655,000"
salt,"May 10, 2018",3.56,3.57,3.11,3.12,"8,517,990","209,450,000"
salt,"May 09, 2018",3.45,3.58,3.29,3.55,"7,122,390","202,717,000"
salt,"May 08, 2018",3.70,3.82,3.45,3.45,"7,353,180","217,174,000"
salt,"May 07, 2018",3.86,3.86,3.50,3.70,"8,160,500","226,200,000"
salt,"May 06, 2018",4.09,4.11,3.64,3.85,"9,860,920","239,878,000"
