Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
sativacoin,"Jul 02, 2018",0.019040,0.032464,0.018842,0.032307,229,"135,077"
sativacoin,"Jul 01, 2018",0.023543,0.023676,0.018855,0.019038,1,"167,027"
sativacoin,"Jun 30, 2018",0.022896,0.023860,0.022895,0.023538,385,"162,433"
sativacoin,"Jun 29, 2018",0.017547,0.023258,0.017347,0.022865,413,"124,483"
sativacoin,"Jun 28, 2018",0.016423,0.016619,0.015862,0.015952,559,"116,513"
sativacoin,"Jun 26, 2018",0.016745,0.016810,0.016492,0.016576,33,"118,793"
sativacoin,"Jun 25, 2018",0.017040,0.017507,0.016729,0.016745,69,"120,885"
sativacoin,"Jun 24, 2018",0.018410,0.018440,0.015863,0.017073,84,"130,605"
sativacoin,"Jun 23, 2018",0.020334,0.020702,0.018285,0.018413,194,"144,256"
sativacoin,"Jun 22, 2018",0.020507,0.020507,0.019975,0.020332,9,"145,480"
sativacoin,"Jun 21, 2018",0.019377,0.019464,0.019230,0.019286,29,"137,460"
sativacoin,"Jun 20, 2018",0.018779,0.020343,0.018310,0.019373,35,"133,218"
sativacoin,"Jun 19, 2018",0.018270,0.018788,0.018175,0.018767,118,"129,608"
sativacoin,"Jun 18, 2018",0.017294,0.018854,0.017151,0.018280,54,"122,683"
sativacoin,"Jun 17, 2018",0.018928,0.018941,0.017296,0.017353,146,"134,273"
sativacoin,"Jun 16, 2018",0.020560,0.021123,0.020524,0.020983,12,"145,849"
sativacoin,"Jun 15, 2018",0.021472,0.021602,0.020522,0.020635,27,"152,322"
sativacoin,"Jun 12, 2018",0.020790,0.020792,0.020403,0.020650,4,"147,477"
sativacoin,"Jun 11, 2018",0.021004,0.021136,0.020263,0.020801,10,"148,993"
sativacoin,"Jun 10, 2018",0.023267,0.023267,0.020667,0.020974,40,"165,046"
sativacoin,"Jun 09, 2018",0.023602,0.023686,0.023237,0.023237,12,"167,423"
sativacoin,"Jun 08, 2018",0.020478,0.023712,0.020366,0.023505,8,"145,260"
sativacoin,"Jun 07, 2018",0.023353,0.023632,0.019106,0.020462,77,"165,657"
sativacoin,"Jun 06, 2018",0.027446,0.027623,0.022878,0.023332,4,"194,689"
