Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
securecoin,"Jul 02, 2018",0.018342,0.018354,0.015686,0.017309,492,"160,531"
securecoin,"Jul 01, 2018",0.018038,0.018497,0.017881,0.018340,140,"157,757"
securecoin,"Jun 30, 2018",0.016749,0.018686,0.016748,0.018034,583,"146,352"
securecoin,"Jun 29, 2018",0.015547,0.016837,0.015428,0.016726,147,"135,754"
securecoin,"Jun 28, 2018",0.016772,0.017721,0.015450,0.015537,160,"146,337"
securecoin,"Jun 27, 2018",0.016113,0.017527,0.015998,0.016766,146,"140,466"
securecoin,"Jun 26, 2018",0.016032,0.016473,0.015839,0.016119,107,"139,659"
securecoin,"Jun 25, 2018",0.017160,0.017216,0.015068,0.016032,148,"149,367"
securecoin,"Jun 24, 2018",0.017328,0.017582,0.016234,0.017193,116,"150,719"
securecoin,"Jun 23, 2018",0.020092,0.020337,0.017325,0.017331,103,"174,617"
securecoin,"Jun 22, 2018",0.022024,0.022960,0.019737,0.020090,161,"191,248"
securecoin,"Jun 21, 2018",0.022077,0.023212,0.021829,0.022048,182,"191,507"
securecoin,"Jun 20, 2018",0.021751,0.022082,0.020879,0.022073,141,"188,553"
securecoin,"Jun 19, 2018",0.020998,0.021762,0.020889,0.021738,175,"181,880"
securecoin,"Jun 18, 2018",0.019763,0.021160,0.018239,0.021010,651,"171,039"
securecoin,"Jun 17, 2018",0.019714,0.020215,0.019579,0.019831,86,"170,523"
securecoin,"Jun 16, 2018",0.019523,0.019851,0.019217,0.019662,31,"168,841"
securecoin,"Jun 15, 2018",0.020264,0.020905,0.019487,0.019595,137,"175,166"
securecoin,"Jun 14, 2018",0.019274,0.020393,0.019235,0.020297,32,"166,579"
securecoin,"Jun 13, 2018",0.019946,0.020133,0.018858,0.019283,126,"172,231"
securecoin,"Jun 12, 2018",0.022178,0.022178,0.019648,0.019895,128,"191,366"
securecoin,"Jun 11, 2018",0.022624,0.022975,0.021725,0.022190,77,"195,101"
securecoin,"Jun 10, 2018",0.025596,0.025596,0.022231,0.022591,43,"220,711"
securecoin,"Jun 09, 2018",0.025890,0.028449,0.025564,0.025564,77,"223,236"
securecoin,"Jun 08, 2018",0.027043,0.028414,0.025901,0.025901,173,"233,166"
securecoin,"Jun 07, 2018",0.027257,0.027309,0.025516,0.027022,135,"235,010"
securecoin,"Jun 06, 2018",0.025769,0.027355,0.023627,0.027232,242,"222,171"
securecoin,"Jun 05, 2018",0.026708,0.026737,0.024949,0.025776,134,"230,264"
securecoin,"Jun 04, 2018",0.027058,0.027131,0.026391,0.026695,4,"233,276"
securecoin,"Jun 03, 2018",0.027218,0.027240,0.026679,0.027046,14,"234,644"
securecoin,"Jun 02, 2018",0.026567,0.027232,0.026418,0.027095,60,"229,037"
securecoin,"Jun 01, 2018",0.027445,0.028584,0.025329,0.026579,132,"236,604"
securecoin,"May 31, 2018",0.028719,0.028719,0.026742,0.027425,98,"247,580"
securecoin,"May 30, 2018",0.026275,0.028971,0.026242,0.028724,69,"226,511"
securecoin,"May 29, 2018",0.024274,0.030505,0.024141,0.026258,74,"209,258"
securecoin,"May 28, 2018",0.024780,0.024780,0.024208,0.024282,71,"213,618"
securecoin,"May 26, 2018",0.025092,0.025614,0.024833,0.025278,8,"216,309"
securecoin,"May 25, 2018",0.028566,0.029111,0.024805,0.025125,84,"246,254"
securecoin,"May 24, 2018",0.024814,0.028710,0.023939,0.028512,226,"213,914"
securecoin,"May 23, 2018",0.026222,0.026284,0.024656,0.024877,23,"226,050"
securecoin,"May 22, 2018",0.027661,0.027682,0.026888,0.027079,2,"238,452"
securecoin,"May 21, 2018",0.029675,0.029697,0.027427,0.027666,11,"255,811"
securecoin,"May 20, 2018",0.026259,0.029868,0.024773,0.029638,38,"226,353"
securecoin,"May 19, 2018",0.026394,0.026693,0.026146,0.026239,58,"227,520"
securecoin,"May 18, 2018",0.027205,0.028354,0.026268,0.026398,124,"234,507"
securecoin,"May 17, 2018",0.026407,0.027991,0.025797,0.027181,16,"227,629"
securecoin,"May 16, 2018",0.026167,0.028625,0.025221,0.026391,416,"225,330"
securecoin,"May 15, 2018",0.029619,0.030079,0.025951,0.026182,203,"254,801"
securecoin,"May 14, 2018",0.030590,0.031353,0.025145,0.029670,860,"262,973"
securecoin,"May 13, 2018",0.030907,0.049707,0.030422,0.030596,"2,709","265,611"
securecoin,"May 12, 2018",0.031219,0.032982,0.029937,0.030918,208,"268,156"
securecoin,"May 11, 2018",0.036772,0.036772,0.031164,0.031311,157,"315,774"
securecoin,"May 10, 2018",0.036612,0.039411,0.035684,0.036728,430,"314,145"
securecoin,"May 09, 2018",0.035140,0.040893,0.034908,0.036622,468,"301,348"
securecoin,"May 08, 2018",0.036062,0.038400,0.034656,0.035194,304,"309,237"
securecoin,"May 07, 2018",0.038935,0.038955,0.035287,0.035986,86,"333,868"
securecoin,"May 06, 2018",0.039761,0.040131,0.036991,0.038907,204,"340,944"
securecoin,"May 05, 2018",0.038075,0.040541,0.037805,0.039734,98,"326,466"
