Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
seele,"Jul 02, 2018",0.210981,0.219600,0.195083,0.210616,"5,250,010",-
seele,"Jul 01, 2018",0.213113,0.221129,0.202160,0.210870,"5,644,210",-
seele,"Jun 30, 2018",0.194540,0.216928,0.192107,0.210813,"5,954,200",-
seele,"Jun 29, 2018",0.192552,0.200119,0.171915,0.195031,"5,045,160",-
seele,"Jun 28, 2018",0.219416,0.220726,0.190756,0.192341,"5,433,620",-
seele,"Jun 27, 2018",0.205981,0.220521,0.198096,0.219459,"5,933,940",-
seele,"Jun 26, 2018",0.217290,0.237677,0.199820,0.206279,"6,117,230",-
seele,"Jun 25, 2018",0.206088,0.218845,0.191535,0.216691,"4,421,690",-
seele,"Jun 24, 2018",0.214590,0.216818,0.182794,0.206239,"4,124,640",-
seele,"Jun 23, 2018",0.217428,0.223342,0.200512,0.214653,"4,019,840",-
seele,"Jun 22, 2018",0.260725,0.261114,0.212558,0.217592,"4,663,720",-
seele,"Jun 21, 2018",0.272083,0.272297,0.253500,0.260735,"3,800,850",-
seele,"Jun 20, 2018",0.269606,0.277459,0.260295,0.272002,"3,909,120",-
seele,"Jun 19, 2018",0.266080,0.274986,0.234650,0.269640,"5,029,130",-
seele,"Jun 18, 2018",0.260710,0.269933,0.251377,0.266231,"3,928,790",-
seele,"Jun 17, 2018",0.266457,0.270774,0.257910,0.261237,"4,144,940",-
seele,"Jun 16, 2018",0.256092,0.273275,0.253358,0.266046,"4,790,990",-
seele,"Jun 15, 2018",0.271315,0.281043,0.254040,0.256935,"5,793,530",-
seele,"Jun 14, 2018",0.210847,0.281316,0.210847,0.271583,"8,178,770",-
seele,"Jun 13, 2018",0.235233,0.246973,0.202580,0.210659,"6,680,140",-
seele,"Jun 12, 2018",0.226034,0.255566,0.221531,0.234441,"7,970,720",-
seele,"Jun 11, 2018",0.233030,0.236074,0.213313,0.226052,"6,517,570",-
seele,"Jun 10, 2018",0.263001,0.263001,0.229680,0.232657,"324,901",-
seele,"Jun 09, 2018",0.266139,0.273574,0.259459,0.262568,"396,929",-
seele,"Jun 08, 2018",0.268257,0.280851,0.260658,0.266109,"309,677",-
seele,"Jun 07, 2018",0.274738,0.278948,0.258987,0.267833,"276,007",-
seele,"Jun 06, 2018",0.292264,0.303227,0.271224,0.274747,"198,552",-
seele,"Jun 05, 2018",0.285637,0.326348,0.278314,0.292765,"1,129,270",-
seele,"Jun 04, 2018",0.255573,0.284337,0.231965,0.284337,"1,122,020",-
seele,"Jun 03, 2018",0.261304,0.469941,0.238286,0.249724,"661,166",-
seele,"Jun 02, 2018",0.289085,0.305057,0.261816,0.261816,"673,281",-
seele,"Jun 01, 2018",0.301898,0.302543,0.272104,0.291825,"1,309,750",-
seele,"May 31, 2018",0.303639,0.314178,0.292912,0.301319,"1,750,560",-
