Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
selfsell,"Jul 02, 2018",0.039600,0.043540,0.038613,0.041267,"400,137","15,444,200"
selfsell,"Jul 01, 2018",0.037919,0.041338,0.037406,0.039552,"400,900","14,788,200"
selfsell,"Jun 30, 2018",0.037282,0.039405,0.037232,0.037904,"308,299","14,539,800"
selfsell,"Jun 29, 2018",0.036513,0.037641,0.034675,0.037249,"281,912","14,240,300"
selfsell,"Jun 28, 2018",0.038307,0.038307,0.036493,0.036493,"253,647","14,939,900"
selfsell,"Jun 27, 2018",0.036495,0.038556,0.036091,0.038194,"305,504","14,233,000"
selfsell,"Jun 26, 2018",0.038305,0.038368,0.036462,0.036521,"283,306","14,939,100"
selfsell,"Jun 25, 2018",0.038340,0.039679,0.037219,0.038305,"317,921","14,952,500"
selfsell,"Jun 24, 2018",0.039817,0.039850,0.035811,0.038386,"358,987","15,528,700"
selfsell,"Jun 23, 2018",0.039581,0.040445,0.037248,0.039887,"377,629","15,436,600"
selfsell,"Jun 22, 2018",0.045795,0.045795,0.038722,0.039498,"355,442","17,860,200"
selfsell,"Jun 21, 2018",0.046735,0.046906,0.045672,0.045759,"349,879","18,226,700"
selfsell,"Jun 20, 2018",0.046030,0.047106,0.043597,0.046636,"414,878","17,951,700"
selfsell,"Jun 19, 2018",0.044992,0.047539,0.044428,0.046013,"555,546","17,546,900"
selfsell,"Jun 18, 2018",0.045283,0.045720,0.043291,0.045074,"324,960","17,660,400"
selfsell,"Jun 17, 2018",0.045505,0.045876,0.043533,0.045327,"375,395","17,747,200"
selfsell,"Jun 16, 2018",0.043412,0.045955,0.042032,0.045390,"386,044","16,930,700"
selfsell,"Jun 15, 2018",0.046296,0.047638,0.043304,0.043601,"367,316","18,055,600"
selfsell,"Jun 14, 2018",0.041658,0.046411,0.041156,0.046368,"498,573","16,246,500"
selfsell,"Jun 13, 2018",0.045485,0.045498,0.040294,0.041535,"383,488","17,739,100"
selfsell,"Jun 12, 2018",0.051494,0.051494,0.043212,0.045391,"562,159","20,082,800"
selfsell,"Jun 11, 2018",0.041596,0.052010,0.041403,0.052010,"573,612","16,222,300"
selfsell,"Jun 10, 2018",0.053885,0.053885,0.041943,0.041943,"709,031","21,015,300"
selfsell,"Jun 09, 2018",0.058680,0.060213,0.053320,0.053930,"919,235","22,885,200"
selfsell,"Jun 08, 2018",0.062209,0.064738,0.058176,0.058660,"616,363","24,261,600"
selfsell,"Jun 07, 2018",0.062757,0.065890,0.061857,0.062155,"493,977","24,475,200"
selfsell,"Jun 06, 2018",0.067932,0.069157,0.061352,0.062731,"503,486","26,493,600"
selfsell,"Jun 05, 2018",0.070738,0.071032,0.062585,0.068019,"464,340","27,587,900"
selfsell,"Jun 04, 2018",0.074848,0.075296,0.066512,0.070656,"601,304","29,190,800"
selfsell,"Jun 03, 2018",0.069753,0.078664,0.068981,0.075258,"806,972","27,203,700"
selfsell,"Jun 02, 2018",0.070112,0.071028,0.067699,0.069657,"646,161","27,343,700"
selfsell,"Jun 01, 2018",0.071225,0.072720,0.067435,0.069994,"531,710","27,777,900"
selfsell,"May 31, 2018",0.071086,0.073830,0.069958,0.071099,"572,785","27,723,700"
selfsell,"May 30, 2018",0.074766,0.077470,0.069997,0.071119,"571,321","29,158,900"
selfsell,"May 29, 2018",0.071884,0.077448,0.071339,0.074730,"634,224","28,034,900"
selfsell,"May 28, 2018",0.079852,0.080752,0.071747,0.071983,"687,209","31,142,200"
selfsell,"May 27, 2018",0.076633,0.084475,0.070960,0.079843,"1,493,690","29,886,900"
selfsell,"May 26, 2018",0.081161,0.082813,0.075873,0.076583,"730,016","31,652,700"
selfsell,"May 25, 2018",0.080532,0.082679,0.077688,0.081169,"786,351","31,407,600"
selfsell,"May 24, 2018",0.073243,0.083635,0.070922,0.080451,"922,870","28,564,800"
selfsell,"May 23, 2018",0.087823,0.089001,0.067603,0.073020,"1,193,620","34,250,800"
selfsell,"May 22, 2018",0.085482,0.100293,0.080135,0.089189,"1,754,800","33,338,000"
selfsell,"May 21, 2018",0.095741,0.095783,0.084399,0.085196,"1,050,980","37,338,800"
selfsell,"May 20, 2018",0.098244,0.098749,0.091979,0.095674,"1,144,020","38,315,200"
selfsell,"May 19, 2018",0.113792,0.117993,0.091165,0.097926,"2,510,310","44,378,800"
selfsell,"May 18, 2018",0.106877,0.118918,0.103967,0.114044,"2,589,130","41,682,100"
selfsell,"May 17, 2018",0.092379,0.114965,0.090605,0.107490,"3,715,900",-
selfsell,"May 16, 2018",0.084127,0.093420,0.077702,0.093420,"1,866,990",-
selfsell,"May 15, 2018",0.064784,0.095759,0.064260,0.080397,"2,281,650",-
selfsell,"May 14, 2018",0.062491,0.067977,0.058088,0.064930,"778,280",-
selfsell,"May 13, 2018",0.058658,0.063895,0.056812,0.062518,"440,654",-
selfsell,"May 12, 2018",0.060739,0.061659,0.052605,0.058710,"616,441",-
selfsell,"May 11, 2018",0.070992,0.071246,0.059524,0.060808,"1,042,770",-
selfsell,"May 10, 2018",0.079992,0.080486,0.072545,0.072545,"616,915",-
selfsell,"May 09, 2018",0.074798,0.081461,0.071977,0.079782,"739,076",-
selfsell,"May 08, 2018",0.068903,0.075459,0.068903,0.074889,"767,494",-
selfsell,"May 07, 2018",0.073364,0.074329,0.066294,0.068710,"685,262",-
selfsell,"May 06, 2018",0.084758,0.087292,0.069596,0.073671,"1,057,360",-
selfsell,"May 05, 2018",0.075958,0.087777,0.075958,0.084735,"1,294,340",-
selfsell,"May 04, 2018",0.083410,0.085619,0.073544,0.075557,"1,237,940",-
selfsell,"May 03, 2018",0.064527,0.084703,0.064527,0.082746,"2,053,590",-
selfsell,"May 02, 2018",0.059312,0.064620,0.057729,0.064620,"1,030,090",-
selfsell,"May 01, 2018",0.059826,0.060477,0.056261,0.059455,"1,017,950",-
selfsell,"Apr 30, 2018",0.062413,0.063085,0.059776,0.059818,"1,113,830",-
selfsell,"Apr 29, 2018",0.061370,0.067828,0.056920,0.062327,"1,592,560",-
selfsell,"Apr 28, 2018",0.059485,0.062913,0.058897,0.061378,"1,203,580",-
selfsell,"Apr 27, 2018",0.061158,0.061378,0.058536,0.058536,"931,481",-
selfsell,"Apr 26, 2018",0.057542,0.062827,0.053927,0.061332,"1,144,960",-
selfsell,"Apr 25, 2018",0.070344,0.070344,0.055145,0.056865,"1,353,930",-
selfsell,"Apr 24, 2018",0.064814,0.071953,0.064814,0.070615,"1,703,520",-
selfsell,"Apr 23, 2018",0.065875,0.068792,0.062866,0.064777,"1,214,230",-
selfsell,"Apr 22, 2018",0.062491,0.071024,0.060708,0.066448,"1,131,040",-
selfsell,"Apr 21, 2018",0.067216,0.067932,0.059152,0.062464,"1,149,800",-
selfsell,"Apr 20, 2018",0.060856,0.068238,0.060737,0.068238,"1,647,610",-
selfsell,"Apr 19, 2018",0.046850,0.066099,0.046686,0.060949,"1,629,920",-
selfsell,"Apr 18, 2018",0.045499,0.047054,0.044845,0.046816,"605,470",-
selfsell,"Apr 17, 2018",0.047170,0.047199,0.045111,0.045423,"676,440",-
selfsell,"Apr 16, 2018",0.049536,0.049871,0.046742,0.047216,"604,495",-
selfsell,"Apr 15, 2018",0.046949,0.049651,0.046949,0.049533,"596,988",-
selfsell,"Apr 14, 2018",0.049511,0.050014,0.045991,0.046874,"608,732",-
selfsell,"Apr 13, 2018",0.048170,0.052637,0.047316,0.049663,"810,097",-
selfsell,"Apr 12, 2018",0.045153,0.051327,0.041435,0.048003,"907,658",-
selfsell,"Apr 11, 2018",0.040636,0.045817,0.039434,0.045408,"749,678",-
selfsell,"Apr 10, 2018",0.039394,0.040552,0.038493,0.040519,"515,215",-
selfsell,"Apr 09, 2018",0.040945,0.041544,0.038438,0.039385,"532,639",-
selfsell,"Apr 08, 2018",0.038351,0.042649,0.038343,0.041775,"547,088",-
selfsell,"Apr 07, 2018",0.036490,0.039384,0.036465,0.038276,"471,598",-
selfsell,"Apr 06, 2018",0.037836,0.038063,0.035890,0.036507,"475,286",-
selfsell,"Apr 05, 2018",0.036571,0.038273,0.036054,0.037953,"523,967",-
selfsell,"Apr 04, 2018",0.037435,0.039351,0.035926,0.036346,"510,453",-
selfsell,"Apr 03, 2018",0.039203,0.040146,0.036198,0.037449,"534,986",-
selfsell,"Apr 02, 2018",0.034799,0.039521,0.034542,0.039083,"530,600",-
selfsell,"Apr 01, 2018",0.035631,0.036347,0.033355,0.034670,"488,345",-
selfsell,"Mar 31, 2018",0.038186,0.040774,0.035526,0.035628,"450,593",-
selfsell,"Mar 30, 2018",0.038134,0.039137,0.035808,0.038193,"536,238",-
selfsell,"Mar 29, 2018",0.042479,0.044506,0.038058,0.038058,"559,074",-
