Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
sense,"Jul 02, 2018",0.020027,0.021456,0.019896,0.021255,"3,862","3,186,540"
sense,"Jul 01, 2018",0.021398,0.021526,0.019881,0.020043,"4,346","3,404,730"
sense,"Jun 30, 2018",0.019454,0.020774,0.019454,0.020291,678,"3,095,400"
sense,"Jun 29, 2018",0.019610,0.019793,0.016923,0.019574,"36,920","3,120,160"
sense,"Jun 28, 2018",0.036992,0.037199,0.010507,0.019581,"195,751","5,885,830"
sense,"Jun 27, 2018",0.039297,0.039820,0.033405,0.036946,"1,046","5,990,640"
sense,"Jun 26, 2018",0.034232,0.044158,0.033806,0.039300,"10,768","5,218,480"
sense,"Jun 25, 2018",0.028088,0.033457,0.027974,0.033037,"1,626","4,281,820"
sense,"Jun 24, 2018",0.029644,0.029720,0.026044,0.027994,"1,282","4,519,160"
sense,"Jun 23, 2018",0.030318,0.030883,0.028934,0.029672,"4,095","4,621,900"
sense,"Jun 22, 2018",0.023850,0.037478,0.023557,0.030367,"11,958","3,556,320"
sense,"Jun 21, 2018",0.024571,0.024782,0.023349,0.023851,"3,192","3,172,420"
sense,"Jun 20, 2018",0.024152,0.024849,0.023408,0.024550,"1,031","3,118,250"
sense,"Jun 19, 2018",0.017438,0.024664,0.017019,0.024125,"38,971","2,251,480"
sense,"Jun 18, 2018",0.017111,0.017533,0.016618,0.017416,981,"2,209,250"
sense,"Jun 17, 2018",0.017117,0.017453,0.017091,0.017130,86,"2,210,020"
sense,"Jun 16, 2018",0.017361,0.017389,0.017093,0.017128,894,"2,241,480"
sense,"Jun 15, 2018",0.018021,0.018066,0.017151,0.017793,51,"2,326,640"
sense,"Jun 14, 2018",0.016528,0.018286,0.016376,0.017993,564,"2,133,870"
sense,"Jun 13, 2018",0.017392,0.017541,0.015883,0.016473,85,"2,245,490"
sense,"Jun 12, 2018",0.017812,0.018402,0.017243,0.017323,"5,403","2,299,710"
sense,"Jun 11, 2018",0.018214,0.018646,0.016993,0.017739,"9,470","2,351,550"
sense,"Jun 10, 2018",0.022214,0.022214,0.017738,0.018219,"1,203","2,868,090"
sense,"Jun 09, 2018",0.021025,0.023918,0.014591,0.022269,"7,001","2,714,570"
sense,"Jun 08, 2018",0.020854,0.021789,0.020811,0.021036,"4,680","2,692,510"
sense,"Jun 07, 2018",0.022659,0.024280,0.020784,0.020887,"4,961","2,925,540"
sense,"Jun 06, 2018",0.020642,0.027041,0.020528,0.022663,"2,113","2,665,030"
sense,"Jun 05, 2018",0.021566,0.021732,0.020493,0.020629,216,"2,784,380"
sense,"Jun 04, 2018",0.021232,0.021648,0.020022,0.021568,66,"2,741,310"
sense,"Jun 03, 2018",0.021246,0.021246,0.021246,0.021246,510,"2,743,020"
sense,"Jun 02, 2018",0.019921,0.020536,0.019792,0.020416,58,"2,572,050"
sense,"Jun 01, 2018",0.019328,0.020154,0.019328,0.019950,"1,744","2,495,480"
sense,"May 31, 2018",0.018492,0.019634,0.018291,0.019318,626,"2,387,450"
sense,"May 30, 2018",0.018688,0.019301,0.018060,0.018477,218,"2,405,830"
sense,"May 29, 2018",0.015992,0.018700,0.015987,0.018700,93,"2,058,680"
sense,"May 28, 2018",0.017735,0.017912,0.016009,0.016009,155,"2,283,130"
sense,"May 27, 2018",0.018514,0.018597,0.016441,0.017724,468,"2,383,400"
sense,"May 26, 2018",0.018479,0.019147,0.018350,0.018501,107,"2,378,930"
sense,"May 25, 2018",0.019070,0.019172,0.018060,0.018332,464,"2,454,940"
sense,"May 24, 2018",0.018362,0.019179,0.017413,0.019068,190,"2,363,840"
sense,"May 23, 2018",0.019767,0.019896,0.017122,0.018347,45,"2,544,670"
sense,"May 22, 2018",0.022506,0.022527,0.019771,0.019803,314,"2,897,310"
sense,"May 21, 2018",0.023158,0.023444,0.022276,0.022475,"1,380","2,981,230"
sense,"May 20, 2018",0.023620,0.024251,0.022834,0.023167,"5,651","3,040,670"
sense,"May 19, 2018",0.023426,0.024172,0.023148,0.023600,65,"3,015,780"
sense,"May 18, 2018",0.022028,0.023449,0.021705,0.023423,"4,275","2,835,790"
sense,"May 17, 2018",0.023208,0.023701,0.021903,0.022019,275,"2,987,670"
sense,"May 16, 2018",0.023214,0.023286,0.022234,0.023154,763,"2,988,510"
sense,"May 15, 2018",0.024218,0.024491,0.022885,0.023258,51,"3,117,690"
sense,"May 14, 2018",0.028717,0.028717,0.023051,0.024224,864,"3,696,840"
sense,"May 13, 2018",0.023081,0.029025,0.021913,0.028739,"1,446","2,971,380"
sense,"May 12, 2018",0.025761,0.026051,0.020922,0.023062,"10,978","3,316,340"
sense,"May 11, 2018",0.024901,0.025869,0.015163,0.025805,512,"3,205,650"
sense,"May 10, 2018",0.026062,0.026736,0.025010,0.025010,"1,020","3,271,990"
sense,"May 09, 2018",0.026246,0.026246,0.024843,0.026037,"1,831","3,295,120"
sense,"May 08, 2018",0.025534,0.026662,0.025023,0.026349,"2,494","3,205,750"
sense,"May 07, 2018",0.027072,0.027212,0.024129,0.025532,"1,015","3,398,810"
sense,"May 06, 2018",0.028326,0.028815,0.026318,0.027061,"2,615","3,556,240"
sense,"May 05, 2018",0.026668,0.028472,0.026600,0.028339,"1,057","3,348,130"
sense,"May 04, 2018",0.026375,0.027152,0.025499,0.026692,"4,062","3,311,280"
sense,"May 03, 2018",0.021388,0.026677,0.021388,0.026386,"17,538","2,685,190"
sense,"May 02, 2018",0.020764,0.021434,0.020490,0.021382,203,"2,606,830"
sense,"May 01, 2018",0.021003,0.021056,0.019735,0.020725,"3,185","2,636,890"
sense,"Apr 30, 2018",0.022845,0.022920,0.020951,0.021013,"4,015","2,868,160"
sense,"Apr 29, 2018",0.022162,0.023751,0.022152,0.022803,"7,930","2,782,430"
sense,"Apr 28, 2018",0.020668,0.022447,0.020511,0.022159,693,"2,594,850"
sense,"Apr 27, 2018",0.021154,0.021871,0.020657,0.020774,402,"2,655,860"
sense,"Apr 26, 2018",0.019416,0.021216,0.019085,0.021216,"7,531","2,437,620"
sense,"Apr 25, 2018",0.023150,0.023150,0.019099,0.019421,"3,629","2,906,440"
