Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
sharpe-platform-token,"Jul 02, 2018",0.134717,0.168354,0.133862,0.166776,510,"2,314,460"
sharpe-platform-token,"Jul 01, 2018",0.134879,0.135636,0.132822,0.134616,166,"2,317,240"
sharpe-platform-token,"Jun 30, 2018",0.151585,0.161123,0.132947,0.134745,34,"2,604,250"
sharpe-platform-token,"Jun 29, 2018",0.110320,0.187511,0.103516,0.151684,"84,873","1,895,310"
sharpe-platform-token,"Jun 28, 2018",0.113376,0.115049,0.107011,0.110466,"3,286","1,947,820"
sharpe-platform-token,"Jun 27, 2018",0.143244,0.146162,0.102172,0.113236,"48,691","2,460,950"
sharpe-platform-token,"Jun 26, 2018",0.164079,0.164185,0.134932,0.143301,"20,276","2,818,910"
sharpe-platform-token,"Jun 25, 2018",0.152526,0.164946,0.150189,0.164079,"3,939","2,620,420"
sharpe-platform-token,"Jun 24, 2018",0.180367,0.180803,0.142249,0.152020,"9,586","3,098,730"
sharpe-platform-token,"Jun 23, 2018",0.187733,0.190781,0.174704,0.180525,"5,032","3,225,290"
sharpe-platform-token,"Jun 22, 2018",0.208139,0.208648,0.181084,0.188038,"21,096","3,575,870"
sharpe-platform-token,"Jun 21, 2018",0.212479,0.239824,0.207226,0.208143,"25,096","3,650,420"
sharpe-platform-token,"Jun 20, 2018",0.189618,0.228405,0.175731,0.212357,"34,188","3,257,670"
sharpe-platform-token,"Jun 19, 2018",0.182484,0.191737,0.179383,0.189412,"2,005","3,135,100"
sharpe-platform-token,"Jun 18, 2018",0.180575,0.182327,0.171542,0.182327,196,"3,102,300"
sharpe-platform-token,"Jun 17, 2018",0.176091,0.182648,0.176091,0.180770,"2,083","3,025,270"
sharpe-platform-token,"Jun 16, 2018",0.173536,0.178255,0.172397,0.176200,"1,606","2,981,380"
sharpe-platform-token,"Jun 15, 2018",0.174681,0.182795,0.161893,0.173333,"10,807","3,001,040"
sharpe-platform-token,"Jun 14, 2018",0.158302,0.176773,0.157277,0.174491,"4,253","2,719,640"
sharpe-platform-token,"Jun 13, 2018",0.169553,0.174870,0.151852,0.157794,"10,893","2,912,950"
sharpe-platform-token,"Jun 12, 2018",0.189544,0.198101,0.167116,0.168881,"3,298","3,256,400"
sharpe-platform-token,"Jun 11, 2018",0.190437,0.195732,0.170818,0.189061,"4,414","3,271,740"
sharpe-platform-token,"Jun 10, 2018",0.212400,0.212755,0.185151,0.190390,"8,852","3,649,060"
sharpe-platform-token,"Jun 09, 2018",0.205689,0.216408,0.188525,0.213586,"14,990","3,533,770"
sharpe-platform-token,"Jun 08, 2018",0.208864,0.239913,0.195040,0.205726,"17,368","3,588,310"
sharpe-platform-token,"Jun 07, 2018",0.226912,0.231722,0.208063,0.209038,"6,292","3,784,930"
sharpe-platform-token,"Jun 06, 2018",0.213741,0.229757,0.199124,0.226965,"7,989","3,565,230"
sharpe-platform-token,"Jun 05, 2018",0.221319,0.222821,0.206466,0.213696,"3,746","3,691,630"
sharpe-platform-token,"Jun 04, 2018",0.227597,0.230183,0.212618,0.221350,"7,389","3,796,360"
sharpe-platform-token,"Jun 03, 2018",0.194365,0.232567,0.194057,0.227818,"2,948","3,242,040"
sharpe-platform-token,"Jun 02, 2018",0.201410,0.201913,0.179272,0.194689,"8,009","3,359,550"
sharpe-platform-token,"Jun 01, 2018",0.176390,0.201730,0.174230,0.201604,"1,316","2,942,220"
sharpe-platform-token,"May 31, 2018",0.192578,0.202224,0.172360,0.176058,"2,452","3,212,240"
sharpe-platform-token,"May 30, 2018",0.203149,0.209814,0.180899,0.192579,118,"3,388,550"
sharpe-platform-token,"May 29, 2018",0.169992,0.205613,0.169886,0.203273,117,"2,835,500"
sharpe-platform-token,"May 28, 2018",0.195830,0.196511,0.168713,0.170454,"3,295","3,266,460"
sharpe-platform-token,"May 27, 2018",0.201511,0.202578,0.192650,0.195674,222,"3,361,240"
sharpe-platform-token,"May 26, 2018",0.208078,0.256249,0.200638,0.201372,"4,377","3,470,770"
sharpe-platform-token,"May 25, 2018",0.180809,0.290086,0.179831,0.206497,"141,476","3,015,920"
sharpe-platform-token,"May 24, 2018",0.177049,0.184914,0.168333,0.180710,240,"2,953,210"
sharpe-platform-token,"May 23, 2018",0.197188,0.198403,0.171255,0.176907,578,"3,289,130"
sharpe-platform-token,"May 22, 2018",0.213018,0.226191,0.196526,0.197532,"2,313","3,553,170"
sharpe-platform-token,"May 21, 2018",0.238981,0.240075,0.183663,0.225872,"3,348","3,986,230"
sharpe-platform-token,"May 20, 2018",0.246934,0.247307,0.212257,0.238801,"4,058","4,118,890"
sharpe-platform-token,"May 19, 2018",0.228522,0.247445,0.221569,0.223118,619,"3,811,770"
sharpe-platform-token,"May 18, 2018",0.204360,0.228724,0.204360,0.228491,"5,882","3,408,750"
sharpe-platform-token,"May 17, 2018",0.284128,0.287625,0.201862,0.203016,"40,234","4,739,300"
sharpe-platform-token,"May 16, 2018",0.237812,0.309371,0.227903,0.283666,"49,965","3,859,730"
sharpe-platform-token,"May 15, 2018",0.234468,0.249087,0.227984,0.238199,"13,540","3,805,440"
