Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
shipchain,"Jul 02, 2018",0.037692,0.039561,0.035790,0.039322,598,"6,874,190"
shipchain,"Jul 01, 2018",0.034500,0.037854,0.033097,0.037673,"2,196","6,292,020"
shipchain,"Jun 30, 2018",0.036785,0.040103,0.033742,0.034471,"4,441","6,708,790"
shipchain,"Jun 29, 2018",0.030334,0.037063,0.029959,0.036741,556,"5,529,790"
shipchain,"Jun 28, 2018",0.031908,0.037472,0.030142,0.030322,"5,360","5,816,660"
shipchain,"Jun 27, 2018",0.033339,0.034371,0.031035,0.031865,"4,987","6,077,500"
shipchain,"Jun 26, 2018",0.035809,0.035912,0.031256,0.033396,"1,402","6,527,870"
shipchain,"Jun 25, 2018",0.035265,0.037673,0.032856,0.035809,"1,611","6,428,630"
shipchain,"Jun 24, 2018",0.036834,0.036941,0.030469,0.035375,"6,436","6,714,590"
shipchain,"Jun 23, 2018",0.032684,0.037475,0.032385,0.036843,"5,169","5,958,150"
shipchain,"Jun 22, 2018",0.038509,0.038513,0.031982,0.032666,"12,482","7,019,930"
shipchain,"Jun 21, 2018",0.042401,0.042760,0.037458,0.038523,"12,961","7,722,810"
shipchain,"Jun 20, 2018",0.042963,0.051923,0.040314,0.042423,"16,149","7,825,140"
shipchain,"Jun 19, 2018",0.041019,0.043731,0.040532,0.042936,"8,634","7,471,040"
shipchain,"Jun 18, 2018",0.040553,0.043055,0.038336,0.041043,"11,459","7,386,220"
shipchain,"Jun 17, 2018",0.040753,0.043460,0.040504,0.040607,"4,148","7,430,190"
shipchain,"Jun 16, 2018",0.044959,0.048780,0.039878,0.040736,"8,984","8,197,060"
shipchain,"Jun 15, 2018",0.052617,0.052828,0.041122,0.045088,"13,928","9,588,260"
shipchain,"Jun 14, 2018",0.038180,0.070794,0.035355,0.052628,"51,253","6,957,440"
shipchain,"Jun 13, 2018",0.033665,0.039001,0.031400,0.038151,"17,589","6,134,590"
shipchain,"Jun 12, 2018",0.036087,0.043913,0.032991,0.033536,"38,994","6,572,330"
shipchain,"Jun 11, 2018",0.035261,0.040275,0.033589,0.036082,"11,401","6,421,500"
shipchain,"Jun 10, 2018",0.045244,0.045244,0.034088,0.035201,"22,143","8,059,950"
shipchain,"Jun 09, 2018",0.045058,0.047915,0.043095,0.045165,"23,852","8,026,810"
shipchain,"Jun 08, 2018",0.046110,0.047438,0.044035,0.045040,"9,631","8,214,220"
shipchain,"Jun 07, 2018",0.044214,0.051422,0.043743,0.046035,"7,545","7,876,420"
shipchain,"Jun 06, 2018",0.045383,0.053491,0.041922,0.044248,"33,510","8,084,750"
shipchain,"Jun 05, 2018",0.049976,0.049976,0.043390,0.045468,"45,994","8,902,930"
shipchain,"Jun 04, 2018",0.052541,0.055256,0.049718,0.051706,"297,213","8,968,260"
shipchain,"Jun 03, 2018",0.049664,0.055834,0.049580,0.052582,"12,492","8,477,170"
shipchain,"Jun 02, 2018",0.048081,0.055403,0.043321,0.049723,"77,966","8,207,040"
shipchain,"Jun 01, 2018",0.065099,0.065751,0.038951,0.048095,"184,534","11,109,600"
shipchain,"May 31, 2018",0.074459,0.076608,0.063041,0.064926,"22,893","12,706,900"
shipchain,"May 30, 2018",0.078429,0.082143,0.064777,0.074529,"49,765","13,384,500"
shipchain,"May 29, 2018",0.055865,0.084717,0.052553,0.078381,"107,379","9,533,830"
shipchain,"May 28, 2018",0.069230,0.069759,0.053698,0.055987,"14,393","11,814,600"
shipchain,"May 27, 2018",0.073301,0.073311,0.060670,0.069232,"41,311","12,509,400"
shipchain,"May 26, 2018",0.070990,0.084952,0.067507,0.073172,"36,480","12,115,000"
shipchain,"May 25, 2018",0.080783,0.090979,0.068149,0.070996,"185,698","13,786,200"
shipchain,"May 24, 2018",0.056704,0.080932,0.054062,0.079878,"213,492","9,676,870"
shipchain,"May 23, 2018",0.067834,0.069371,0.051344,0.056916,"487,372","11,576,300"
shipchain,"May 22, 2018",0.106059,0.112912,0.053905,0.068356,"643,913","18,090,200"
shipchain,"May 21, 2018",0.112076,0.127650,0.105036,0.106196,"386,482","19,113,800"
shipchain,"May 20, 2018",0.109259,0.117225,0.108467,0.111933,"290,084","18,633,300"
shipchain,"May 19, 2018",0.117443,0.121467,0.107013,0.109174,"126,052","20,029,100"
shipchain,"May 18, 2018",0.112830,0.117701,0.103585,0.117450,"346,961","19,242,300"
shipchain,"May 17, 2018",0.123006,0.125104,0.109706,0.112857,"271,210","20,977,800"
shipchain,"May 16, 2018",0.124216,0.124216,0.117618,0.122890,"311,433","21,164,800"
shipchain,"May 15, 2018",0.127764,0.135540,0.122331,0.124254,"274,809","21,769,300"
shipchain,"May 14, 2018",0.131476,0.138834,0.124041,0.127864,"261,339","22,401,800"
shipchain,"May 13, 2018",0.117518,0.139781,0.114891,0.131521,"242,155","20,023,600"
shipchain,"May 12, 2018",0.110151,0.121843,0.106038,0.117618,"173,121","18,768,300"
shipchain,"May 11, 2018",0.122879,0.131711,0.106916,0.110412,"251,150","20,936,900"
