Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
shivom,"Jul 02, 2018",0.019061,0.021124,0.018080,0.019649,"630,806","5,780,480"
shivom,"Jul 01, 2018",0.020253,0.020350,0.018260,0.019018,"561,642","6,141,870"
shivom,"Jun 30, 2018",0.018481,0.020626,0.018481,0.020305,"642,056","5,604,590"
shivom,"Jun 29, 2018",0.018730,0.019503,0.016217,0.018938,"433,082","9,383,830"
shivom,"Jun 28, 2018",0.019010,0.020883,0.017929,0.018593,"611,724","9,524,130"
shivom,"Jun 27, 2018",0.019340,0.019647,0.018383,0.019078,"661,222","9,689,210"
shivom,"Jun 26, 2018",0.022286,0.022286,0.019025,0.019053,"638,373","11,165,400"
shivom,"Jun 25, 2018",0.022713,0.024393,0.020214,0.021609,"759,726","11,378,900"
shivom,"Jun 24, 2018",0.022924,0.024030,0.018596,0.022841,"740,127","11,485,000"
shivom,"Jun 23, 2018",0.020622,0.024267,0.019881,0.023178,"742,097","10,331,400"
shivom,"Jun 22, 2018",0.022660,0.023956,0.019556,0.020619,"472,747","11,352,600"
shivom,"Jun 21, 2018",0.023033,0.025154,0.022177,0.022563,"370,414",-
shivom,"Jun 20, 2018",0.022702,0.024439,0.020215,0.023176,"339,955",-
shivom,"Jun 19, 2018",0.024044,0.024822,0.021466,0.022702,"317,585",-
shivom,"Jun 18, 2018",0.023087,0.025681,0.019056,0.024028,"285,268",-
shivom,"Jun 17, 2018",0.022521,0.023511,0.022166,0.023128,"221,652",-
shivom,"Jun 16, 2018",0.021845,0.023314,0.021554,0.022518,"229,253",-
shivom,"Jun 15, 2018",0.024663,0.027194,0.020978,0.021914,"261,247",-
shivom,"Jun 14, 2018",0.025654,0.027464,0.020026,0.024559,"287,268",-
shivom,"Jun 13, 2018",0.025260,0.031516,0.017767,0.025624,"270,631",-
shivom,"Jun 12, 2018",0.027048,0.029843,0.024753,0.025115,"109,447",-
shivom,"Jun 11, 2018",0.028855,0.031628,0.026463,0.027150,"172,858",-
shivom,"Jun 10, 2018",0.033113,0.037241,0.028453,0.028760,"195,786",-
shivom,"Jun 09, 2018",0.039355,0.043302,0.032513,0.033063,"227,147",-
shivom,"Jun 08, 2018",0.050493,0.050493,0.039956,0.039956,"355,826",-
shivom,"Jun 07, 2018",0.048565,0.050878,0.043896,0.050878,"318,348",-
