Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
siacoin,"Jul 02, 2018",0.010706,0.011493,0.010403,0.011285,"14,306,800","379,056,000"
siacoin,"Jul 01, 2018",0.010737,0.010841,0.010269,0.010669,"9,308,920","379,956,000"
siacoin,"Jun 30, 2018",0.009973,0.010991,0.009903,0.010736,"14,002,100","352,679,000"
siacoin,"Jun 29, 2018",0.009666,0.010016,0.009186,0.009984,"8,304,640","341,656,000"
siacoin,"Jun 28, 2018",0.010107,0.010264,0.009591,0.009628,"6,351,290","357,065,000"
siacoin,"Jun 27, 2018",0.010017,0.010184,0.009831,0.010108,"7,825,780","353,673,000"
siacoin,"Jun 26, 2018",0.010693,0.010762,0.009974,0.010045,"4,748,840","377,288,000"
siacoin,"Jun 25, 2018",0.010572,0.010868,0.010330,0.010665,"11,287,900","372,798,000"
siacoin,"Jun 24, 2018",0.011201,0.011201,0.009637,0.010581,"14,811,700","394,790,000"
siacoin,"Jun 23, 2018",0.011226,0.011479,0.010992,0.011203,"7,703,920","395,450,000"
siacoin,"Jun 22, 2018",0.012530,0.012611,0.011071,0.011172,"11,804,400","441,113,000"
siacoin,"Jun 21, 2018",0.012733,0.012916,0.012414,0.012568,"9,298,840","448,013,000"
siacoin,"Jun 20, 2018",0.013040,0.013057,0.012270,0.012712,"14,695,500","458,584,000"
siacoin,"Jun 19, 2018",0.012903,0.013293,0.012687,0.013026,"15,059,400","453,499,000"
siacoin,"Jun 18, 2018",0.012648,0.013151,0.012052,0.012871,"14,669,100","444,243,000"
siacoin,"Jun 17, 2018",0.012932,0.013208,0.012548,0.012560,"10,447,000","453,956,000"
siacoin,"Jun 16, 2018",0.013007,0.013194,0.012525,0.012807,"12,795,800","456,340,000"
siacoin,"Jun 15, 2018",0.014150,0.014150,0.013033,0.013033,"18,809,100","496,184,000"
siacoin,"Jun 14, 2018",0.012079,0.015539,0.011854,0.014151,"114,242,000","423,335,000"
siacoin,"Jun 13, 2018",0.012862,0.013140,0.011500,0.012091,"14,972,100","450,521,000"
siacoin,"Jun 12, 2018",0.014388,0.014487,0.012797,0.012874,"17,528,400","503,602,000"
siacoin,"Jun 11, 2018",0.014118,0.015115,0.013539,0.014462,"23,720,400","493,894,000"
siacoin,"Jun 10, 2018",0.016956,0.016956,0.013829,0.014162,"30,699,000","592,837,000"
siacoin,"Jun 09, 2018",0.018189,0.018424,0.016973,0.017026,"15,538,100","635,601,000"
siacoin,"Jun 08, 2018",0.017276,0.018454,0.017112,0.018175,"26,934,500","603,301,000"
siacoin,"Jun 07, 2018",0.016418,0.017529,0.016144,0.017272,"22,833,400","573,001,000"
siacoin,"Jun 06, 2018",0.015063,0.016858,0.014793,0.016519,"27,674,500","525,423,000"
siacoin,"Jun 05, 2018",0.015083,0.015227,0.014592,0.015087,"9,524,840","525,788,000"
siacoin,"Jun 04, 2018",0.015825,0.016070,0.014918,0.015084,"8,123,860","551,360,000"
siacoin,"Jun 03, 2018",0.015458,0.016213,0.015458,0.015825,"10,990,400","538,214,000"
siacoin,"Jun 02, 2018",0.015212,0.015718,0.015126,0.015447,"9,782,550","529,369,000"
siacoin,"Jun 01, 2018",0.015260,0.015530,0.015093,0.015353,"8,852,350","530,735,000"
siacoin,"May 31, 2018",0.014977,0.015548,0.014738,0.015204,"11,979,400","520,533,000"
siacoin,"May 30, 2018",0.014881,0.015784,0.014595,0.014999,"16,515,900","516,922,000"
siacoin,"May 29, 2018",0.013879,0.015094,0.013490,0.014840,"13,272,800","481,826,000"
siacoin,"May 28, 2018",0.015607,0.015726,0.013801,0.013801,"14,062,100","541,527,000"
siacoin,"May 27, 2018",0.015571,0.015743,0.015352,0.015605,"6,626,770","539,937,000"
siacoin,"May 26, 2018",0.016120,0.016220,0.015468,0.015541,"8,458,060","558,709,000"
siacoin,"May 25, 2018",0.016552,0.016842,0.015817,0.016141,"10,597,200","573,323,000"
siacoin,"May 24, 2018",0.016514,0.016931,0.015313,0.016595,"17,955,700","571,612,000"
siacoin,"May 23, 2018",0.018245,0.018496,0.016338,0.016555,"19,144,000","631,152,000"
siacoin,"May 22, 2018",0.019757,0.019806,0.018173,0.018173,"11,421,900","683,099,000"
siacoin,"May 21, 2018",0.020256,0.020887,0.019511,0.019821,"15,534,600","699,963,000"
siacoin,"May 20, 2018",0.019148,0.020555,0.018918,0.020108,"12,052,300","661,256,000"
