Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
signal-token,"Jul 02, 2018",0.013489,0.014630,0.013469,0.013777,"91,466","3,790,310"
signal-token,"Jul 01, 2018",0.013890,0.013976,0.013489,0.013489,"74,790","3,902,810"
signal-token,"Jun 30, 2018",0.013367,0.014064,0.013365,0.013825,"119,272","3,756,030"
signal-token,"Jun 29, 2018",0.013577,0.013838,0.012676,0.013411,"117,222","3,814,870"
signal-token,"Jun 28, 2018",0.013802,0.013956,0.013423,0.013570,"93,532","3,878,020"
signal-token,"Jun 27, 2018",0.014344,0.014424,0.013184,0.013797,"106,154","4,030,420"
signal-token,"Jun 26, 2018",0.014748,0.016135,0.014273,0.014349,"139,084","4,121,860"
signal-token,"Jun 25, 2018",0.015681,0.016776,0.013738,0.015059,"135,717","4,382,680"
signal-token,"Jun 24, 2018",0.016223,0.016241,0.014965,0.015711,"141,359","4,534,040"
signal-token,"Jun 23, 2018",0.016415,0.016883,0.015500,0.016225,"153,177","4,587,630"
signal-token,"Jun 22, 2018",0.019305,0.020307,0.015950,0.016413,"138,498","5,395,520"
signal-token,"Jun 21, 2018",0.018453,0.022030,0.017809,0.019454,"189,650","5,155,350"
signal-token,"Jun 20, 2018",0.019742,0.020422,0.018358,0.018448,"181,860","5,515,460"
signal-token,"Jun 19, 2018",0.020396,0.021663,0.018610,0.019664,"173,317","5,698,300"
signal-token,"Jun 18, 2018",0.018203,0.021180,0.017674,0.020341,"169,832","5,085,710"
signal-token,"Jun 17, 2018",0.017831,0.019825,0.017825,0.018136,"163,757","4,976,320"
signal-token,"Jun 16, 2018",0.016325,0.021649,0.016157,0.017788,"188,545","4,556,150"
signal-token,"Jun 15, 2018",0.018199,0.018222,0.016086,0.016259,"146,670","5,075,300"
signal-token,"Jun 14, 2018",0.017701,0.018306,0.016497,0.018224,"145,922","4,935,490"
signal-token,"Jun 13, 2018",0.018546,0.018693,0.015605,0.017705,"171,704","5,168,980"
signal-token,"Jun 12, 2018",0.019709,0.020487,0.018350,0.018497,"163,718","5,504,490"
signal-token,"Jun 11, 2018",0.020529,0.020529,0.019232,0.019718,"100,527","5,733,500"
signal-token,"Jun 10, 2018",0.022467,0.022491,0.020146,0.020432,"230,613","6,274,780"
signal-token,"Jun 09, 2018",0.023640,0.023976,0.022445,0.022445,"127,554","6,598,130"
signal-token,"Jun 08, 2018",0.024842,0.026174,0.023619,0.023726,"151,283","6,933,820"
signal-token,"Jun 07, 2018",0.025523,0.025984,0.024392,0.024824,"163,002","7,123,510"
signal-token,"Jun 06, 2018",0.026500,0.026582,0.024566,0.025576,"204,340","7,396,270"
signal-token,"Jun 05, 2018",0.028232,0.028232,0.024056,0.026408,"236,546","7,871,330"
signal-token,"Jun 04, 2018",0.024344,0.032356,0.022795,0.029276,"263,546","6,782,940"
signal-token,"Jun 03, 2018",0.023851,0.025116,0.022479,0.024280,"178,147","6,645,570"
