Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
signatum,"Jul 02, 2018",0.001015,0.001064,0.001005,0.001057,12,"109,641"
signatum,"Jul 01, 2018",0.001022,0.001028,0.001006,0.001015,11,"110,345"
signatum,"Jun 30, 2018",0.000869,0.001025,0.000869,0.001022,3,"93,794"
signatum,"Jun 29, 2018",0.000822,0.000882,0.000812,0.000868,9,"88,709"
signatum,"Jun 28, 2018",0.000797,0.000855,0.000790,0.000821,8,"86,098"
signatum,"Jun 27, 2018",0.000797,0.000801,0.000796,0.000797,2,"86,034"
signatum,"Jun 25, 2018",0.000861,0.000871,0.000858,0.000871,2,"92,974"
signatum,"Jun 24, 2018",0.000830,0.000876,0.000809,0.000863,2,"89,652"
signatum,"Jun 22, 2018",0.000940,0.000942,0.000886,0.000893,17,"101,499"
signatum,"Jun 21, 2018",0.001013,0.001017,0.000937,0.000941,21,"109,346"
signatum,"Jun 20, 2018",0.001013,0.001019,0.000988,0.001013,10,"109,403"
signatum,"Jun 19, 2018",0.001144,0.001147,0.001005,0.001013,51,"123,535"
signatum,"Jun 18, 2018",0.001101,0.001153,0.001092,0.001145,17,"118,891"
signatum,"Jun 17, 2018",0.001240,0.001250,0.001101,0.001105,2,"133,919"
signatum,"Jun 16, 2018",0.001102,0.001249,0.001082,0.001237,25,"118,984"
signatum,"Jun 13, 2018",0.000987,0.000993,0.000930,0.000953,1,"106,618"
signatum,"Jun 12, 2018",0.001309,0.001309,0.000976,0.000985,2,"141,296"
signatum,"Jun 11, 2018",0.000949,0.001316,0.000935,0.001309,179,"102,417"
signatum,"Jun 10, 2018",0.001024,0.001027,0.000933,0.000947,9,"110,548"
signatum,"Jun 09, 2018",0.001144,0.001153,0.001140,0.001144,2,"123,528"
signatum,"Jun 08, 2018",0.001139,0.001150,0.001136,0.001145,2,"122,965"
signatum,"Jun 07, 2018",0.001378,0.001395,0.001378,0.001386,0,"148,810"
signatum,"Jun 06, 2018",0.001067,0.001384,0.001065,0.001377,4,"115,244"
signatum,"Jun 05, 2018",0.001039,0.001070,0.001033,0.001068,1,"112,203"
signatum,"Jun 03, 2018",0.001145,0.001159,0.001140,0.001155,3,"123,653"
signatum,"Jun 02, 2018",0.001278,0.001424,0.001144,0.001145,47,"137,970"
signatum,"Jun 01, 2018",0.001124,0.001353,0.001122,0.001278,19,"121,334"
signatum,"May 31, 2018",0.001403,0.001441,0.001116,0.001123,24,"151,454"
signatum,"May 30, 2018",0.001269,0.001433,0.001267,0.001403,55,"137,015"
signatum,"May 29, 2018",0.000854,0.001271,0.000850,0.001268,20,"92,233"
signatum,"May 28, 2018",0.001175,0.001186,0.000852,0.000854,17,"126,896"
signatum,"May 27, 2018",0.001165,0.001181,0.001162,0.001175,58,"125,832"
signatum,"May 26, 2018",0.001270,0.001296,0.001256,0.001280,19,"137,077"
signatum,"May 25, 2018",0.001437,0.001454,0.001251,0.001271,29,"155,149"
signatum,"May 24, 2018",0.001429,0.001467,0.001383,0.001434,58,"154,262"
signatum,"May 23, 2018",0.001521,0.001525,0.001420,0.001432,1,"164,189"
signatum,"May 22, 2018",0.001429,0.001570,0.001401,0.001522,17,"154,326"
signatum,"May 21, 2018",0.001450,0.001618,0.001355,0.001430,12,"156,524"
signatum,"May 20, 2018",0.001319,0.001673,0.001311,0.001448,14,"142,445"
signatum,"May 19, 2018",0.001813,0.001817,0.001312,0.001318,89,"195,708"
signatum,"May 18, 2018",0.001783,0.001819,0.001783,0.001813,12,"192,553"
signatum,"May 17, 2018",0.001837,0.001858,0.001796,0.001806,5,"198,307"
signatum,"May 16, 2018",0.001782,0.001836,0.001632,0.001836,9,"192,418"
signatum,"May 15, 2018",0.001822,0.001852,0.001773,0.001783,12,"196,687"
signatum,"May 14, 2018",0.001825,0.002037,0.001811,0.001825,80,"197,046"
signatum,"May 13, 2018",0.001778,0.001948,0.001757,0.001825,4,"192,000"
signatum,"May 12, 2018",0.001931,0.001956,0.001742,0.001779,12,"208,478"
signatum,"May 11, 2018",0.002079,0.002079,0.001924,0.001937,5,"224,446"
