Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
skeincoin,"Jul 02, 2018",0.027608,0.029141,0.025884,0.028938,371,"369,333"
skeincoin,"Jul 01, 2018",0.027849,0.029293,0.027340,0.027605,255,"372,507"
skeincoin,"Jun 30, 2018",0.024820,0.027941,0.024818,0.027842,217,"331,942"
skeincoin,"Jun 29, 2018",0.023474,0.025731,0.023207,0.024786,64,"313,898"
skeincoin,"Jun 28, 2018",0.024781,0.024854,0.023327,0.023459,181,"331,328"
skeincoin,"Jun 27, 2018",0.024565,0.025075,0.024302,0.024772,198,"328,393"
skeincoin,"Jun 26, 2018",0.025617,0.025718,0.024552,0.024575,82,"342,418"
skeincoin,"Jun 25, 2018",0.025218,0.027002,0.025021,0.025617,71,"337,032"
skeincoin,"Jun 24, 2018",0.027380,0.027425,0.023687,0.025266,176,"365,882"
skeincoin,"Jun 23, 2018",0.025055,0.027698,0.025043,0.027384,203,"334,772"
skeincoin,"Jun 22, 2018",0.030014,0.030177,0.024654,0.025052,162,"400,983"
skeincoin,"Jun 21, 2018",0.031529,0.032754,0.029986,0.030048,93,"421,161"
skeincoin,"Jun 20, 2018",0.034113,0.036105,0.030739,0.031523,328,"455,604"
skeincoin,"Jun 19, 2018",0.028738,0.037162,0.028548,0.034092,300,"383,767"
skeincoin,"Jun 18, 2018",0.027852,0.036320,0.027127,0.028753,384,"371,893"
skeincoin,"Jun 17, 2018",0.030681,0.031452,0.027855,0.027947,245,"409,620"
skeincoin,"Jun 16, 2018",0.026973,0.032550,0.025517,0.030600,518,"360,066"
skeincoin,"Jun 15, 2018",0.028834,0.031061,0.026923,0.027071,421,"384,866"
skeincoin,"Jun 14, 2018",0.033366,0.034346,0.028668,0.028882,47,"445,313"
skeincoin,"Jun 13, 2018",0.034956,0.034968,0.032753,0.033381,945,"466,478"
skeincoin,"Jun 12, 2018",0.037744,0.037884,0.034417,0.034866,149,"503,639"
skeincoin,"Jun 11, 2018",0.039500,0.039749,0.027164,0.037764,994,"527,027"
skeincoin,"Jun 10, 2018",0.042781,0.044654,0.037333,0.039444,240,"570,735"
skeincoin,"Jun 09, 2018",0.041720,0.045675,0.041708,0.042727,343,"556,533"
skeincoin,"Jun 08, 2018",0.041178,0.044914,0.041116,0.041738,404,"549,260"
skeincoin,"Jun 07, 2018",0.044486,0.045218,0.038866,0.041147,240,"593,288"
skeincoin,"Jun 06, 2018",0.044981,0.045052,0.039946,0.044445,372,"599,822"
skeincoin,"Jun 05, 2018",0.048090,0.049560,0.036181,0.044993,"1,349","641,230"
skeincoin,"Jun 04, 2018",0.039470,0.049709,0.036990,0.048067,203,"526,253"
skeincoin,"Jun 03, 2018",0.038251,0.042838,0.036624,0.039451,112,"509,951"
skeincoin,"Jun 02, 2018",0.037733,0.038508,0.037459,0.038240,73,"503,002"
skeincoin,"Jun 01, 2018",0.036709,0.040092,0.035683,0.037750,125,"489,273"
skeincoin,"May 31, 2018",0.036913,0.046328,0.036396,0.036682,379,"491,931"
skeincoin,"May 30, 2018",0.042623,0.043111,0.035795,0.036920,158,"567,940"
skeincoin,"May 29, 2018",0.041999,0.051579,0.035117,0.042594,187,"559,548"
skeincoin,"May 28, 2018",0.039078,0.047020,0.039026,0.042013,216,"520,568"
skeincoin,"May 27, 2018",0.035942,0.040440,0.035446,0.039068,121,"478,744"
skeincoin,"May 26, 2018",0.035622,0.037497,0.035255,0.035926,190,"474,434"
skeincoin,"May 25, 2018",0.035621,0.048640,0.035215,0.035669,187,"474,375"
skeincoin,"May 24, 2018",0.037447,0.042598,0.031313,0.035554,777,"498,636"
skeincoin,"May 23, 2018",0.047780,0.047828,0.035527,0.037542,379,"636,167"
skeincoin,"May 22, 2018",0.050446,0.050485,0.045945,0.047830,255,"671,592"
skeincoin,"May 21, 2018",0.051250,0.057269,0.043327,0.050455,"1,247","682,200"
skeincoin,"May 20, 2018",0.049473,0.057551,0.043860,0.051186,299,"658,459"
skeincoin,"May 19, 2018",0.049516,0.058636,0.049254,0.049436,197,"658,980"
skeincoin,"May 18, 2018",0.048468,0.052433,0.047750,0.049524,251,"644,952"
skeincoin,"May 17, 2018",0.051760,0.059650,0.044348,0.048426,319,"688,687"
skeincoin,"May 16, 2018",0.052614,0.060999,0.050434,0.051728,"1,019","699,973"
skeincoin,"May 15, 2018",0.054302,0.055120,0.052341,0.052644,501,"722,347"
skeincoin,"May 14, 2018",0.054662,0.061139,0.052336,0.054395,"1,251","727,034"
skeincoin,"May 13, 2018",0.053347,0.055076,0.052668,0.054672,107,"709,438"
skeincoin,"May 12, 2018",0.059856,0.060344,0.052629,0.053365,214,"795,926"
skeincoin,"May 11, 2018",0.057210,0.060501,0.053533,0.060032,385,"760,657"
skeincoin,"May 10, 2018",0.056908,0.069295,0.056786,0.057142,421,"756,542"
skeincoin,"May 09, 2018",0.057126,0.057146,0.052098,0.056924,353,"759,342"
skeincoin,"May 08, 2018",0.063226,0.064684,0.055743,0.057213,858,"840,341"
skeincoin,"May 07, 2018",0.071718,0.071755,0.060885,0.063092,"1,438","953,055"
skeincoin,"May 06, 2018",0.075779,0.085895,0.070267,0.071667,127,"1,006,880"
skeincoin,"May 05, 2018",0.072016,0.078203,0.071903,0.075728,173,"956,798"
skeincoin,"May 04, 2018",0.077006,0.087728,0.068225,0.072050,"1,090","1,022,960"
skeincoin,"May 03, 2018",0.081129,0.082227,0.067757,0.077036,"1,664","1,077,590"
skeincoin,"May 02, 2018",0.082386,0.087761,0.079940,0.081126,649,"1,094,130"
skeincoin,"May 01, 2018",0.083352,0.093369,0.077093,0.082510,"3,273","1,106,840"
skeincoin,"Apr 30, 2018",0.080195,0.089445,0.079784,0.083279,474,"1,064,790"
skeincoin,"Apr 29, 2018",0.085044,0.090304,0.080029,0.080222,"1,664","1,129,020"
skeincoin,"Apr 28, 2018",0.076496,0.096338,0.076300,0.085077,"1,771","1,015,430"
