Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
slothcoin,"Jul 02, 2018",0.000003,0.000003,0.000003,0.000003,286,-
slothcoin,"Jul 01, 2018",0.000003,0.000003,0.000003,0.000003,130,-
slothcoin,"Jun 30, 2018",0.000003,0.000003,0.000003,0.000003,51,-
slothcoin,"Jun 29, 2018",0.000003,0.000003,0.000002,0.000003,862,-
slothcoin,"Jun 28, 2018",0.000003,0.000003,0.000002,0.000003,"1,217",-
slothcoin,"Jun 27, 2018",0.000003,0.000003,0.000003,0.000003,234,-
slothcoin,"Jun 26, 2018",0.000003,0.000004,0.000003,0.000003,158,-
slothcoin,"Jun 25, 2018",0.000003,0.000004,0.000003,0.000003,216,-
slothcoin,"Jun 24, 2018",0.000003,0.000003,0.000003,0.000003,175,-
slothcoin,"Jun 23, 2018",0.000004,0.000004,0.000003,0.000003,"1,396",-
slothcoin,"Jun 22, 2018",0.000004,0.000004,0.000003,0.000003,962,-
slothcoin,"Jun 21, 2018",0.000005,0.000006,0.000004,0.000004,"5,422",-
slothcoin,"Jun 20, 2018",0.000006,0.000006,0.000004,0.000005,796,-
slothcoin,"Jun 19, 2018",0.000006,0.000006,0.000005,0.000006,"1,744",-
slothcoin,"Jun 18, 2018",0.000005,0.000006,0.000005,0.000006,"2,394",-
slothcoin,"Jun 17, 2018",0.000005,0.000006,0.000005,0.000005,"3,673",-
slothcoin,"Jun 16, 2018",0.000007,0.000007,0.000005,0.000005,"4,093",-
slothcoin,"Jun 15, 2018",0.000008,0.000008,0.000006,0.000007,"3,869",-
slothcoin,"Jun 14, 2018",0.000006,0.000008,0.000005,0.000008,"8,896",-
slothcoin,"Jun 13, 2018",0.000005,0.000007,0.000005,0.000006,"9,456",-
slothcoin,"Jun 12, 2018",0.000004,0.000005,0.000004,0.000005,"10,542",-
slothcoin,"Jun 11, 2018",0.000004,0.000004,0.000004,0.000004,465,-
slothcoin,"Jun 10, 2018",0.000004,0.000005,0.000004,0.000004,"1,464",-
slothcoin,"Jun 09, 2018",0.000004,0.000005,0.000004,0.000004,"1,926",-
slothcoin,"Jun 08, 2018",0.000004,0.000005,0.000004,0.000004,939,-
slothcoin,"Jun 07, 2018",0.000004,0.000005,0.000004,0.000004,"1,070",-
slothcoin,"Jun 06, 2018",0.000005,0.000005,0.000004,0.000004,788,-
slothcoin,"Jun 05, 2018",0.000004,0.000005,0.000004,0.000005,469,-
slothcoin,"Jun 04, 2018",0.000005,0.000005,0.000004,0.000004,477,-
slothcoin,"Jun 03, 2018",0.000005,0.000005,0.000004,0.000005,715,-
slothcoin,"Jun 02, 2018",0.000004,0.000005,0.000004,0.000005,762,-
slothcoin,"Jun 01, 2018",0.000004,0.000004,0.000004,0.000004,491,-
slothcoin,"May 31, 2018",0.000004,0.000005,0.000004,0.000004,"1,117",-
slothcoin,"May 30, 2018",0.000004,0.000005,0.000004,0.000004,"1,665",-
slothcoin,"May 29, 2018",0.000003,0.000005,0.000003,0.000004,"3,054",-
slothcoin,"May 28, 2018",0.000003,0.000004,0.000003,0.000004,"14,394",-
slothcoin,"May 27, 2018",0.000002,0.000004,0.000002,0.000003,"2,928",-
slothcoin,"May 26, 2018",0.000003,0.000004,0.000002,0.000002,"5,399",-
slothcoin,"May 25, 2018",0.000011,0.000011,0.000002,0.000003,"9,637",-
slothcoin,"May 24, 2018",0.000002,0.000015,0.000002,0.000011,651,-
slothcoin,"May 23, 2018",0.000003,0.000003,0.000002,0.000002,335,-
slothcoin,"May 22, 2018",0.000003,0.000004,0.000003,0.000003,553,-
slothcoin,"May 21, 2018",0.000003,0.000004,0.000003,0.000003,"1,015",-
slothcoin,"May 20, 2018",0.000003,0.000004,0.000003,0.000003,"1,012",-
slothcoin,"May 19, 2018",0.000003,0.000003,0.000003,0.000003,80,-
slothcoin,"May 18, 2018",0.000003,0.000004,0.000003,0.000003,"1,047",-
slothcoin,"May 17, 2018",0.000003,0.000004,0.000002,0.000003,"1,602",-
slothcoin,"May 16, 2018",0.000003,0.000004,0.000003,0.000003,748,-
slothcoin,"May 15, 2018",0.000003,0.000004,0.000003,0.000003,980,-
slothcoin,"May 14, 2018",0.000003,0.000004,0.000003,0.000003,"1,366",-
slothcoin,"May 13, 2018",0.000003,0.000003,0.000002,0.000003,"2,207",-
slothcoin,"May 12, 2018",0.000003,0.000004,0.000003,0.000003,"3,266",-
slothcoin,"May 11, 2018",0.000005,0.000006,0.000003,0.000003,475,-
slothcoin,"May 10, 2018",0.000043,0.000050,0.000005,0.000005,"3,356",-
slothcoin,"May 09, 2018",0.000043,0.000046,0.000010,0.000043,"1,354",-
slothcoin,"May 08, 2018",0.000053,0.000063,0.000042,0.000043,"2,578",-
slothcoin,"May 07, 2018",0.000005,0.000063,0.000005,0.000053,"2,156",-
slothcoin,"May 06, 2018",0.000009,0.000009,0.000004,0.000005,"7,156",-
slothcoin,"May 05, 2018",0.000014,0.000030,0.000008,0.000009,"1,694",-
slothcoin,"May 04, 2018",0.000005,0.000015,0.000005,0.000013,"1,027",-
slothcoin,"May 03, 2018",0.000018,0.000026,0.000004,0.000005,"1,524",-
slothcoin,"May 02, 2018",0.000016,0.000022,0.000010,0.000018,"2,345",-
slothcoin,"May 01, 2018",0.000012,0.000020,0.000005,0.000015,"5,256",-
slothcoin,"Apr 30, 2018",0.000009,0.000016,0.000006,0.000013,"1,013",-
slothcoin,"Apr 29, 2018",0.000009,0.000011,0.000008,0.000009,"2,048",-
slothcoin,"Apr 28, 2018",0.000015,0.000020,0.000009,0.000009,"2,936",-
slothcoin,"Apr 27, 2018",0.000023,0.000046,0.000008,0.000015,"2,799",-
slothcoin,"Apr 26, 2018",0.000054,0.000054,0.000007,0.000023,"3,822",-
slothcoin,"Apr 25, 2018",0.000040,0.000064,0.000039,0.000054,864,-
slothcoin,"Apr 24, 2018",0.000006,0.000042,0.000006,0.000040,"1,268",-
slothcoin,"Apr 23, 2018",0.000049,0.000051,0.000006,0.000006,"1,108",-
slothcoin,"Apr 22, 2018",0.000008,0.000053,0.000007,0.000049,"1,565",-
slothcoin,"Apr 21, 2018",0.000010,0.000011,0.000007,0.000008,"1,601",-
slothcoin,"Apr 20, 2018",0.000008,0.000011,0.000007,0.000010,"1,062",-
slothcoin,"Apr 19, 2018",0.000016,0.000016,0.000008,0.000008,"1,895",-
slothcoin,"Apr 18, 2018",0.000004,0.000021,0.000004,0.000016,"1,670",-
slothcoin,"Apr 17, 2018",0.000019,0.000019,0.000004,0.000004,"3,195",-
slothcoin,"Apr 16, 2018",0.000021,0.000032,0.000009,0.000019,557,-
slothcoin,"Apr 15, 2018",0.000011,0.000021,0.000010,0.000021,634,-
slothcoin,"Apr 14, 2018",0.000005,0.000012,0.000005,0.000011,560,-
slothcoin,"Apr 13, 2018",0.000004,0.000005,0.000004,0.000005,"1,567",-
slothcoin,"Apr 12, 2018",0.000004,0.000004,0.000003,0.000004,"2,687",-
slothcoin,"Apr 11, 2018",0.000004,0.000004,0.000004,0.000004,"2,986",-
slothcoin,"Apr 10, 2018",0.000003,0.000004,0.000003,0.000004,"1,279",-
slothcoin,"Apr 09, 2018",0.000013,0.000031,0.000003,0.000003,81,-
slothcoin,"Apr 08, 2018",0.000004,0.000015,0.000003,0.000013,899,-
slothcoin,"Apr 07, 2018",0.000004,0.000005,0.000004,0.000004,104,-
slothcoin,"Apr 06, 2018",0.000005,0.000005,0.000004,0.000004,145,-
slothcoin,"Apr 05, 2018",0.000005,0.000005,0.000004,0.000005,316,-
slothcoin,"Apr 04, 2018",0.000039,0.000040,0.000005,0.000005,224,-
slothcoin,"Apr 03, 2018",0.000006,0.000067,0.000006,0.000040,828,-
slothcoin,"Apr 02, 2018",0.000039,0.000063,0.000006,0.000006,65,-
slothcoin,"Apr 01, 2018",0.000006,0.000040,0.000006,0.000039,"1,312",-
slothcoin,"Mar 31, 2018",0.000006,0.000007,0.000005,0.000006,57,-
slothcoin,"Mar 30, 2018",0.000006,0.000007,0.000006,0.000006,179,-
slothcoin,"Mar 29, 2018",0.000005,0.000010,0.000003,0.000006,"1,438",-
