Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
smartcash,"Jul 02, 2018",0.076615,0.082228,0.074077,0.081077,"1,608,650","80,734,400"
smartcash,"Jul 01, 2018",0.075331,0.078939,0.070333,0.076557,"3,092,080","79,381,900"
smartcash,"Jun 30, 2018",0.068379,0.075198,0.068379,0.072892,"2,351,760","72,056,500"
smartcash,"Jun 29, 2018",0.067737,0.070593,0.063417,0.068349,"2,030,230","71,379,200"
smartcash,"Jun 28, 2018",0.069439,0.072870,0.065065,0.067398,"2,021,420","73,172,500"
smartcash,"Jun 27, 2018",0.067253,0.075753,0.064470,0.070222,"1,946,870","70,869,300"
smartcash,"Jun 26, 2018",0.073040,0.073754,0.065561,0.067273,"1,828,510","76,967,700"
smartcash,"Jun 25, 2018",0.073986,0.078508,0.068379,0.073190,"1,708,590","77,890,700"
smartcash,"Jun 24, 2018",0.080493,0.081659,0.066423,0.074147,"2,399,710","84,584,000"
smartcash,"Jun 23, 2018",0.069242,0.096985,0.066626,0.079455,"3,130,150","72,608,600"
smartcash,"Jun 22, 2018",0.072479,0.073753,0.062272,0.068149,"660,258","75,824,100"
smartcash,"Jun 21, 2018",0.078388,0.079728,0.071705,0.072350,"658,350","81,841,200"
smartcash,"Jun 20, 2018",0.077701,0.082906,0.071422,0.078814,"639,932","80,966,500"
smartcash,"Jun 19, 2018",0.079817,0.086364,0.076406,0.077666,"793,320","82,999,200"
smartcash,"Jun 18, 2018",0.071844,0.089687,0.069338,0.079856,"664,618","74,548,400"
smartcash,"Jun 17, 2018",0.075388,0.076068,0.071709,0.071976,"276,607","78,049,200"
smartcash,"Jun 16, 2018",0.071324,0.075890,0.069402,0.075211,"54,853","73,691,000"
smartcash,"Jun 15, 2018",0.074695,0.075751,0.068974,0.071447,"64,857","77,002,100"
smartcash,"Jun 14, 2018",0.067760,0.075866,0.063699,0.075866,"54,076","69,714,100"
smartcash,"Jun 13, 2018",0.069007,0.069373,0.062807,0.067742,"73,793","70,819,400"
smartcash,"Jun 12, 2018",0.075307,0.075803,0.065502,0.068841,"83,260","77,154,200"
smartcash,"Jun 11, 2018",0.076866,0.077809,0.070268,0.074211,"62,969","78,580,300"
smartcash,"Jun 10, 2018",0.087202,0.087202,0.074625,0.076775,"74,324","88,937,900"
smartcash,"Jun 09, 2018",0.088791,0.091417,0.087101,0.087101,"74,982","90,365,000"
smartcash,"Jun 08, 2018",0.089455,0.090872,0.080625,0.088823,"60,931","90,847,600"
smartcash,"Jun 07, 2018",0.089760,0.091557,0.087840,0.089383,"66,885","90,958,300"
smartcash,"Jun 06, 2018",0.085490,0.090449,0.085018,0.089689,"89,480","86,423,600"
smartcash,"Jun 05, 2018",0.083093,0.085530,0.080969,0.085530,"84,188","83,815,500"
smartcash,"Jun 04, 2018",0.085723,0.088504,0.081523,0.083057,"94,637","86,278,600"
smartcash,"Jun 03, 2018",0.086859,0.088436,0.082927,0.085581,"82,303","87,220,400"
smartcash,"Jun 02, 2018",0.084118,0.087847,0.081231,0.086858,"103,508","84,267,900"
smartcash,"Jun 01, 2018",0.080081,0.085100,0.078706,0.084121,"89,110","80,043,200"
