Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
snipcoin,"Jul 02, 2018",0.000470,0.000500,0.000460,0.000495,"29,555",-
snipcoin,"Jul 01, 2018",0.000477,0.000478,0.000463,0.000469,"28,820",-
snipcoin,"Jun 30, 2018",0.000457,0.000482,0.000456,0.000476,"27,345",-
snipcoin,"Jun 29, 2018",0.000443,0.000463,0.000423,0.000456,"27,077",-
snipcoin,"Jun 28, 2018",0.000464,0.000465,0.000440,0.000443,"25,533",-
snipcoin,"Jun 27, 2018",0.000448,0.000466,0.000438,0.000463,"28,084",-
snipcoin,"Jun 26, 2018",0.000482,0.000484,0.000452,0.000453,"27,065",-
snipcoin,"Jun 25, 2018",0.000469,0.000494,0.000459,0.000482,"30,055",-
snipcoin,"Jun 24, 2018",0.000494,0.000495,0.000439,0.000471,"28,268",-
snipcoin,"Jun 23, 2018",0.000493,0.000506,0.000480,0.000489,"28,764",-
snipcoin,"Jun 22, 2018",0.000554,0.000554,0.000479,0.000492,"30,253",-
snipcoin,"Jun 21, 2018",0.000557,0.000566,0.000542,0.000554,"38,642",-
snipcoin,"Jun 20, 2018",0.000559,0.000561,0.000535,0.000552,"35,208",-
snipcoin,"Jun 19, 2018",0.000554,0.000579,0.000546,0.000558,"35,508",-
snipcoin,"Jun 18, 2018",0.000533,0.000558,0.000520,0.000554,"34,928",-
snipcoin,"Jun 17, 2018",0.000523,0.000539,0.000519,0.000533,"33,579",-
snipcoin,"Jun 16, 2018",0.000517,0.000537,0.000508,0.000523,"34,370",-
snipcoin,"Jun 15, 2018",0.000550,0.000553,0.000514,0.000519,"29,859",-
snipcoin,"Jun 14, 2018",0.000505,0.000556,0.000485,0.000550,"31,434",-
snipcoin,"Jun 13, 2018",0.000522,0.000524,0.000481,0.000504,"29,605",-
snipcoin,"Jun 12, 2018",0.000558,0.000562,0.000513,0.000520,"29,892",-
snipcoin,"Jun 11, 2018",0.000552,0.000561,0.000534,0.000558,"32,782",-
snipcoin,"Jun 10, 2018",0.000624,0.000624,0.000530,0.000551,"32,754",-
snipcoin,"Jun 09, 2018",0.000624,0.000638,0.000622,0.000623,"36,610",-
snipcoin,"Jun 08, 2018",0.000634,0.000638,0.000618,0.000618,"36,971",-
snipcoin,"Jun 07, 2018",0.000630,0.000643,0.000623,0.000633,"36,716",-
snipcoin,"Jun 06, 2018",0.000632,0.000635,0.000613,0.000630,"37,672",-
snipcoin,"Jun 05, 2018",0.000616,0.000643,0.000603,0.000627,"37,036",-
snipcoin,"Jun 04, 2018",0.000649,0.000656,0.000604,0.000616,"36,794",-
snipcoin,"Jun 03, 2018",0.000615,0.000657,0.000612,0.000650,"37,958",-
snipcoin,"Jun 02, 2018",0.000602,0.000623,0.000594,0.000616,"36,151",-
snipcoin,"Jun 01, 2018",0.000601,0.000618,0.000586,0.000602,"35,236",-
snipcoin,"May 31, 2018",0.000586,0.000609,0.000579,0.000599,"36,012",-
snipcoin,"May 30, 2018",0.000588,0.000607,0.000566,0.000587,"34,800",-
snipcoin,"May 29, 2018",0.000539,0.000595,0.000533,0.000587,"34,597",-
snipcoin,"May 28, 2018",0.000599,0.000603,0.000530,0.000540,"31,659",-
snipcoin,"May 27, 2018",0.000617,0.000621,0.000586,0.000599,"35,389",-
snipcoin,"May 26, 2018",0.000626,0.000643,0.000615,0.000615,"37,173",-
snipcoin,"May 25, 2018",0.000560,0.000659,0.000550,0.000626,"40,020",-
snipcoin,"May 24, 2018",0.000527,0.000562,0.000503,0.000559,"38,702",-
snipcoin,"May 23, 2018",0.000560,0.000570,0.000515,0.000530,"38,004",-
snipcoin,"May 22, 2018",0.000620,0.000623,0.000557,0.000561,"30,735",-
snipcoin,"May 21, 2018",0.000679,0.000680,0.000593,0.000622,"42,486",-
snipcoin,"May 20, 2018",0.000654,0.000693,0.000635,0.000678,"44,430",-
snipcoin,"May 19, 2018",0.000666,0.000673,0.000618,0.000654,"42,757",-
snipcoin,"May 18, 2018",0.000657,0.000667,0.000613,0.000666,"47,339",-
snipcoin,"May 17, 2018",0.000763,0.000771,0.000538,0.000651,"32,455",-
snipcoin,"May 16, 2018",0.000841,0.000843,0.000743,0.000762,"35,777",-
snipcoin,"May 15, 2018",0.000902,0.000926,0.000735,0.000840,"49,282",-
snipcoin,"May 14, 2018",0.000897,0.000934,0.000863,0.000903,"45,630",-
snipcoin,"May 13, 2018",0.000929,0.000982,0.000913,0.000934,"11,442",-
snipcoin,"May 12, 2018",0.000913,0.000943,0.000872,0.000931,"38,117",-
snipcoin,"May 11, 2018",0.001037,0.001038,0.000901,0.000915,"44,216",-
snipcoin,"May 10, 2018",0.001081,0.001099,0.001035,0.001036,"44,945",-
snipcoin,"May 09, 2018",0.001100,0.001102,0.001018,0.001080,"47,112",-
snipcoin,"May 08, 2018",0.001086,0.001127,0.001053,0.001101,"47,908",-
