Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
social-send,"Jul 02, 2018",0.083839,0.083893,0.075057,0.081117,"2,113","2,689,110"
social-send,"Jul 01, 2018",0.093170,0.094271,0.072208,0.083829,"12,023","2,988,410"
social-send,"Jun 30, 2018",0.094729,0.115110,0.089614,0.093149,"32,489","3,038,410"
social-send,"Jun 29, 2018",0.067487,0.118770,0.062180,0.094601,"26,544","2,164,620"
social-send,"Jun 28, 2018",0.064409,0.070382,0.064191,0.067444,"2,798","2,065,910"
social-send,"Jun 27, 2018",0.069168,0.071898,0.064234,0.064386,"2,817","2,218,550"
social-send,"Jun 26, 2018",0.080501,0.080675,0.067896,0.069196,"5,958","2,582,030"
social-send,"Jun 25, 2018",0.069872,0.081702,0.069711,0.080501,"4,085","2,241,140"
social-send,"Jun 24, 2018",0.080284,0.083580,0.067508,0.070009,"6,188","2,575,090"
social-send,"Jun 23, 2018",0.073459,0.081257,0.073331,0.080329,"2,230","2,356,180"
social-send,"Jun 22, 2018",0.082080,0.083322,0.071771,0.073449,"3,440","2,632,690"
social-send,"Jun 21, 2018",0.088242,0.092267,0.080573,0.082171,"4,076","2,830,330"
social-send,"Jun 20, 2018",0.089152,0.089239,0.079561,0.088223,"2,687","2,859,530"
social-send,"Jun 19, 2018",0.098118,0.098374,0.081089,0.085321,"6,932","3,147,120"
social-send,"Jun 18, 2018",0.093718,0.098171,0.090938,0.098171,"5,392","3,005,990"
social-send,"Jun 17, 2018",0.095108,0.108721,0.093724,0.094039,"2,859","3,050,560"
social-send,"Jun 16, 2018",0.089276,0.109065,0.089055,0.094856,"6,897","2,863,520"
social-send,"Jun 15, 2018",0.090195,0.099577,0.086717,0.089603,"7,094","2,892,990"
social-send,"Jun 14, 2018",0.087181,0.102108,0.079566,0.095429,"14,135","2,796,300"
social-send,"Jun 13, 2018",0.088441,0.101870,0.083282,0.087220,"7,162","2,836,720"
social-send,"Jun 12, 2018",0.083020,0.121182,0.080147,0.088213,"15,997","2,662,850"
