Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
soilcoin,"Jul 02, 2018",0.016184,0.016952,0.016016,0.016847,47,"92,281"
soilcoin,"Jul 01, 2018",0.016288,0.016379,0.016027,0.016182,235,"92,873"
soilcoin,"Jun 30, 2018",0.015822,0.016488,0.015822,0.016284,3,"90,220"
soilcoin,"Jun 29, 2018",0.013556,0.016072,0.013402,0.015801,279,"77,298"
soilcoin,"Jun 28, 2018",0.014415,0.015595,0.013471,0.013548,201,"82,193"
soilcoin,"Jun 27, 2018",0.014289,0.014678,0.014015,0.014410,234,"81,476"
soilcoin,"Jun 26, 2018",0.013371,0.017227,0.013282,0.014295,511,"76,242"
soilcoin,"Jun 25, 2018",0.012547,0.013516,0.012495,0.013371,19,"71,545"
soilcoin,"Jun 24, 2018",0.012580,0.012841,0.011786,0.012571,146,"71,732"
soilcoin,"Jun 23, 2018",0.012649,0.013605,0.012503,0.012582,237,"72,123"
soilcoin,"Jun 22, 2018",0.014168,0.014253,0.012425,0.012647,307,"80,786"
soilcoin,"Jun 21, 2018",0.015933,0.015973,0.014154,0.014183,255,"90,853"
soilcoin,"Jun 20, 2018",0.016009,0.016071,0.015610,0.015930,19,"91,286"
soilcoin,"Jun 19, 2018",0.016489,0.019277,0.015887,0.015999,275,"94,021"
soilcoin,"Jun 18, 2018",0.013473,0.019232,0.013374,0.016498,754,"76,821"
soilcoin,"Jun 17, 2018",0.013578,0.014098,0.013474,0.013519,37,"77,423"
soilcoin,"Jun 16, 2018",0.014257,0.014422,0.013236,0.013542,15,"81,294"
soilcoin,"Jun 15, 2018",0.013819,0.014367,0.013483,0.014309,34,"78,797"
soilcoin,"Jun 14, 2018",0.013524,0.014457,0.013464,0.013842,292,"77,112"
soilcoin,"Jun 13, 2018",0.015733,0.015828,0.013275,0.013529,27,"89,713"
soilcoin,"Jun 12, 2018",0.017357,0.017357,0.013706,0.015693,192,"98,968"
soilcoin,"Jun 11, 2018",0.016600,0.017456,0.013562,0.017366,"1,087","94,652"
soilcoin,"Jun 10, 2018",0.019214,0.019314,0.016519,0.016576,683,"109,558"
soilcoin,"Jun 09, 2018",0.020212,0.022718,0.019072,0.019190,331,"115,249"
soilcoin,"Jun 08, 2018",0.019283,0.020231,0.018900,0.020220,395,"109,953"
soilcoin,"Jun 07, 2018",0.019372,0.021535,0.019166,0.019269,819,"110,458"
