Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
solarflarecoin,"Jul 02, 2018",0.015086,0.017336,0.011473,0.012489,"4,500","212,463"
solarflarecoin,"Jul 01, 2018",0.012416,0.017652,0.012165,0.015084,"8,668","174,862"
solarflarecoin,"Jun 30, 2018",0.009825,0.012775,0.009824,0.012413,755,"138,367"
solarflarecoin,"Jun 29, 2018",0.009500,0.011592,0.009332,0.009812,"1,086","133,786"
solarflarecoin,"Jun 28, 2018",0.010500,0.010859,0.009440,0.009493,"1,151","147,869"
solarflarecoin,"Jun 27, 2018",0.010521,0.011611,0.009234,0.010496,"2,167","148,179"
solarflarecoin,"Jun 26, 2018",0.009043,0.016775,0.007882,0.010526,"24,263","127,357"
solarflarecoin,"Jun 25, 2018",0.004185,0.011248,0.003708,0.010004,"7,829","58,943"
solarflarecoin,"Jun 24, 2018",0.004439,0.004630,0.003515,0.004193,816,"62,518"
solarflarecoin,"Jun 23, 2018",0.004539,0.005277,0.003985,0.004440,240,"63,924"
solarflarecoin,"Jun 22, 2018",0.005773,0.005785,0.003988,0.004357,712,"81,310"
solarflarecoin,"Jun 21, 2018",0.005894,0.006123,0.005467,0.005780,370,"83,010"
solarflarecoin,"Jun 20, 2018",0.006755,0.006762,0.005798,0.005893,767,"95,133"
solarflarecoin,"Jun 19, 2018",0.006724,0.006835,0.006688,0.006751,232,"94,704"
solarflarecoin,"Jun 18, 2018",0.006477,0.007048,0.005863,0.006728,291,"91,221"
solarflarecoin,"Jun 17, 2018",0.006655,0.007000,0.006478,0.006499,242,"93,724"
solarflarecoin,"Jun 16, 2018",0.006743,0.006819,0.006612,0.006637,148,"94,967"
solarflarecoin,"Jun 15, 2018",0.006952,0.007682,0.006752,0.006768,126,"97,914"
solarflarecoin,"Jun 14, 2018",0.005838,0.007627,0.005826,0.006964,370,"82,213"
solarflarecoin,"Jun 13, 2018",0.007900,0.007909,0.005840,0.005840,710,"111,254"
solarflarecoin,"Jun 12, 2018",0.009128,0.009444,0.006492,0.007879,"3,666","128,548"
solarflarecoin,"Jun 11, 2018",0.010705,0.014181,0.008585,0.009132,"1,416","150,764"
solarflarecoin,"Jun 10, 2018",0.009607,0.014159,0.007867,0.010690,"2,796","135,298"
solarflarecoin,"Jun 09, 2018",0.009586,0.010079,0.009521,0.009595,190,"135,006"
solarflarecoin,"Jun 08, 2018",0.009065,0.013199,0.009062,0.009590,"1,733","127,672"
solarflarecoin,"Jun 07, 2018",0.010011,0.010029,0.006565,0.009058,"7,503","140,984"
solarflarecoin,"Jun 06, 2018",0.008281,0.010010,0.008260,0.010001,"1,060","116,625"
solarflarecoin,"Jun 05, 2018",0.010652,0.010664,0.007640,0.008283,"3,179","150,021"
solarflarecoin,"Jun 04, 2018",0.012661,0.013321,0.008244,0.010647,"1,175","178,310"
solarflarecoin,"Jun 03, 2018",0.012259,0.012666,0.012090,0.012655,851,"172,648"
solarflarecoin,"Jun 02, 2018",0.013910,0.013917,0.012213,0.012259,692,"195,895"
