Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
soma,"Jul 02, 2018",0.105480,0.128970,0.105184,0.107295,"4,228","613,732"
soma,"Jul 01, 2018",0.123914,0.140061,0.100440,0.105468,"5,649","720,990"
soma,"Jun 30, 2018",0.117893,0.128285,0.111708,0.123887,"1,971","685,957"
soma,"Jun 29, 2018",0.103813,0.122335,0.097487,0.117733,"3,188","603,513"
soma,"Jun 28, 2018",0.105012,0.112799,0.103162,0.103747,"2,354","599,984"
soma,"Jun 27, 2018",0.124161,0.124345,0.096067,0.104975,"7,234","709,391"
soma,"Jun 26, 2018",0.145643,0.145959,0.118382,0.123177,"8,266","832,128"
soma,"Jun 25, 2018",0.139189,0.170411,0.135213,0.145643,"17,364","795,249"
soma,"Jun 24, 2018",0.158854,0.159112,0.127214,0.139458,"7,443","907,607"
soma,"Jun 23, 2018",0.162434,0.165071,0.143897,0.158876,"5,433","928,063"
soma,"Jun 22, 2018",0.183510,0.197037,0.153644,0.159871,"15,277","1,048,480"
soma,"Jun 21, 2018",0.202544,0.206098,0.158209,0.183714,"17,590","1,157,230"
soma,"Jun 20, 2018",0.197921,0.207725,0.153810,0.202502,"18,987","1,122,880"
soma,"Jun 19, 2018",0.194166,0.205996,0.177847,0.197799,"12,064","1,101,580"
soma,"Jun 18, 2018",0.204873,0.233105,0.175025,0.194271,"23,536","1,161,920"
soma,"Jun 17, 2018",0.166005,0.271946,0.163770,0.205575,"38,390","913,594"
soma,"Jun 16, 2018",0.148414,0.181840,0.142402,0.165566,"12,786","816,779"
soma,"Jun 15, 2018",0.152873,0.155059,0.141938,0.148957,"3,103","826,942"
soma,"Jun 14, 2018",0.146104,0.160341,0.138986,0.153126,"9,131","789,744"
soma,"Jun 13, 2018",0.152989,0.169611,0.140608,0.146169,"9,245","825,933"
soma,"Jun 12, 2018",0.170949,0.170949,0.150324,0.152594,"6,212","922,889"
soma,"Jun 11, 2018",0.174533,0.176792,0.161741,0.171040,"1,508","942,240"
soma,"Jun 10, 2018",0.199718,0.199718,0.162784,0.174284,"3,452","1,078,210"
soma,"Jun 09, 2018",0.204636,0.213012,0.199467,0.199467,"1,963","1,104,750"
soma,"Jun 08, 2018",0.227172,0.227506,0.200804,0.204723,"38,361","1,226,420"
soma,"Jun 07, 2018",0.258645,0.260483,0.215476,0.227000,"16,706","1,396,330"
soma,"Jun 06, 2018",0.209810,0.266363,0.199381,0.258408,"16,842","1,121,530"
soma,"Jun 05, 2018",0.197011,0.281882,0.182378,0.209637,"28,060","1,052,620"
soma,"Jun 04, 2018",0.185014,0.286288,0.172286,0.196916,"17,058","988,518"
soma,"Jun 03, 2018",0.204614,0.239330,0.188906,0.193095,"7,329","1,093,240"
soma,"Jun 02, 2018",0.255415,0.255634,0.198145,0.204559,"5,088","1,364,670"
soma,"Jun 01, 2018",0.198603,0.255525,0.193804,0.255525,"8,889","1,061,130"
soma,"May 31, 2018",0.272421,0.272421,0.183276,0.187903,"16,962","1,455,530"
soma,"May 30, 2018",0.180494,0.291749,0.178872,0.272471,"27,518","958,706"
soma,"May 29, 2018",0.213270,0.213648,0.148655,0.180373,"14,430","1,132,800"
soma,"May 28, 2018",0.278978,0.280071,0.193601,0.213340,"19,826","1,481,810"
soma,"May 27, 2018",0.298245,0.299635,0.271744,0.278913,"6,190","1,584,150"
soma,"May 26, 2018",0.325005,0.361188,0.283866,0.298113,"10,773","1,726,290"
soma,"May 25, 2018",0.345845,0.348789,0.312890,0.325432,"19,979","1,836,980"
soma,"May 24, 2018",0.327401,0.496130,0.327401,0.345196,"20,241","1,739,010"
soma,"May 23, 2018",0.372480,0.372480,0.296040,0.328229,"47,513","1,978,450"
soma,"May 22, 2018",0.427950,0.453296,0.372866,0.372866,"37,430","1,971,420"
soma,"May 21, 2018",0.452635,0.642935,0.416659,0.428028,"64,351","2,085,140"
soma,"May 20, 2018",0.559864,0.559864,0.367684,0.473107,"68,616","2,579,110"
soma,"May 19, 2018",0.609764,0.651639,0.506665,0.559446,"75,233","2,808,980"
soma,"May 18, 2018",0.436295,0.635618,0.381216,0.616284,"187,673","2,009,870"
soma,"May 17, 2018",0.340195,0.468921,0.340195,0.420013,"46,522","1,567,160"
soma,"May 16, 2018",0.362699,0.377089,0.308083,0.339988,"12,111","1,670,830"
