Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
sooncoin,"Jul 02, 2018",0.005077,0.006613,0.005025,0.005153,471,"63,276"
sooncoin,"Jul 01, 2018",0.005238,0.005267,0.004940,0.005077,37,"65,274"
sooncoin,"Jun 30, 2018",0.005150,0.005642,0.005150,0.005236,8,"64,183"
sooncoin,"Jun 29, 2018",0.004577,0.005673,0.004571,0.005143,660,"57,047"
sooncoin,"Jun 28, 2018",0.004968,0.005024,0.004549,0.004574,7,-
sooncoin,"Jun 27, 2018",0.005108,0.005261,0.004271,0.004967,208,-
sooncoin,"Jun 26, 2018",0.004998,0.005234,0.004885,0.005110,113,-
sooncoin,"Jun 25, 2018",0.004674,0.005016,0.004573,0.004998,35,-
sooncoin,"Jun 24, 2018",0.004933,0.004941,0.004506,0.004684,84,-
sooncoin,"Jun 23, 2018",0.004599,0.005606,0.004592,0.004934,58,-
sooncoin,"Jun 22, 2018",0.005305,0.005329,0.004526,0.004599,26,-
sooncoin,"Jun 21, 2018",0.005469,0.005493,0.005226,0.005310,34,-
sooncoin,"Jun 20, 2018",0.005742,0.005796,0.005217,0.005468,24,-
sooncoin,"Jun 19, 2018",0.005384,0.005745,0.005181,0.005738,114,-
sooncoin,"Jun 18, 2018",0.005506,0.005532,0.004885,0.005387,229,-
sooncoin,"Jun 17, 2018",0.005483,0.005569,0.005446,0.005524,199,-
sooncoin,"Jun 16, 2018",0.005395,0.005521,0.005345,0.005469,13,-
sooncoin,"Jun 15, 2018",0.005581,0.005587,0.005385,0.005414,39,-
sooncoin,"Jun 14, 2018",0.005308,0.005617,0.005297,0.005590,13,-
sooncoin,"Jun 13, 2018",0.005530,0.005563,0.005211,0.005311,16,-
sooncoin,"Jun 12, 2018",0.005786,0.005786,0.005465,0.005515,22,-
sooncoin,"Jun 11, 2018",0.005691,0.005819,0.005611,0.005789,69,-
sooncoin,"Jun 10, 2018",0.006004,0.006004,0.005267,0.005683,48,-
sooncoin,"Jun 09, 2018",0.005797,0.007674,0.005795,0.005997,296,-
sooncoin,"Jun 08, 2018",0.005992,0.006055,0.005746,0.005799,49,-
sooncoin,"Jun 07, 2018",0.005972,0.006141,0.005968,0.006141,27,-
sooncoin,"Jun 06, 2018",0.006175,0.006369,0.005714,0.005967,111,-
sooncoin,"Jun 05, 2018",0.006302,0.006309,0.006053,0.006177,60,-
sooncoin,"Jun 04, 2018",0.007092,0.007188,0.006285,0.006299,119,-
sooncoin,"Jun 03, 2018",0.007024,0.007108,0.006993,0.007089,52,-
sooncoin,"Jun 02, 2018",0.006840,0.007428,0.006802,0.007022,106,-
sooncoin,"Jun 01, 2018",0.006593,0.006982,0.006580,0.006843,105,-
sooncoin,"May 31, 2018",0.006275,0.006754,0.006245,0.006588,296,-
sooncoin,"May 30, 2018",0.006121,0.006279,0.006063,0.006276,31,-
sooncoin,"May 29, 2018",0.005766,0.006704,0.005734,0.006117,52,-
sooncoin,"May 28, 2018",0.006170,0.006225,0.005750,0.005768,235,-
sooncoin,"May 27, 2018",0.006235,0.006567,0.006111,0.006169,109,-
sooncoin,"May 26, 2018",0.006348,0.006442,0.006199,0.006232,17,-
sooncoin,"May 25, 2018",0.006504,0.006554,0.006109,0.006356,40,-
sooncoin,"May 24, 2018",0.006617,0.006795,0.006270,0.006492,89,-
sooncoin,"May 23, 2018",0.006883,0.007914,0.006500,0.006634,189,-
sooncoin,"May 22, 2018",0.007315,0.007513,0.006851,0.006890,63,-
sooncoin,"May 21, 2018",0.007675,0.007750,0.007290,0.007316,44,-
sooncoin,"May 20, 2018",0.007338,0.007896,0.007153,0.007665,139,-
sooncoin,"May 19, 2018",0.007333,0.007782,0.007294,0.007333,70,-
sooncoin,"May 18, 2018",0.007028,0.007528,0.006924,0.007334,25,-
sooncoin,"May 17, 2018",0.008348,0.008443,0.006981,0.007022,125,-
sooncoin,"May 16, 2018",0.007977,0.008421,0.007465,0.008343,217,-
sooncoin,"May 15, 2018",0.008674,0.008752,0.007877,0.007982,29,-
sooncoin,"May 14, 2018",0.008864,0.008912,0.008410,0.008689,832,-
sooncoin,"May 13, 2018",0.009399,0.009627,0.008713,0.008866,41,-
sooncoin,"May 12, 2018",0.009067,0.009490,0.008445,0.009402,137,-
sooncoin,"May 11, 2018",0.010032,0.010032,0.009033,0.009093,28,-
sooncoin,"May 10, 2018",0.010338,0.010411,0.009985,0.010020,294,-
sooncoin,"May 09, 2018",0.010211,0.010376,0.009982,0.010341,158,-
sooncoin,"May 08, 2018",0.011053,0.011155,0.010070,0.010226,259,-
sooncoin,"May 07, 2018",0.012113,0.012120,0.010866,0.011029,186,-
sooncoin,"May 06, 2018",0.011598,0.012116,0.011144,0.012105,157,-
sooncoin,"May 05, 2018",0.011437,0.012510,0.011419,0.011590,840,-
sooncoin,"May 04, 2018",0.011405,0.011500,0.011188,0.011443,122,-
sooncoin,"May 03, 2018",0.010879,0.012245,0.010774,0.011409,428,-
sooncoin,"May 02, 2018",0.010627,0.011644,0.010551,0.010878,562,-
sooncoin,"May 01, 2018",0.011089,0.011687,0.010377,0.010644,397,-
sooncoin,"Apr 30, 2018",0.011564,0.012876,0.010985,0.011079,"1,860",-
sooncoin,"Apr 29, 2018",0.012803,0.020499,0.009769,0.011568,"18,754",-
sooncoin,"Apr 28, 2018",0.011680,0.014739,0.011650,0.012808,873,-
sooncoin,"Apr 27, 2018",0.010692,0.013799,0.010514,0.011720,"3,414",-
sooncoin,"Apr 26, 2018",0.010547,0.010701,0.010083,0.010677,24,-
sooncoin,"Apr 25, 2018",0.011250,0.012647,0.010115,0.010460,289,-
sooncoin,"Apr 24, 2018",0.010353,0.011579,0.010353,0.011327,407,-
sooncoin,"Apr 23, 2018",0.010977,0.011158,0.009806,0.010344,131,-
sooncoin,"Apr 22, 2018",0.009285,0.011164,0.009158,0.010999,728,-
sooncoin,"Apr 21, 2018",0.009107,0.009948,0.008877,0.009285,109,-
sooncoin,"Apr 20, 2018",0.009592,0.009674,0.008064,0.009104,124,-
sooncoin,"Apr 19, 2018",0.007756,0.010242,0.007723,0.009586,733,-
sooncoin,"Apr 18, 2018",0.008607,0.008884,0.006793,0.007750,"3,642",-
sooncoin,"Apr 17, 2018",0.008049,0.016137,0.007535,0.008599,"3,655",-
sooncoin,"Apr 16, 2018",0.008262,0.009329,0.007839,0.008045,143,-
sooncoin,"Apr 15, 2018",0.008081,0.011295,0.008081,0.008265,290,-
sooncoin,"Apr 14, 2018",0.007867,0.008625,0.007840,0.008073,18,-
sooncoin,"Apr 13, 2018",0.007918,0.008711,0.007708,0.007867,49,-
sooncoin,"Apr 12, 2018",0.006946,0.007949,0.006762,0.007908,38,-
sooncoin,"Apr 11, 2018",0.006763,0.007117,0.006743,0.006963,45,-
sooncoin,"Apr 10, 2018",0.006693,0.006797,0.006552,0.006756,78,-
sooncoin,"Apr 09, 2018",0.009133,0.009297,0.006421,0.006687,285,-
sooncoin,"Apr 08, 2018",0.007871,0.009118,0.007871,0.009118,349,-
sooncoin,"Apr 07, 2018",0.007681,0.008096,0.007669,0.007864,28,-
sooncoin,"Apr 06, 2018",0.007047,0.008614,0.007016,0.007672,222,-
sooncoin,"Apr 05, 2018",0.006996,0.007235,0.006839,0.007084,127,-
sooncoin,"Apr 04, 2018",0.007713,0.007713,0.006929,0.006993,58,-
sooncoin,"Apr 03, 2018",0.007261,0.008859,0.007237,0.007718,32,-
sooncoin,"Apr 02, 2018",0.006962,0.007453,0.006916,0.007255,36,-
sooncoin,"Apr 01, 2018",0.009217,0.009348,0.006425,0.006928,471,-
sooncoin,"Mar 31, 2018",0.007999,0.009515,0.007130,0.009217,311,-
sooncoin,"Mar 30, 2018",0.008146,0.008280,0.007591,0.007998,10,-
sooncoin,"Mar 29, 2018",0.009847,0.010550,0.007929,0.008167,72,-
sooncoin,"Mar 28, 2018",0.009656,0.011256,0.009602,0.009836,31,-
sooncoin,"Mar 27, 2018",0.012335,0.012375,0.009621,0.009658,114,-
sooncoin,"Mar 26, 2018",0.010634,0.012422,0.010112,0.012354,73,-
sooncoin,"Mar 25, 2018",0.010629,0.012070,0.010303,0.010642,39,-
sooncoin,"Mar 24, 2018",0.014794,0.014794,0.010665,0.010777,199,-
sooncoin,"Mar 23, 2018",0.009397,0.014581,0.009061,0.014581,"1,008",-
sooncoin,"Mar 22, 2018",0.009162,0.010415,0.009149,0.009398,185,-
sooncoin,"Mar 21, 2018",0.009171,0.009749,0.009093,0.009179,116,-
sooncoin,"Mar 20, 2018",0.009054,0.011834,0.008877,0.009155,661,-
sooncoin,"Mar 19, 2018",0.008026,0.009461,0.008026,0.008955,80,-
sooncoin,"Mar 18, 2018",0.008991,0.008991,0.007167,0.008060,240,-
sooncoin,"Mar 17, 2018",0.009132,0.009317,0.008102,0.009013,55,-
sooncoin,"Mar 16, 2018",0.011647,0.011719,0.007700,0.009117,"1,544",-
sooncoin,"Mar 15, 2018",0.011736,0.012704,0.011009,0.011654,121,-
sooncoin,"Mar 14, 2018",0.013907,0.016135,0.011434,0.011741,295,-
sooncoin,"Mar 13, 2018",0.012452,0.023287,0.012293,0.013905,"2,911",-
sooncoin,"Mar 12, 2018",0.016035,0.016612,0.011632,0.012523,466,-
sooncoin,"Mar 11, 2018",0.015093,0.016330,0.014255,0.016085,"1,076",-
sooncoin,"Mar 10, 2018",0.015834,0.017813,0.015094,0.015146,532,-
sooncoin,"Mar 09, 2018",0.016078,0.018782,0.014596,0.015827,424,-
sooncoin,"Mar 08, 2018",0.016814,0.017359,0.015679,0.016180,62,-
sooncoin,"Mar 07, 2018",0.019294,0.019584,0.015962,0.016838,387,-
sooncoin,"Mar 06, 2018",0.021285,0.024220,0.018985,0.019319,371,-
sooncoin,"Mar 05, 2018",0.023570,0.023718,0.021336,0.021344,112,-
sooncoin,"Mar 04, 2018",0.028256,0.028256,0.023020,0.023702,217,-
sooncoin,"Mar 03, 2018",0.022810,0.047428,0.021881,0.028305,"10,181",-
sooncoin,"Mar 02, 2018",0.028349,0.028571,0.022366,0.022838,257,-
sooncoin,"Mar 01, 2018",0.022922,0.033194,0.021384,0.028422,723,-
sooncoin,"Feb 28, 2018",0.027834,0.028796,0.022867,0.022888,853,-
sooncoin,"Feb 27, 2018",0.026707,0.030815,0.026541,0.027867,370,-
sooncoin,"Feb 26, 2018",0.025213,0.027286,0.024653,0.026630,246,-
sooncoin,"Feb 25, 2018",0.025694,0.026140,0.024508,0.025180,111,-
sooncoin,"Feb 24, 2018",0.027802,0.028523,0.024900,0.025733,236,-
sooncoin,"Feb 23, 2018",0.027369,0.028202,0.026148,0.027837,304,-
sooncoin,"Feb 22, 2018",0.029097,0.032940,0.027104,0.027394,163,-
sooncoin,"Feb 21, 2018",0.034098,0.034819,0.028564,0.029126,"1,025",-
sooncoin,"Feb 20, 2018",0.036084,0.038644,0.033776,0.034141,371,-
sooncoin,"Feb 19, 2018",0.033137,0.037593,0.032238,0.036051,"1,090",-
sooncoin,"Feb 18, 2018",0.038938,0.039560,0.031520,0.033290,"1,223",-
sooncoin,"Feb 17, 2018",0.040876,0.041138,0.035284,0.038819,322,-
sooncoin,"Feb 16, 2018",0.033601,0.040885,0.032516,0.040885,985,-
sooncoin,"Feb 15, 2018",0.031646,0.037714,0.030354,0.033745,364,-
sooncoin,"Feb 14, 2018",0.031997,0.037491,0.029922,0.031629,"1,003",-
sooncoin,"Feb 13, 2018",0.031052,0.032968,0.029792,0.032093,506,-
sooncoin,"Feb 12, 2018",0.028372,0.034085,0.028372,0.030996,472,-
sooncoin,"Feb 11, 2018",0.029155,0.030436,0.026794,0.028192,"1,346",-
sooncoin,"Feb 10, 2018",0.033973,0.034986,0.027894,0.029180,130,-
sooncoin,"Feb 09, 2018",0.029966,0.034054,0.026124,0.033949,"2,517",-
sooncoin,"Feb 08, 2018",0.024998,0.033478,0.024998,0.029874,648,-
sooncoin,"Feb 07, 2018",0.025206,0.054614,0.021542,0.025098,"4,540",-
sooncoin,"Feb 06, 2018",0.020821,0.029599,0.017872,0.025461,533,-
sooncoin,"Feb 05, 2018",0.028251,0.044858,0.019553,0.020795,"3,639",-
sooncoin,"Feb 04, 2018",0.035128,0.049563,0.027107,0.028528,"2,022",-
sooncoin,"Feb 03, 2018",0.029601,0.041875,0.027732,0.035110,277,-
sooncoin,"Feb 02, 2018",0.034964,0.043093,0.019133,0.029501,"2,913",-
sooncoin,"Feb 01, 2018",0.039054,0.040792,0.033272,0.035036,707,-
sooncoin,"Jan 31, 2018",0.038364,0.045635,0.037803,0.038964,371,-
sooncoin,"Jan 30, 2018",0.050959,0.051048,0.036539,0.039704,"1,420",-
sooncoin,"Jan 29, 2018",0.056143,0.056870,0.049812,0.050942,691,-
sooncoin,"Jan 28, 2018",0.053661,0.065890,0.053568,0.056197,"1,279",-
sooncoin,"Jan 27, 2018",0.051957,0.056002,0.050998,0.053388,845,-
sooncoin,"Jan 26, 2018",0.069306,0.069793,0.048673,0.051992,"3,415",-
sooncoin,"Jan 25, 2018",0.091295,0.102192,0.057431,0.069490,"13,613",-
sooncoin,"Jan 24, 2018",0.046611,0.100442,0.043014,0.090042,"62,878",-
sooncoin,"Jan 23, 2018",0.053384,0.057547,0.040710,0.046638,"1,859",-
sooncoin,"Jan 22, 2018",0.049914,0.061920,0.046587,0.053526,"3,523",-
sooncoin,"Jan 21, 2018",0.057818,0.078997,0.045546,0.049241,"22,512",-
sooncoin,"Jan 20, 2018",0.053080,0.063603,0.053052,0.057683,"2,018",-
sooncoin,"Jan 19, 2018",0.053678,0.068759,0.049611,0.052509,"1,583",-
sooncoin,"Jan 18, 2018",0.054582,0.056957,0.047617,0.054362,"1,018",-
sooncoin,"Jan 17, 2018",0.046488,0.057533,0.039184,0.054372,"2,591",-
sooncoin,"Jan 16, 2018",0.054524,0.058534,0.041835,0.046725,"2,555",-
sooncoin,"Jan 15, 2018",0.075975,0.077037,0.050977,0.054456,"11,615",-
sooncoin,"Jan 14, 2018",0.071805,0.082181,0.056010,0.076530,"3,949",-
sooncoin,"Jan 13, 2018",0.076247,0.087153,0.071697,0.076494,"6,990",-
sooncoin,"Jan 12, 2018",0.090418,0.104183,0.067985,0.076334,"7,937",-
sooncoin,"Jan 11, 2018",0.076406,0.109740,0.049252,0.089824,"6,349",-
sooncoin,"Jan 10, 2018",0.131002,0.131002,0.059912,0.076492,"11,775",-
sooncoin,"Jan 09, 2018",0.138400,0.151500,0.090833,0.130830,"24,068",-
sooncoin,"Jan 08, 2018",0.176040,0.191831,0.136641,0.138778,"20,202",-
sooncoin,"Jan 07, 2018",0.172197,0.242402,0.162637,0.168948,"43,868",-
sooncoin,"Jan 06, 2018",0.291246,0.355339,0.160364,0.189367,"180,045",-
sooncoin,"Jan 05, 2018",0.103330,0.644261,0.102712,0.291336,"679,576",-
sooncoin,"Jan 04, 2018",0.020652,0.109272,0.018828,0.105932,"93,588",-
sooncoin,"Jan 03, 2018",0.018419,0.020585,0.016379,0.020549,350,-
sooncoin,"Jan 02, 2018",0.015753,0.019250,0.014687,0.018860,769,-
sooncoin,"Jan 01, 2018",0.015177,0.015665,0.012994,0.013784,160,-
