Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
sophiatx,"Jul 02, 2018",0.194613,0.254058,0.193944,0.242716,"449,721","37,393,300"
sophiatx,"Jul 01, 2018",0.178679,0.196310,0.177027,0.194550,"121,806","34,331,700"
sophiatx,"Jun 30, 2018",0.145905,0.188739,0.145905,0.178576,"133,025","28,034,400"
sophiatx,"Jun 29, 2018",0.141804,0.146956,0.136914,0.145719,"227,717","27,246,500"
sophiatx,"Jun 28, 2018",0.150122,0.161216,0.140693,0.141846,"303,445","28,844,700"
sophiatx,"Jun 27, 2018",0.161168,0.162591,0.143860,0.151682,"370,724","30,967,000"
sophiatx,"Jun 26, 2018",0.168300,0.173954,0.160317,0.160885,"358,879","32,337,400"
sophiatx,"Jun 25, 2018",0.169775,0.171934,0.158730,0.169128,"388,890","32,620,900"
sophiatx,"Jun 24, 2018",0.183999,0.184028,0.156801,0.170009,"384,402","35,353,900"
sophiatx,"Jun 23, 2018",0.173085,0.185626,0.173085,0.183687,"362,947","33,256,900"
sophiatx,"Jun 22, 2018",0.201812,0.202313,0.166677,0.175241,"409,266","38,776,600"
sophiatx,"Jun 21, 2018",0.228273,0.229116,0.201433,0.201879,"441,684","43,860,700"
sophiatx,"Jun 20, 2018",0.219253,0.222407,0.195274,0.213194,"509,440","42,125,400"
sophiatx,"Jun 19, 2018",0.236608,0.237540,0.217678,0.221324,"554,045","45,457,600"
sophiatx,"Jun 18, 2018",0.241355,0.242599,0.226806,0.236713,"472,908","46,369,000"
sophiatx,"Jun 17, 2018",0.235716,0.244773,0.235621,0.241789,"476,800","45,285,500"
sophiatx,"Jun 16, 2018",0.222393,0.242329,0.221915,0.235167,"482,103","42,725,900"
sophiatx,"Jun 15, 2018",0.231590,0.239426,0.213124,0.223220,"466,260","44,493,000"
sophiatx,"Jun 14, 2018",0.213390,0.247070,0.210041,0.231123,"555,875","40,986,700"
sophiatx,"Jun 13, 2018",0.251646,0.251646,0.203841,0.213590,"598,062","48,322,100"
sophiatx,"Jun 12, 2018",0.270083,0.270083,0.248668,0.250478,"635,175","51,861,800"
sophiatx,"Jun 11, 2018",0.274937,0.283954,0.262930,0.270268,"520,885","52,793,900"
sophiatx,"Jun 10, 2018",0.325077,0.325077,0.269202,0.274731,"693,268","62,421,900"
sophiatx,"Jun 09, 2018",0.332084,0.335250,0.321163,0.324552,"808,229","63,767,300"
sophiatx,"Jun 08, 2018",0.340163,0.343776,0.330626,0.331984,"679,268","65,318,800"
sophiatx,"Jun 07, 2018",0.349455,0.356701,0.339143,0.339867,"500,971","67,102,900"
sophiatx,"Jun 06, 2018",0.348056,0.364425,0.340724,0.349409,"420,320","66,834,300"
sophiatx,"Jun 05, 2018",0.356382,0.362693,0.327394,0.348841,"544,860","68,432,200"
sophiatx,"Jun 04, 2018",0.389387,0.391055,0.353988,0.356986,"555,410","74,768,900"
sophiatx,"Jun 03, 2018",0.377371,0.402382,0.372841,0.392298,"581,577","72,461,500"
sophiatx,"Jun 02, 2018",0.386509,0.392487,0.368242,0.377520,"585,345","74,216,300"
sophiatx,"Jun 01, 2018",0.406306,0.406306,0.364985,0.386878,"674,022","78,017,600"
sophiatx,"May 31, 2018",0.395497,0.431893,0.382307,0.406063,"742,184","75,942,000"
sophiatx,"May 30, 2018",0.390755,0.406236,0.379355,0.394481,"537,694","75,031,600"
sophiatx,"May 29, 2018",0.359511,0.394120,0.353342,0.390195,"599,587","69,032,100"
sophiatx,"May 28, 2018",0.399984,0.403901,0.358555,0.359393,"756,750","76,802,500"
sophiatx,"May 27, 2018",0.418611,0.418611,0.386283,0.399751,"843,119","80,379,200"
sophiatx,"May 26, 2018",0.410195,0.432709,0.395825,0.419627,"982,813","78,763,300"
sophiatx,"May 25, 2018",0.411793,0.440155,0.397803,0.411312,"805,901","79,070,100"
sophiatx,"May 24, 2018",0.377380,0.424554,0.368753,0.411676,"786,902","72,462,300"
sophiatx,"May 23, 2018",0.458395,0.469758,0.362856,0.380725,"864,090","88,018,200"
sophiatx,"May 22, 2018",0.529661,0.531637,0.455739,0.460287,"1,019,820","101,702,000"
sophiatx,"May 21, 2018",0.544174,0.556605,0.511688,0.530090,"1,093,280","104,488,000"
sophiatx,"May 20, 2018",0.545435,0.553462,0.527041,0.543463,"926,269","104,730,000"
sophiatx,"May 19, 2018",0.509452,0.562774,0.490022,0.545715,"1,051,750","97,820,700"
sophiatx,"May 18, 2018",0.496190,0.527251,0.475254,0.507683,"1,286,170","95,274,300"
sophiatx,"May 17, 2018",0.528848,0.565426,0.474597,0.477174,"1,274,740","101,545,000"
sophiatx,"May 16, 2018",0.591717,0.594478,0.499816,0.534110,"1,239,700","113,617,000"
sophiatx,"May 15, 2018",0.648231,0.654326,0.587625,0.593132,"1,201,930","124,468,000"
sophiatx,"May 14, 2018",0.620957,0.659203,0.581947,0.647161,"2,285,490","119,229,000"
sophiatx,"May 13, 2018",0.498698,0.637817,0.476360,0.619982,"1,816,860","95,754,700"
sophiatx,"May 12, 2018",0.471859,0.522519,0.470703,0.499187,"1,400,360","90,601,300"
sophiatx,"May 11, 2018",0.506833,0.506833,0.452665,0.484571,"858,532","97,311,600"
sophiatx,"May 10, 2018",0.522094,0.538138,0.502561,0.505388,"968,425","100,242,000"
sophiatx,"May 09, 2018",0.491500,0.519808,0.474113,0.505041,"1,031,730","94,355,400"
sophiatx,"May 08, 2018",0.526911,0.537286,0.479093,0.482874,"890,779","101,153,000"
sophiatx,"May 07, 2018",0.498908,0.531620,0.481160,0.524004,"949,924","95,776,400"
sophiatx,"May 06, 2018",0.542077,0.550309,0.495931,0.499357,"668,997","104,064,000"
sophiatx,"May 05, 2018",0.539102,0.563046,0.531810,0.543049,"776,424","103,492,000"
sophiatx,"May 04, 2018",0.524736,0.554520,0.493682,0.533131,"1,068,810","100,735,000"
sophiatx,"May 03, 2018",0.515093,0.543849,0.498703,0.525042,"984,155","98,883,400"
sophiatx,"May 02, 2018",0.504454,0.521978,0.460553,0.513679,"1,086,500","96,841,000"
sophiatx,"May 01, 2018",0.531866,0.531866,0.475252,0.505504,"939,847","102,103,000"
sophiatx,"Apr 30, 2018",0.561393,0.565101,0.517052,0.530667,"946,234","107,745,000"
sophiatx,"Apr 29, 2018",0.551894,0.580379,0.532906,0.562474,"1,063,220","105,922,000"
sophiatx,"Apr 28, 2018",0.537514,0.569825,0.531454,0.551709,"905,122","103,162,000"
sophiatx,"Apr 27, 2018",0.529251,0.573530,0.526129,0.540542,"1,262,850","101,576,000"
sophiatx,"Apr 26, 2018",0.488652,0.545655,0.488652,0.529926,"1,438,330","93,784,200"
sophiatx,"Apr 25, 2018",0.553647,0.555074,0.418297,0.507358,"1,260,000","106,258,000"
sophiatx,"Apr 24, 2018",0.465838,0.560210,0.459483,0.560082,"1,322,590","89,405,600"
sophiatx,"Apr 23, 2018",0.455237,0.514486,0.444544,0.466237,"1,732,390","87,328,900"
sophiatx,"Apr 22, 2018",0.371986,0.464664,0.352097,0.456495,"1,131,290","71,358,800"
sophiatx,"Apr 21, 2018",0.347192,0.371504,0.337230,0.371248,"800,265","66,602,500"
sophiatx,"Apr 20, 2018",0.301823,0.350805,0.295797,0.348097,"621,178","57,899,300"
sophiatx,"Apr 19, 2018",0.283601,0.302403,0.276562,0.302403,"499,976","54,403,800"
sophiatx,"Apr 18, 2018",0.279729,0.288108,0.267804,0.284256,"252,258","53,660,800"
sophiatx,"Apr 17, 2018",0.290243,0.292618,0.263875,0.280808,"309,446","55,677,200"
sophiatx,"Apr 16, 2018",0.292524,0.296102,0.264195,0.291491,"345,912","56,114,600"
sophiatx,"Apr 15, 2018",0.276992,0.293495,0.274914,0.292961,"396,415","53,135,200"
sophiatx,"Apr 14, 2018",0.264231,0.280913,0.259113,0.277309,"309,726","50,687,300"
sophiatx,"Apr 13, 2018",0.251517,0.270137,0.248664,0.262989,"379,401","48,248,300"
sophiatx,"Apr 12, 2018",0.217950,0.251712,0.201540,0.251712,"189,610","41,809,300"
sophiatx,"Apr 11, 2018",0.209149,0.218156,0.200511,0.217263,"175,353","40,120,700"
sophiatx,"Apr 10, 2018",0.199148,0.209558,0.195838,0.199964,"123,498","38,202,300"
sophiatx,"Apr 09, 2018",0.214317,0.220801,0.194908,0.198835,"130,257","41,100,900"
sophiatx,"Apr 08, 2018",0.204780,0.216802,0.200560,0.213025,"146,220","39,272,000"
sophiatx,"Apr 07, 2018",0.192766,0.215771,0.192598,0.204524,"140,322","36,967,800"
sophiatx,"Apr 06, 2018",0.198553,0.200205,0.184865,0.193130,"93,963","38,077,800"
sophiatx,"Apr 05, 2018",0.193911,0.204240,0.187332,0.199672,"96,563","37,187,500"
sophiatx,"Apr 04, 2018",0.222264,0.227421,0.192683,0.193904,"91,929","42,624,900"
sophiatx,"Apr 03, 2018",0.215428,0.225327,0.208242,0.222244,"144,374","41,313,400"
sophiatx,"Apr 02, 2018",0.208118,0.219985,0.206249,0.216877,"118,136","39,911,600"
sophiatx,"Apr 01, 2018",0.212510,0.217288,0.199143,0.206807,"59,304","40,753,900"
sophiatx,"Mar 31, 2018",0.212963,0.221215,0.198673,0.212937,"147,884","40,840,800"
sophiatx,"Mar 30, 2018",0.219179,0.239419,0.196203,0.212980,"170,403","42,032,800"
sophiatx,"Mar 29, 2018",0.267748,0.270358,0.219070,0.219735,"307,505","51,347,000"
sophiatx,"Mar 28, 2018",0.272704,0.281307,0.266409,0.266932,"194,813","52,297,500"
sophiatx,"Mar 27, 2018",0.298350,0.300305,0.269290,0.275553,"143,122","57,215,800"
sophiatx,"Mar 26, 2018",0.319743,0.325385,0.284412,0.299076,"244,077","61,318,400"
sophiatx,"Mar 25, 2018",0.309750,0.328456,0.302231,0.321433,"370,954","59,402,000"
sophiatx,"Mar 24, 2018",0.287946,0.331981,0.285439,0.314384,"390,712","55,220,500"
sophiatx,"Mar 23, 2018",0.297881,0.297881,0.266992,0.284493,"165,163","57,125,800"
sophiatx,"Mar 22, 2018",0.302273,0.312274,0.273230,0.298447,"130,526","57,968,000"
sophiatx,"Mar 21, 2018",0.280649,0.313928,0.276271,0.303390,"327,238","53,821,200"
sophiatx,"Mar 20, 2018",0.278573,0.285819,0.262199,0.280693,"210,457","53,423,000"
sophiatx,"Mar 19, 2018",0.274347,0.290319,0.254809,0.275630,"239,529","52,612,500"
sophiatx,"Mar 18, 2018",0.285587,0.288580,0.229325,0.274008,"230,979","54,768,200"
sophiatx,"Mar 17, 2018",0.291497,0.311780,0.269872,0.286291,"227,080","55,901,500"
sophiatx,"Mar 16, 2018",0.295931,0.303595,0.265397,0.291096,"204,081","56,751,800"
sophiatx,"Mar 15, 2018",0.301422,0.304465,0.235777,0.296157,"161,967","57,804,800"
sophiatx,"Mar 14, 2018",0.358921,0.367441,0.287104,0.301412,"166,363","68,824,500"
sophiatx,"Mar 13, 2018",0.359996,0.374188,0.341750,0.359527,"73,393","69,030,500"
sophiatx,"Mar 12, 2018",0.382262,0.388771,0.345655,0.361367,"101,914","73,300,300"
sophiatx,"Mar 11, 2018",0.360048,0.387294,0.331420,0.382884,"66,345","69,040,600"
sophiatx,"Mar 10, 2018",0.375494,0.394218,0.351385,0.352934,"114,839","72,002,300"
sophiatx,"Mar 09, 2018",0.358152,0.384627,0.244434,0.376458,"469,699","68,677,000"
sophiatx,"Mar 08, 2018",0.447336,0.452094,0.358418,0.359386,"242,422","85,778,400"
sophiatx,"Mar 07, 2018",0.468969,0.487369,0.398830,0.448023,"186,628","89,926,600"
sophiatx,"Mar 06, 2018",0.515860,0.528932,0.420976,0.468877,"165,291","98,918,000"
sophiatx,"Mar 05, 2018",0.518090,0.534871,0.509921,0.516485,"103,100","99,345,700"
