Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
spankchain,"Jul 02, 2018",0.090260,0.097298,0.071918,0.095994,"459,953","27,082,000"
spankchain,"Jul 01, 2018",0.082961,0.090409,0.070969,0.090070,"158,711","24,892,000"
spankchain,"Jun 30, 2018",0.079580,0.088774,0.079234,0.083016,"131,264","23,877,500"
spankchain,"Jun 29, 2018",0.095781,0.095969,0.072296,0.082617,"661,177","28,738,500"
spankchain,"Jun 28, 2018",0.094492,0.098435,0.093142,0.095932,"501,370","28,351,700"
spankchain,"Jun 27, 2018",0.094302,0.095996,0.093180,0.093698,"558,343","28,294,600"
spankchain,"Jun 26, 2018",0.096469,0.097685,0.090130,0.095560,"582,046","28,944,900"
spankchain,"Jun 25, 2018",0.096888,0.098894,0.094358,0.097261,"610,890","29,070,600"
spankchain,"Jun 24, 2018",0.097226,0.099547,0.090368,0.096877,"736,808","29,172,000"
spankchain,"Jun 23, 2018",0.099380,0.103598,0.095471,0.097238,"5,559","29,818,200"
spankchain,"Jun 22, 2018",0.109337,0.109438,0.096155,0.099282,"765,157","32,806,000"
spankchain,"Jun 21, 2018",0.107190,0.110191,0.105101,0.110001,"459,306","32,161,800"
spankchain,"Jun 20, 2018",0.107211,0.113084,0.104928,0.107109,"709,239","32,168,000"
spankchain,"Jun 19, 2018",0.106444,0.110692,0.101668,0.107203,"784,289","31,937,700"
spankchain,"Jun 18, 2018",0.101971,0.109407,0.100072,0.106455,"644,610","30,595,700"
spankchain,"Jun 17, 2018",0.101341,0.102819,0.100571,0.101680,"428,428","30,406,800"
spankchain,"Jun 16, 2018",0.103202,0.104533,0.099731,0.101053,"624,812","30,965,100"
spankchain,"Jun 15, 2018",0.112619,0.114000,0.102484,0.103206,"1,232,530","33,790,500"
spankchain,"Jun 14, 2018",0.103046,0.119681,0.102749,0.109933,"18,743","30,918,100"
spankchain,"Jun 13, 2018",0.101148,0.118590,0.094915,0.102856,"34,327","30,348,900"
spankchain,"Jun 12, 2018",0.111899,0.112797,0.097981,0.100952,"14,766","33,574,500"
spankchain,"Jun 11, 2018",0.106961,0.112183,0.105096,0.111906,"14,357","32,093,000"
spankchain,"Jun 10, 2018",0.119555,0.120118,0.106136,0.106845,"34,310","35,871,700"
spankchain,"Jun 09, 2018",0.118603,0.124498,0.116731,0.119484,"3,959","35,586,000"
spankchain,"Jun 08, 2018",0.121008,0.123804,0.111260,0.118644,"22,549","36,307,800"
spankchain,"Jun 07, 2018",0.124095,0.130558,0.117219,0.120899,"23,357","37,233,800"
spankchain,"Jun 06, 2018",0.127486,0.128522,0.121824,0.124062,"21,298","38,251,200"
spankchain,"Jun 05, 2018",0.125264,0.128730,0.120906,0.127505,"26,589","37,584,500"
spankchain,"Jun 04, 2018",0.139992,0.142827,0.121823,0.125246,"25,712","42,003,800"
spankchain,"Jun 03, 2018",0.133406,0.146692,0.133360,0.139977,"13,107","40,027,600"
spankchain,"Jun 02, 2018",0.131923,0.140364,0.129838,0.133507,"14,898","39,582,700"
spankchain,"Jun 01, 2018",0.142626,0.143753,0.127487,0.132005,"19,539","42,793,900"
spankchain,"May 31, 2018",0.122482,0.145318,0.119719,0.142346,"36,636","36,750,000"
spankchain,"May 30, 2018",0.120888,0.126936,0.119707,0.122516,"35,809","36,271,700"
spankchain,"May 29, 2018",0.118362,0.126382,0.116280,0.120853,"12,408","35,513,700"
spankchain,"May 28, 2018",0.128339,0.129571,0.113463,0.118481,"38,737","38,507,300"
spankchain,"May 27, 2018",0.131598,0.134777,0.126402,0.128335,"41,306","39,485,200"
spankchain,"May 26, 2018",0.127399,0.137068,0.126512,0.131541,"13,820","38,225,300"
spankchain,"May 25, 2018",0.129793,0.132510,0.123345,0.127534,"41,398","38,943,400"
spankchain,"May 24, 2018",0.146429,0.160496,0.121447,0.130075,"59,861","43,935,200"
spankchain,"May 23, 2018",0.140739,0.149367,0.121419,0.146429,"87,339","42,227,700"
spankchain,"May 22, 2018",0.160645,0.161095,0.140351,0.140891,"19,193","48,200,500"
spankchain,"May 21, 2018",0.152275,0.171500,0.149970,0.160708,"49,173","45,689,200"
spankchain,"May 20, 2018",0.149349,0.159625,0.144601,0.152185,"46,536","44,811,100"
spankchain,"May 19, 2018",0.151569,0.157603,0.147119,0.149289,"20,176","45,477,200"
spankchain,"May 18, 2018",0.148587,0.153739,0.147484,0.152649,"26,375","44,582,700"
spankchain,"May 17, 2018",0.148855,0.162653,0.147903,0.148520,"37,977","44,663,100"
spankchain,"May 16, 2018",0.162857,0.163012,0.140230,0.149255,"52,729","48,864,100"
spankchain,"May 15, 2018",0.162795,0.175167,0.157748,0.162866,"67,974","48,845,600"
spankchain,"May 14, 2018",0.164018,0.168200,0.147571,0.162931,"56,885","49,212,500"
spankchain,"May 13, 2018",0.159350,0.182874,0.155064,0.163976,"136,863","47,812,000"
spankchain,"May 12, 2018",0.166867,0.168701,0.153700,0.159434,"71,453","50,067,500"
spankchain,"May 11, 2018",0.179347,0.185924,0.167061,0.167061,"63,545","53,812,000"
spankchain,"May 10, 2018",0.187365,0.193155,0.178891,0.179370,"36,303","56,217,600"
spankchain,"May 09, 2018",0.197683,0.201559,0.184804,0.187344,"85,775","59,313,300"
spankchain,"May 08, 2018",0.200483,0.207381,0.193518,0.197754,"57,361","60,153,600"
spankchain,"May 07, 2018",0.216137,0.218950,0.189285,0.201525,"90,826","64,850,600"
spankchain,"May 06, 2018",0.226050,0.230360,0.215327,0.215999,"134,533","67,824,800"
spankchain,"May 05, 2018",0.219073,0.233906,0.212714,0.226000,"109,787","65,731,500"
