Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
speedcash,"Jul 02, 2018",0.169720,0.201934,0.160257,0.163258,"1,860","92,239"
speedcash,"Jul 01, 2018",0.175714,0.176703,0.158889,0.169701,455,"94,551"
speedcash,"Jun 30, 2018",0.168232,0.176487,0.168222,0.175674,"1,064","89,905"
speedcash,"Jun 29, 2018",0.159623,0.170266,0.157571,0.168004,251,"85,208"
speedcash,"Jun 28, 2018",0.156792,0.165520,0.155390,0.159521,784,"83,596"
speedcash,"Jun 27, 2018",0.152649,0.195917,0.151102,0.165536,429,"81,294"
speedcash,"Jun 26, 2018",0.149010,0.166365,0.148221,0.152718,419,"79,241"
speedcash,"Jun 25, 2018",0.149402,0.163983,0.139678,0.149010,174,"79,348"
speedcash,"Jun 24, 2018",0.155836,0.234465,0.129974,0.149690,896,"82,631"
speedcash,"Jun 23, 2018",0.178039,0.183316,0.128057,0.155857,"1,891","94,304"
speedcash,"Jun 22, 2018",0.228404,0.273241,0.176622,0.178015,"2,462","119,336"
speedcash,"Jun 21, 2018",0.227133,0.274046,0.223880,0.228657,978,"118,530"
speedcash,"Jun 20, 2018",0.211531,0.284270,0.206690,0.227086,998,"110,259"
speedcash,"Jun 19, 2018",0.236519,0.259524,0.203499,0.211345,"1,107","123,100"
speedcash,"Jun 18, 2018",0.242436,0.299458,0.197446,0.236646,"1,179","126,009"
speedcash,"Jun 17, 2018",0.289763,0.318912,0.242460,0.243267,"1,539","150,399"
speedcash,"Jun 16, 2018",0.265089,0.311799,0.264572,0.288997,"1,067","136,609"
speedcash,"Jun 15, 2018",0.308046,0.308414,0.261067,0.266105,993,"158,537"
speedcash,"Jun 14, 2018",0.259063,0.325756,0.259063,0.308552,"3,064","133,048"
speedcash,"Jun 13, 2018",0.301493,0.331728,0.259179,0.259179,"1,047","154,594"
speedcash,"Jun 12, 2018",0.311296,0.351012,0.291381,0.300701,902,"158,375"
speedcash,"Jun 11, 2018",0.268723,0.399300,0.267930,0.311465,"1,261","136,529"
speedcash,"Jun 10, 2018",0.414366,0.428150,0.268339,0.268339,"2,185","210,207"
speedcash,"Jun 09, 2018",0.372984,0.489764,0.372735,0.413795,"1,340","188,365"
speedcash,"Jun 08, 2018",0.381050,0.628411,0.317614,0.373367,"1,951","191,651"
speedcash,"Jun 07, 2018",0.524450,0.525431,0.347436,0.380761,"2,199","262,704"
speedcash,"Jun 06, 2018",0.310279,0.548173,0.282153,0.523956,"5,899","154,822"
speedcash,"Jun 05, 2018",0.280631,0.315668,0.221428,0.308981,"2,974","139,438"
speedcash,"Jun 04, 2018",0.522793,0.523402,0.285698,0.286111,"3,689","258,595"
speedcash,"Jun 03, 2018",0.337348,0.598125,0.272225,0.522596,"1,238","165,355"
speedcash,"Jun 02, 2018",0.434968,0.450058,0.248349,0.337267,"6,932","212,857"
speedcash,"Jun 01, 2018",0.429260,0.457635,0.293236,0.435147,"3,322","209,328"
speedcash,"May 31, 2018",0.427305,0.526162,0.226339,0.429422,"5,365","207,417"
speedcash,"May 30, 2018",0.335069,0.542890,0.325659,0.427901,"4,104","161,892"
speedcash,"May 29, 2018",0.546641,0.669641,0.256602,0.334835,"11,854","263,008"
speedcash,"May 28, 2018",0.675650,0.676581,0.541694,0.546819,"2,963","323,851"
speedcash,"May 27, 2018",0.666311,0.736987,0.614848,0.675493,"1,171","317,977"
speedcash,"May 26, 2018",0.802507,0.819195,0.662337,0.666017,"6,239","381,526"
speedcash,"May 25, 2018",0.657809,0.874379,0.655939,0.803555,"5,781","311,879"
speedcash,"May 24, 2018",0.638893,0.783612,0.638893,0.656582,"3,402","302,529"
speedcash,"May 23, 2018",0.703568,0.812957,0.620000,0.640531,"6,561","332,771"
speedcash,"May 22, 2018",0.774278,0.918617,0.704298,0.704298,"9,459","365,782"
speedcash,"May 21, 2018",1.18,1.18,0.769178,0.774418,"9,701","556,562"
speedcash,"May 20, 2018",0.910990,1.23,0.845771,1.18,"22,217","429,280"
speedcash,"May 19, 2018",1.50,1.61,0.806585,0.910314,"8,582","706,609"
speedcash,"May 18, 2018",1.55,1.84,1.30,1.50,"7,169","729,696"
speedcash,"May 17, 2018",1.95,1.98,1.46,1.55,"6,692","915,395"
speedcash,"May 16, 2018",1.68,1.95,1.12,1.95,"25,075","789,714"
speedcash,"May 15, 2018",2.57,2.61,1.53,1.69,"25,128","1,204,580"
speedcash,"May 14, 2018",1.88,2.74,1.79,2.58,"22,496","879,558"
speedcash,"May 13, 2018",2.67,2.85,1.86,1.90,"20,056","1,248,120"
speedcash,"May 12, 2018",2.52,3.08,2.48,2.67,"17,147","1,179,090"
speedcash,"May 11, 2018",2.91,3.00,2.44,2.53,"20,609","1,359,430"
speedcash,"May 10, 2018",3.15,3.17,2.74,2.91,"17,019","1,469,170"
speedcash,"May 09, 2018",3.62,3.62,2.81,3.15,"25,298","1,686,360"
speedcash,"May 08, 2018",2.82,3.80,2.52,3.63,"32,753","1,313,120"
speedcash,"May 07, 2018",2.94,2.94,2.49,2.82,"11,508","1,363,760"
speedcash,"May 06, 2018",3.14,3.31,2.89,2.93,"14,894","1,457,490"
speedcash,"May 05, 2018",2.79,3.34,2.71,3.14,"19,784","1,293,280"
speedcash,"May 04, 2018",2.60,3.55,2.44,2.79,"20,394","1,202,100"
speedcash,"May 03, 2018",3.43,3.43,2.43,2.60,"26,266","1,580,490"
speedcash,"May 02, 2018",3.53,3.53,2.56,3.42,"45,559","1,626,660"
speedcash,"May 01, 2018",1.45,3.61,1.37,3.54,"93,445","666,171"
speedcash,"Apr 30, 2018",1.15,1.80,0.988131,1.44,"19,831","527,874"
speedcash,"Apr 29, 2018",0.988915,1.19,0.931379,1.15,"11,348","452,783"
speedcash,"Apr 28, 2018",0.789344,1.01,0.787320,0.989301,"4,849","360,659"
speedcash,"Apr 27, 2018",1.03,1.04,0.763854,0.792061,"6,513","470,730"
speedcash,"Apr 26, 2018",0.726788,1.03,0.686590,1.03,"9,353","330,871"
speedcash,"Apr 25, 2018",0.708330,0.780600,0.603026,0.720814,"6,142","321,868"
speedcash,"Apr 24, 2018",0.518539,0.729792,0.518305,0.713176,"11,786","235,193"
