Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
sportyco,"Jul 02, 2018",0.046532,0.050755,0.044830,0.048862,"548,089","2,457,470"
sportyco,"Jul 01, 2018",0.045999,0.048145,0.045308,0.046510,"442,095","2,429,320"
sportyco,"Jun 30, 2018",0.044007,0.047427,0.043905,0.045903,"421,296","2,324,100"
sportyco,"Jun 29, 2018",0.043066,0.046105,0.041933,0.043972,"663,608","2,274,410"
sportyco,"Jun 28, 2018",0.045130,0.048545,0.042954,0.043055,"486,139","2,383,410"
sportyco,"Jun 27, 2018",0.044952,0.045990,0.043796,0.045102,"454,804","2,374,030"
sportyco,"Jun 26, 2018",0.047852,0.053905,0.044711,0.045009,"640,698","2,527,170"
sportyco,"Jun 25, 2018",0.049374,0.058303,0.044682,0.047852,"872,225","2,607,540"
sportyco,"Jun 24, 2018",0.043746,0.053521,0.043487,0.049511,"483,414","2,310,340"
sportyco,"Jun 23, 2018",0.052719,0.055905,0.043317,0.043756,"515,674","2,784,190"
sportyco,"Jun 22, 2018",0.061517,0.066625,0.052447,0.052705,"980,670","3,248,880"
sportyco,"Jun 21, 2018",0.064848,0.071337,0.060481,0.061544,"961,428","3,424,800"
sportyco,"Jun 20, 2018",0.075061,0.078217,0.063919,0.064862,"822,502","3,964,160"
sportyco,"Jun 19, 2018",0.072209,0.081898,0.070055,0.075027,"980,837","3,813,560"
sportyco,"Jun 18, 2018",0.072733,0.075249,0.070988,0.072246,"555,980","3,841,180"
sportyco,"Jun 17, 2018",0.075633,0.076815,0.072618,0.072840,"492,794","3,994,350"
sportyco,"Jun 16, 2018",0.075880,0.079163,0.075064,0.075551,"462,835","4,007,390"
sportyco,"Jun 15, 2018",0.079491,0.082339,0.074805,0.076114,"475,426","4,198,120"
sportyco,"Jun 14, 2018",0.079648,0.084586,0.076623,0.079547,"483,137","4,206,430"
sportyco,"Jun 13, 2018",0.081640,0.082381,0.074782,0.079564,"514,913","4,311,600"
sportyco,"Jun 12, 2018",0.080340,0.086484,0.078764,0.081387,"448,222","4,242,980"
sportyco,"Jun 11, 2018",0.079824,0.085592,0.072251,0.080321,"719,448","4,215,690"
sportyco,"Jun 10, 2018",0.099688,0.102726,0.072714,0.079734,"936,325","5,264,740"
sportyco,"Jun 09, 2018",0.103894,0.106375,0.099409,0.099535,"524,089","5,486,890"
sportyco,"Jun 08, 2018",0.107452,0.109941,0.100437,0.103892,"537,519","5,674,780"
sportyco,"Jun 07, 2018",0.109817,0.112909,0.106784,0.107311,"575,508","5,799,680"
sportyco,"Jun 06, 2018",0.107133,0.111695,0.106841,0.109802,"556,671","5,657,950"
sportyco,"Jun 05, 2018",0.107634,0.112440,0.103787,0.107236,"720,026","5,684,440"
sportyco,"Jun 04, 2018",0.110520,0.112592,0.104715,0.107612,"604,873","5,836,830"
sportyco,"Jun 03, 2018",0.108665,0.118139,0.102559,0.110497,"1,032,620","5,738,880"
sportyco,"Jun 02, 2018",0.119199,0.119906,0.108621,0.108723,"667,170","6,295,160"
sportyco,"Jun 01, 2018",0.119782,0.122276,0.117409,0.119234,"570,505","6,325,980"
sportyco,"May 31, 2018",0.112144,0.125341,0.108985,0.119618,"640,218","5,922,580"
sportyco,"May 30, 2018",0.122164,0.125569,0.109635,0.109697,"358,724","6,451,800"
sportyco,"May 29, 2018",0.109435,0.123389,0.108553,0.122552,"1,129,440","5,779,540"
sportyco,"May 28, 2018",0.117010,0.123971,0.108552,0.109613,"708,835","6,179,580"
sportyco,"May 27, 2018",0.122686,0.122686,0.115717,0.117002,"605,798","6,479,360"
sportyco,"May 26, 2018",0.121271,0.127846,0.120532,0.122540,"621,598","6,404,620"
sportyco,"May 25, 2018",0.123187,0.128739,0.118996,0.121330,"719,819","6,505,790"
sportyco,"May 24, 2018",0.119626,0.124304,0.116313,0.123013,"653,266","6,317,760"
sportyco,"May 23, 2018",0.134652,0.134970,0.118359,0.120051,"721,880","7,111,300"
sportyco,"May 22, 2018",0.152373,0.152397,0.133450,0.134853,"1,260,360","8,047,180"
sportyco,"May 21, 2018",0.159947,0.163097,0.150925,0.152523,"1,038,940","8,447,170"
sportyco,"May 20, 2018",0.143981,0.163375,0.143981,0.159762,"934,727","7,603,970"
sportyco,"May 19, 2018",0.148950,0.156367,0.142322,0.143881,"940,174","7,845,390"
sportyco,"May 18, 2018",0.146811,0.153345,0.144034,0.148956,"916,245","7,732,730"
sportyco,"May 17, 2018",0.160802,0.162198,0.145892,0.146816,"953,971","8,469,660"
sportyco,"May 16, 2018",0.165433,0.166383,0.155502,0.160661,"988,804","8,713,590"
sportyco,"May 15, 2018",0.164011,0.169831,0.158446,0.165424,"1,454,960","8,638,690"
sportyco,"May 14, 2018",0.168641,0.178870,0.158008,0.163711,"1,003,400","8,882,570"
sportyco,"May 13, 2018",0.165593,0.178867,0.165310,0.168691,"1,164,450","8,722,020"
sportyco,"May 12, 2018",0.164473,0.184481,0.144873,0.165779,"1,291,270","8,651,530"
sportyco,"May 11, 2018",0.184035,0.191340,0.159428,0.165826,"1,306,200","9,680,490"
sportyco,"May 10, 2018",0.214013,0.220487,0.182492,0.183916,"1,404,830","11,257,400"
sportyco,"May 09, 2018",0.227586,0.230040,0.209550,0.213963,"1,361,450","11,971,300"
sportyco,"May 08, 2018",0.236012,0.246003,0.214457,0.227898,"1,332,620","12,414,600"
sportyco,"May 07, 2018",0.286606,0.289475,0.223569,0.235308,"2,854,070","15,075,900"
sportyco,"May 06, 2018",0.195027,0.272304,0.195027,0.272304,"4,110,560","10,225,500"
sportyco,"May 05, 2018",0.172521,0.196180,0.170239,0.193324,"1,837,600","9,045,550"
sportyco,"May 04, 2018",0.170606,0.176353,0.163892,0.172521,"1,429,700","8,940,870"
sportyco,"May 03, 2018",0.174316,0.177293,0.162626,0.170943,"1,246,160","9,135,280"
sportyco,"May 02, 2018",0.168643,0.183687,0.164283,0.174515,"1,490,500","8,837,980"
sportyco,"May 01, 2018",0.159699,0.173088,0.146747,0.168841,"1,305,180","8,369,280"
sportyco,"Apr 30, 2018",0.140917,0.222196,0.139748,0.159529,"1,941,090","7,384,970"
sportyco,"Apr 29, 2018",0.143794,0.154028,0.132680,0.140935,"1,208,720","7,535,730"
sportyco,"Apr 28, 2018",0.136190,0.162435,0.136002,0.144992,"1,118,120","7,137,230"
sportyco,"Apr 27, 2018",0.153132,0.153132,0.135756,0.136892,"1,337,410","8,025,100"
sportyco,"Apr 26, 2018",0.136380,0.154652,0.128892,0.152284,"1,383,480","7,147,210"
sportyco,"Apr 25, 2018",0.165477,0.165477,0.130746,0.135321,"1,250,560","8,672,080"
sportyco,"Apr 24, 2018",0.161229,0.180899,0.160714,0.168332,"1,709,180","8,449,430"
sportyco,"Apr 23, 2018",0.159186,0.168191,0.154871,0.161147,"1,599,950","8,342,380"
sportyco,"Apr 22, 2018",0.140536,0.161152,0.134279,0.159837,"1,719,070","7,364,960"
sportyco,"Apr 21, 2018",0.141780,0.145042,0.136336,0.140088,"1,249,730","7,430,180"
sportyco,"Apr 20, 2018",0.137322,0.146978,0.136633,0.141822,"1,612,610","7,196,560"
sportyco,"Apr 19, 2018",0.136577,0.142398,0.133484,0.137387,"1,190,960","7,155,030"
sportyco,"Apr 18, 2018",0.131877,0.138484,0.126908,0.136627,"1,084,740","6,908,830"
sportyco,"Apr 17, 2018",0.145153,0.145305,0.127002,0.131782,"1,280,890","7,604,330"
sportyco,"Apr 16, 2018",0.153501,0.154718,0.131453,0.145108,"1,665,880","8,033,960"
sportyco,"Apr 15, 2018",0.144598,0.154752,0.137301,0.153421,"1,210,520","7,568,000"
sportyco,"Apr 14, 2018",0.141175,0.150995,0.137606,0.144766,"1,144,790","7,388,880"
sportyco,"Apr 13, 2018",0.142273,0.160789,0.136221,0.141229,"849,307","7,446,300"
sportyco,"Apr 12, 2018",0.132249,0.153896,0.130918,0.142079,"1,649,010","6,921,680"
