Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
srcoin,"Jul 02, 2018",0.000796,0.000966,0.000722,0.000966,"473,230","4,023,410"
srcoin,"Jul 01, 2018",0.001005,0.001027,0.000723,0.000793,"562,217","5,079,030"
srcoin,"Jun 30, 2018",0.000633,0.001067,0.000633,0.001008,"761,993","3,196,480"
srcoin,"Jun 29, 2018",0.000541,0.000668,0.000533,0.000643,"375,830","2,735,110"
srcoin,"Jun 28, 2018",0.000617,0.000621,0.000538,0.000541,"366,569","3,116,800"
srcoin,"Jun 27, 2018",0.000544,0.000663,0.000544,0.000616,"189,461","2,747,250"
srcoin,"Jun 26, 2018",0.000688,0.000761,0.000544,0.000545,"311,207","3,475,690"
srcoin,"Jun 25, 2018",0.001467,0.001650,0.000513,0.000686,"998,498","7,412,450"
srcoin,"Jun 24, 2018",0.001523,0.001653,0.001102,0.001475,"1,244,750","7,695,660"
srcoin,"Jun 23, 2018",0.001496,0.001623,0.001392,0.001542,"1,031,860","7,556,860"
srcoin,"Jun 22, 2018",0.001765,0.001847,0.001455,0.001500,"1,140,870","8,917,360"
srcoin,"May 24, 2018",0.001333,0.001534,0.001297,0.001392,"543,036","6,736,070"
srcoin,"May 23, 2018",0.001553,0.001645,0.001213,0.001344,"531,498","7,847,810"
srcoin,"May 22, 2018",0.001625,0.001806,0.001556,0.001556,"61,417","8,207,480"
srcoin,"May 21, 2018",0.001862,0.001870,0.001822,0.001829,"115,161","9,405,230"
srcoin,"May 20, 2018",0.001852,0.001982,0.001778,0.001859,"117,028","9,356,280"
srcoin,"May 19, 2018",0.001900,0.001996,0.001709,0.001850,"249,857","9,597,930"
srcoin,"May 18, 2018",0.001941,0.002087,0.001780,0.001896,"503,382","9,807,750"
srcoin,"May 17, 2018",0.002260,0.002353,0.001897,0.001940,"450,534","11,417,300"
srcoin,"May 16, 2018",0.002228,0.002481,0.001620,0.002259,"534,736","11,254,000"
srcoin,"May 15, 2018",0.002672,0.003085,0.002125,0.002218,"180,166","13,498,600"
srcoin,"May 14, 2018",0.003198,0.003549,0.002514,0.002675,"770,676","16,155,500"
srcoin,"May 13, 2018",0.002743,0.004557,0.002047,0.003199,"1,144,700","13,855,900"
srcoin,"May 12, 2018",0.000992,0.003107,0.000758,0.002745,"1,491,550","5,011,840"
srcoin,"May 11, 2018",0.001377,0.001377,0.000529,0.000994,"113,626","6,958,280"
srcoin,"May 10, 2018",0.001546,0.001688,0.001283,0.001341,"93,801","7,808,670"
srcoin,"May 09, 2018",0.001592,0.001762,0.001307,0.001544,"45,986","8,042,900"
srcoin,"May 08, 2018",0.001957,0.002013,0.001464,0.001593,"70,528","9,887,670"
srcoin,"May 07, 2018",0.002410,0.002412,0.001746,0.001944,"24,835","12,176,400"
srcoin,"May 06, 2018",0.002846,0.003194,0.001657,0.002275,"106,214","14,376,300"
srcoin,"May 05, 2018",0.001605,0.003133,0.001482,0.002846,"191,102","8,107,100"
srcoin,"May 04, 2018",0.001789,0.002390,0.001117,0.001603,"183,927","9,036,950"
srcoin,"May 03, 2018",0.001926,0.002165,0.001624,0.001833,"87,880","9,731,700"
srcoin,"May 02, 2018",0.002215,0.002345,0.001574,0.001926,"81,182","11,192,700"
srcoin,"May 01, 2018",0.002385,0.003359,0.002046,0.002222,"104,051","12,047,300"
srcoin,"Apr 30, 2018",0.003336,0.003492,0.002342,0.002379,"43,155","16,851,400"
srcoin,"Apr 29, 2018",0.003004,0.003630,0.001731,0.003032,"166,348","15,178,100"
srcoin,"Apr 28, 2018",0.003524,0.003675,0.002085,0.002936,"100,887","17,802,600"
srcoin,"Apr 27, 2018",0.004709,0.004709,0.002971,0.003553,"43,704","23,789,600"
srcoin,"Apr 26, 2018",0.004188,0.004896,0.003826,0.004701,"40,486",-
srcoin,"Apr 25, 2018",0.005113,0.005113,0.004893,0.004893,"132,146",-
