Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
startercoin,"Jul 02, 2018",0.005036,0.005257,0.004970,0.005215,"90,213","1,422,280"
startercoin,"Jul 01, 2018",0.005576,0.005577,0.005009,0.005034,"95,615","1,574,620"
startercoin,"Jun 30, 2018",0.004265,0.005645,0.004265,0.005575,"84,928","1,204,340"
startercoin,"Jun 29, 2018",0.004245,0.004324,0.004061,0.004263,"76,150","1,198,840"
startercoin,"Jun 28, 2018",0.004747,0.004771,0.004219,0.004242,"84,060","1,340,590"
startercoin,"Jun 27, 2018",0.004734,0.007815,0.004703,0.004743,"62,301","1,336,800"
startercoin,"Jun 26, 2018",0.005290,0.005415,0.004738,0.004742,"65,205","1,493,860"
startercoin,"Jun 25, 2018",0.005243,0.005373,0.005166,0.005274,"73,973","1,480,610"
startercoin,"Jun 24, 2018",0.005636,0.005650,0.004901,0.005261,"70,741","1,591,700"
startercoin,"Jun 23, 2018",0.005758,0.005869,0.005629,0.005636,"64,688","1,626,170"
startercoin,"Jun 22, 2018",0.006620,0.006671,0.005617,0.005756,"105,064","1,869,620"
startercoin,"Jun 21, 2018",0.006964,0.006971,0.006392,0.006609,"95,879","1,966,620"
startercoin,"Jun 20, 2018",0.007126,0.007178,0.006769,0.006981,"87,681","2,012,400"
startercoin,"Jun 19, 2018",0.007638,0.008217,0.006984,0.007121,"73,078","2,156,940"
startercoin,"Jun 18, 2018",0.006744,0.007655,0.006510,0.007642,"73,249","1,904,420"
startercoin,"Jun 17, 2018",0.006894,0.008892,0.006628,0.006718,"84,214","1,946,860"
startercoin,"Jun 16, 2018",0.006784,0.006939,0.006719,0.006883,"51,278","1,915,930"
startercoin,"Jun 15, 2018",0.007040,0.007050,0.006758,0.006806,"75,386","1,988,040"
startercoin,"Jun 14, 2018",0.007384,0.007534,0.006506,0.007045,"78,584","2,085,250"
startercoin,"Jun 13, 2018",0.007677,0.007706,0.007060,0.007380,"69,443","2,168,120"
startercoin,"Jun 12, 2018",0.008069,0.008184,0.007589,0.007650,"90,036","2,278,740"
startercoin,"Jun 11, 2018",0.007782,0.008073,0.007664,0.008059,"98,819","2,197,750"
startercoin,"Jun 10, 2018",0.008774,0.008774,0.007590,0.007770,"80,400","1,789,890"
startercoin,"Jun 09, 2018",0.008925,0.009074,0.008773,0.008773,"80,356","1,820,770"
startercoin,"Jun 08, 2018",0.009121,0.009158,0.008779,0.008926,"83,729","1,860,840"
startercoin,"Jun 07, 2018",0.009474,0.010319,0.008235,0.009110,"44,238","1,932,750"
startercoin,"Jun 06, 2018",0.009617,0.009706,0.009260,0.009470,"96,168","1,961,900"
startercoin,"Jun 05, 2018",0.010062,0.010103,0.009359,0.009584,"108,921","2,052,650"
startercoin,"Jun 04, 2018",0.011036,0.011145,0.009863,0.010060,"69,417","2,251,530"
startercoin,"Jun 03, 2018",0.010975,0.011300,0.010896,0.011035,"120,482","2,239,020"
startercoin,"Jun 02, 2018",0.010821,0.011085,0.010689,0.010977,"52,079","2,207,530"
startercoin,"Jun 01, 2018",0.010729,0.011158,0.010632,0.010824,"71,641","2,188,730"
startercoin,"May 31, 2018",0.011381,0.011799,0.010714,0.010714,"96,818","2,321,790"
startercoin,"May 30, 2018",0.011815,0.011947,0.011137,0.011360,"70,391","2,410,350"
startercoin,"May 29, 2018",0.013537,0.013682,0.010868,0.011839,"98,770","2,761,670"
startercoin,"May 28, 2018",0.011090,0.015404,0.009614,0.014694,"135,776","2,262,390"
startercoin,"May 27, 2018",0.011400,0.011400,0.010841,0.011054,"101,123","2,325,710"
startercoin,"May 26, 2018",0.011126,0.011971,0.011072,0.011385,"117,906","2,269,870"
startercoin,"May 25, 2018",0.012006,0.012178,0.010543,0.011152,"87,145","2,449,420"
startercoin,"May 24, 2018",0.013439,0.013979,0.010088,0.011992,"121,647","2,741,670"
startercoin,"May 23, 2018",0.015710,0.015788,0.013447,0.013509,"91,055","3,205,020"
startercoin,"May 22, 2018",0.016501,0.018321,0.015502,0.015732,"73,738","3,366,300"
startercoin,"May 21, 2018",0.018572,0.018583,0.016195,0.016425,"89,883","3,788,780"
startercoin,"May 20, 2018",0.017205,0.019949,0.016270,0.018528,"121,253","3,509,940"
startercoin,"May 19, 2018",0.016230,0.017946,0.015830,0.017208,"115,807","3,311,060"
startercoin,"May 18, 2018",0.013872,0.016327,0.013035,0.016230,"95,482","2,830,010"
startercoin,"May 17, 2018",0.014095,0.017777,0.013728,0.013892,"96,171","2,461,140"
startercoin,"May 16, 2018",0.015366,0.015401,0.013721,0.014087,"82,331","2,683,080"
startercoin,"May 15, 2018",0.017132,0.017296,0.014716,0.015362,"88,176","2,991,310"
startercoin,"May 14, 2018",0.017670,0.017763,0.016486,0.017156,"90,404","3,085,330"
startercoin,"May 13, 2018",0.014795,0.017971,0.014447,0.017727,"112,867","2,583,270"
startercoin,"May 12, 2018",0.014767,0.015135,0.014002,0.014824,"82,790","2,578,330"
startercoin,"May 11, 2018",0.015497,0.017333,0.014553,0.014810,"113,819","2,705,930"
startercoin,"May 10, 2018",0.018647,0.018647,0.015328,0.015440,"89,241","3,255,940"
startercoin,"May 09, 2018",0.017513,0.019452,0.016787,0.018656,"131,884","3,057,860"
startercoin,"May 08, 2018",0.017867,0.018483,0.017103,0.017529,"91,706","3,119,710"
