Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
stealth,"Jul 02, 2018",0.174156,0.220130,0.171274,0.211107,"6,262","5,081,480"
stealth,"Jul 01, 2018",0.182438,0.185049,0.171514,0.174136,645,"5,321,660"
stealth,"Jun 30, 2018",0.171545,0.183043,0.171340,0.182397,"2,825","5,002,770"
stealth,"Jun 29, 2018",0.162554,0.174254,0.159332,0.171306,"1,499","4,739,440"
stealth,"Jun 28, 2018",0.170374,0.171492,0.161534,0.162450,"2,278","4,965,940"
stealth,"Jun 27, 2018",0.176286,0.177277,0.169063,0.170314,598,"5,137,040"
stealth,"Jun 26, 2018",0.187151,0.187557,0.175105,0.176356,"1,231","5,452,130"
stealth,"Jun 25, 2018",0.189794,0.191485,0.178647,0.187151,"3,448","5,527,780"
stealth,"Jun 24, 2018",0.207067,0.207403,0.177158,0.190161,"3,023","6,029,370"
stealth,"Jun 23, 2018",0.205504,0.212854,0.201669,0.207095,"2,676","5,982,220"
stealth,"Jun 22, 2018",0.221678,0.266817,0.202206,0.205477,"40,375","6,450,800"
stealth,"Jun 21, 2018",0.198280,0.260694,0.189754,0.221924,"13,860","5,767,990"
stealth,"Jun 20, 2018",0.200662,0.215291,0.180149,0.198240,"4,317","5,835,820"
stealth,"Jun 19, 2018",0.200289,0.220937,0.193283,0.196988,"3,538","5,823,460"
stealth,"Jun 18, 2018",0.184156,0.209346,0.183401,0.200396,"7,174","5,352,980"
stealth,"Jun 17, 2018",0.188950,0.196001,0.181611,0.184787,"2,985","5,490,440"
stealth,"Jun 16, 2018",0.182545,0.199790,0.181724,0.188451,289,"5,303,000"
stealth,"Jun 15, 2018",0.191565,0.193127,0.182207,0.183213,635,"5,563,640"
stealth,"Jun 14, 2018",0.187073,0.202004,0.183631,0.191882,"3,708","5,431,610"
stealth,"Jun 13, 2018",0.209705,0.210050,0.174124,0.187156,"8,245","6,087,360"
stealth,"Jun 12, 2018",0.224560,0.242340,0.204692,0.212535,"26,722","6,516,940"
stealth,"Jun 11, 2018",0.213647,0.306111,0.207648,0.224680,"6,079","6,198,780"
stealth,"Jun 10, 2018",0.244139,0.244139,0.208319,0.213343,"1,569","7,080,870"
stealth,"Jun 09, 2018",0.252112,0.260005,0.243832,0.243832,464,"7,310,210"
